F1,F2
0.0,1.0
1.0,6.838
0.0,5.655
1.0,3.033
0.5,3.842
0.6,3.271
0.4,4.044
0.01,2.281
0.2,3.613
0.9,2.992
0.33,4.466
0.15,4.344
0.21,4.139
0.1,4.617
0.12,4.867
0.25,3.897
0.3,4.106
0.01,5.411
0.1,2.652
0.08,4.912
0.18,3.972
0.3,3.751
0.25,3.437
0.2,4.535
0.3,3.778
0.05,5.059
0.45,3.49
0.01,5.369
0.01,5.411
0.1,4.718
0.9,2.837
0.123,5.317
0.05,5.059
0.05,5.044
0.15,4.841
0.02,5.301
0.7,3.5
0.2,4.367
0.15,4.352
0.8,3.327
0.15,4.841
0.15,4.827
0.1,4.44
0.02,5.301
0.08,4.912
0.15,4.245
0.4,3.99
0.2,4.031
0.5,3.842
0.35,3.963
0.05,4.837
0.1,4.44
0.12,4.81
0.3,3.86
0.2,4.535
0.11,4.869
0.05,5.059
0.42,3.755
0.02,5.301
0.3,3.806
0.18,4.701
0.01,5.411
0.15,4.827
0.4,3.883
0.21,4.442
0.05,5.059
0.05,5.059
0.25,4.147
0.07,4.949
0.1,4.874
0.1,4.663
0.2,4.115
0.05,5.044
0.2,4.535
0.1,4.845
0.2,4.451
0.3,5.815
0.38,4.31
0.05,5.014
0.1,4.874
0.1,4.758
0.3,4.27
0.25,4.147
0.1,4.758
0.15,4.841
0.05,4.999
0.25,4.147
0.35,4.354
0.02,5.301
0.3,4.27
0.15,4.841
0.1,4.758
0.2,4.521
0.05,5.044
0.05,5.044
0.7,3.487
0.1,4.845
0.18,4.701
0.2,4.115
0.35,4.503
