F1,F2
0.0,1.0
1.0,6.838
0.0,5.655
1.0,3.033
0.5,3.842
0.2,4.115
0.05,5.059
0.6,3.314
0.35,4.476
0.4,4.044
0.4,4.151
0.01,2.281
0.5,3.842
0.1,4.845
0.11,4.739
0.25,3.745
0.25,2.789
0.3,3.479
0.8,2.807
0.7,3.487
0.6,3.658
0.4,3.589
0.5,3.763
0.4,4.151
0.3,4.161
0.15,4.591
0.1,4.686
0.1,4.536
0.5,3.169
0.33,4.466
0.22,4.17
0.2,4.263
0.35,3.81
0.18,4.329
0.12,1.848
0.6,3.271
0.1,4.643
0.1,4.498
0.1,3.194
0.2,3.211
0.2,1.574
0.08,4.321
0.1,3.263
0.01,3.553
0.3,3.52
0.12,4.557
0.15,3.5
0.08,4.158
0.1,3.311
0.05,4.288
0.08,4.717
0.02,5.301
0.15,4.216
0.2,4.283
0.28,3.415
0.09,4.888
0.05,3.524
0.2,2.403
0.1,4.596
0.05,3.633
0.18,4.051
0.7,1.588
0.15,3.292
0.2,4.207
0.08,2.63
0.02,5.301
0.06,4.184
0.1,3.117
0.02,5.012
0.3,4.024
0.38,3.284
0.15,3.778
0.01,5.369
0.02,3.964
0.08,2.459
0.25,2.947
0.15,2.415
0.02,4.327
0.03,5.21
0.3,3.29
0.05,4.763
0.1,2.553
0.05,4.719
0.2,4.367
0.08,4.396
0.06,3.559
0.2,3.46
0.4,1.321
0.05,3.404
0.2,4.535
0.01,5.117
0.02,4.168
0.05,4.377
0.123,4.553
0.11,4.321
0.05,3.63
0.1,4.62
0.04,3.448
0.05,3.416
0.5,0.599
