x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.12,0.713,0.761,0.561,0.771,0.494,0.523,0.428,0.025,0.108
0.031,0.636,0.314,0.509,0.908,0.249,0.41,0.756,0.229,0.077
0.29,0.161,0.93,0.808,0.633,0.871,0.804,0.187,0.893,0.539
0.807,0.896,0.318,0.11,0.228,0.427,0.818,0.861,0.007,0.511
0.417,0.222,0.12,0.338,0.943,0.323,0.519,0.703,0.364,0.972
0.0,0.5,0.1,0.3,-7.0,-5.0,0.2,-4.0,-6.0,0.8
0.05,-5.0,-3.0,-1.0,0.2,0.1,0.5,-2.0,-1.5,0.3
0.02,-6.0,-4.0,-2.0,-0.5,0.3,0.4,-3.0,-2.5,0.2
0.0,-7.5,-6.0,-3.0,-1.0,0.2,0.1,-3.5,-2.0,0.0
0.01,-8.0,-5.0,-3.0,-1.5,-4.0,0.1,-3.0,-2.0,0.5
0.0,-10.0,-9.5,-7.0,-5.0,-6.0,-2.5,-3.0,-4.0,0.2
0.01,-9.0,-8.0,-6.0,-4.0,-5.0,-1.0,-2.0,-3.0,0.1
0.03,-7.0,-5.5,-3.5,-1.5,-2.5,0.3,-1.5,-1.5,0.4
0.15,-8.0,-4.5,-2.5,-0.5,-1.5,0.2,-1.5,-1.5,0.4
0.0,-10.0,-9.0,-8.0,-6.0,-7.0,-3.5,-4.0,-5.0,0.1
0.0,-10.0,-9.0,-6.0,-5.0,-4.0,-3.0,-2.0,-1.0,0.3
0.04,-6.5,-5.0,-3.0,-1.0,0.0,0.5,-1.0,-1.5,0.1
0.02,-9.5,-8.5,-6.5,-4.5,-5.5,-1.5,-4.5,-5.5,0.1
0.1,-6.0,-5.0,-3.5,-1.0,-2.5,0.4,-1.0,-1.0,0.1
0.02,-7.5,-6.5,-4.0,-2.0,-3.0,0.1,-2.5,-1.0,0.4
0.03,-9.0,-6.5,-4.0,-1.5,-3.0,0.2,-2.5,-1.0,0.3
0.02,-9.0,-7.0,-4.0,-2.5,-3.5,0.0,-2.0,-1.5,0.1
0.06,-5.0,-4.0,-2.5,-1.0,-1.0,0.2,-1.0,-1.5,0.5
0.05,-9.5,-7.5,-6.0,-4.0,-5.5,-2.0,-3.0,-5.0,0.1
0.0,-9.0,-8.0,-6.0,-5.0,-4.0,-3.0,-2.0,-1.0,0.4
0.0,-8.5,-6.5,-4.5,-3.0,-2.0,0.1,-2.5,-1.5,0.3
0.04,-6.5,-5.5,-3.5,-2.5,-1.0,0.3,-2.0,-1.5,0.1
0.0,-8.0,-7.0,-6.0,-5.0,-4.0,-3.0,-2.0,-1.0,0.4
0.0,-9.5,-8.5,-5.5,-4.5,-3.5,-2.0,-1.0,-1.5,0.2
0.02,-9.0,-8.5,-7.5,-6.0,-5.0,-3.0,-2.0,-1.0,0.3
0.04,-8.0,-6.0,-4.0,-2.5,-3.0,0.1,-3.0,-1.0,0.3
0.04,-8.8,-7.5,-5.5,-4.5,-3.5,-1.5,-2.0,-1.0,0.5
0.03,-9.9,-8.9,-7.8,-5.8,-3.8,-2.8,-1.8,-0.8,0.4
0.02,-9.7,-8.2,-7.3,-5.8,-4.8,-3.8,-2.3,-1.3,0.1
0.02,-9.2,-8.1,-6.9,-4.9,-3.8,-2.7,-1.7,-0.7,0.4
0.03,-8.0,-6.0,-4.0,-2.0,-2.5,-1.0,-3.0,-1.5,0.2
0.02,-9.6,-8.4,-7.3,-5.2,-3.9,-3.2,-1.8,-0.7,0.1
0.04,-8.5,-7.0,-5.0,-3.5,-2.5,-1.5,-1.0,-0.5,0.4
0.02,-9.3,-8.0,-7.0,-5.0,-4.0,-3.0,-1.5,-1.5,0.4
0.01,-8.5,-7.0,-5.0,-3.0,-2.0,0.0,-2.5,-2.0,0.2
0.06,-6.2,-4.1,-3.3,-2.1,-1.0,0.5,-2.5,-1.4,0.1
0.05,-9.1,-7.9,-5.7,-4.3,-3.6,-2.6,-1.2,-0.9,0.3
0.02,-9.8,-8.7,-7.5,-6.0,-5.5,-4.0,-3.0,-2.0,0.2
0.04,-9.8,-7.8,-5.8,-4.8,-3.8,-2.8,-1.8,-1.8,0.5
0.01,-9.9,-8.9,-6.9,-5.9,-4.9,-3.9,-2.9,-1.9,0.1
0.01,-6.5,-5.5,-4.5,-2.5,-1.5,0.0,-2.0,-1.5,0.4
0.04,-9.3,-7.8,-5.3,-3.8,-2.3,-1.3,-1.8,-1.8,0.5
0.04,-9.8,-8.6,-7.0,-5.5,-4.5,-3.0,-1.0,-1.0,0.2
0.05,-4.0,-3.0,-2.0,0.0,-1.0,0.1,-1.0,-1.0,0.3
0.03,-8.8,-6.5,-5.0,-3.0,-2.5,0.0,-1.0,-1.0,0.2
0.03,-9.1,-8.0,-7.0,-5.0,-4.0,-3.0,-2.5,-1.0,0.5
0.03,-10.0,-9.0,-7.0,-5.0,-4.0,-3.0,-2.0,-1.0,0.1
0.02,-8.0,-6.0,-4.5,-3.5,-2.5,-1.5,-2.0,-1.5,0.3
0.01,-9.5,-7.5,-5.0,-3.5,-4.0,-2.0,-2.5,-1.5,0.3
0.01,-8.0,-7.0,-5.5,-4.5,-3.0,-1.0,-2.0,-1.5,0.2
