x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.011,0.242,0.61,0.428,0.535,0.867,0.304,0.105,0.725,0.609
0.628,0.531,0.735,0.514,0.472,0.042,0.472,0.865,0.243,0.911
0.7,0.788,0.103,0.028,0.444,0.09,0.531,0.512,0.372,0.302
0.413,0.454,0.554,0.193,0.743,0.827,0.976,0.754,0.656,0.875
0.999,0.527,0.118,0.544,0.61,0.795,0.702,0.939,0.471,0.07
0.0,-10.0,0.1,-9.0,0.2,-7.0,0.3,-8.0,0.4,-9.5
0.15,-6.0,0.25,-3.5,0.35,-2.5,0.45,-1.5,0.55,-4.0
0.0,-9.0,0.05,-7.5,0.15,-6.5,0.2,-5.0,0.3,-8.0
0.1,-8.0,0.2,-6.0,0.3,-5.0,0.4,-4.0,0.5,-7.0
0.75,-10.0,0.2,-9.5,0.3,-8.0,0.4,-7.5,0.5,-9.0
0.01,-7.5,0.3,-6.5,0.4,-5.5,0.5,-4.5,0.6,-3.5
0.4,-9.8,0.1,-8.5,0.2,-7.5,0.3,-6.5,0.4,-5.5
0.2,-9.0,0.3,-7.5,0.4,-6.0,0.5,-5.0,0.6,-7.5
0.3,-7.8,0.15,-6.8,0.2,-5.8,0.3,-4.8,0.4,-3.8
0.3,-10.0,0.05,-9.0,0.1,-8.5,0.15,-7.0,0.2,-6.0
0.12,-9.2,0.15,-6.5,0.1,-5.0,0.05,-4.5,0.2,-8.0
0.09,-9.2,0.15,-7.5,0.3,-6.0,0.4,-5.5,0.5,-3.5
0.02,-8.5,0.15,-6.5,0.2,-4.5,0.25,-3.5,0.3,-2.5
0.0,-9.5,0.1,-7.0,0.2,-5.0,0.3,-3.0,0.4,-4.5
0.05,-8.0,0.1,-8.0,0.2,-6.0,0.25,-5.5,0.3,-4.5
0.04,-8.5,0.09,-7.0,0.14,-5.5,0.19,-5.0,0.23,-4.5
0.05,-9.5,0.02,-6.8,0.1,-5.5,0.15,-4.5,0.2,-3.5
0.03,-9.4,0.07,-8.2,0.15,-5.2,0.22,-4.7,0.33,-3.6
0.005,-9.8,0.08,-7.7,0.11,-5.8,0.17,-4.2,0.22,-3.8
0.02,-9.3,0.1,-7.8,0.16,-6.2,0.21,-5.2,0.27,-4.1
0.05,-9.9,0.12,-8.3,0.18,-6.8,0.24,-5.3,0.3,-4.2
0.04,-10.0,0.2,-8.0,0.25,-6.0,0.3,-5.0,0.35,-4.0
0.01,-9.5,0.0,-8.0,0.05,-6.5,0.1,-5.0,0.15,-4.0
0.01,-8.0,0.1,-7.5,0.15,-5.5,0.2,-4.5,0.25,-4.0
0.02,-9.0,0.05,-8.0,0.1,-7.0,0.15,-6.0,0.2,-5.0
0.03,-9.0,0.1,-7.0,0.2,-5.5,0.3,-4.0,0.4,-3.0
0.05,-9.7,0.04,-7.2,0.12,-5.8,0.18,-4.9,0.23,-3.7
0.04,-10.0,0.05,-9.0,0.1,-7.5,0.2,-6.5,0.3,-5.5
0.02,-9.8,0.04,-7.8,0.1,-6.2,0.15,-5.3,0.25,-4.1
0.03,-9.9,0.05,-8.1,0.15,-6.9,0.2,-5.6,0.3,-4.3
0.03,-9.6,0.08,-7.8,0.12,-5.5,0.18,-4.8,0.22,-4.0
0.05,-10.0,0.1,-7.5,0.2,-5.5,0.3,-4.5,0.4,-3.0
0.15,-9.0,0.2,-7.5,0.3,-5.5,0.35,-4.0,0.4,-3.5
0.03,-9.4,0.06,-7.7,0.12,-6.2,0.18,-4.8,0.21,-3.9
0.03,-9.5,0.07,-7.9,0.12,-5.6,0.18,-4.7,0.22,-3.6
0.15,-9.0,0.25,-7.5,0.35,-5.0,0.45,-4.0,0.55,-3.0
0.03,-9.8,0.07,-7.9,0.14,-5.7,0.22,-4.5,0.3,-3.8
0.01,-9.7,0.03,-8.4,0.08,-6.8,0.12,-5.6,0.18,-4.3
0.02,-9.5,0.03,-8.2,0.1,-6.5,0.15,-4.7,0.2,-3.8
0.01,-9.8,0.06,-7.8,0.1,-5.8,0.14,-4.5,0.19,-3.6
0.01,-9.6,0.04,-8.1,0.09,-6.1,0.14,-5.9,0.19,-4.3
0.01,-9.0,0.09,-8.5,0.13,-6.5,0.17,-5.5,0.22,-4.5
0.1,-9.5,0.1,-9.5,0.1,-7.0,0.1,-5.0,0.1,-4.5
0.04,-9.5,0.08,-8.0,0.14,-6.0,0.19,-5.5,0.3,-4.5
0.06,-9.6,0.02,-8.7,0.12,-5.8,0.16,-4.8,0.22,-3.9
0.02,-9.4,0.08,-8.0,0.12,-6.0,0.18,-5.2,0.24,-3.9
0.05,-8.5,0.07,-7.0,0.1,-5.6,0.15,-4.3,0.2,-3.2
0.03,-9.7,0.07,-7.9,0.12,-5.9,0.17,-4.6,0.21,-3.7
0.01,-9.9,0.04,-8.5,0.1,-6.0,0.12,-5.0,0.18,-4.5
0.01,-9.4,0.08,-7.9,0.12,-6.0,0.17,-4.3,0.21,-3.6
