F1,F2
0.651,3.749
0.439,3.604
0.415,3.793
0.502,3.554
0.423,3.574
0.303,3.065
0.15,2.908
0.05,1.892
0.07,3.211
0.2,4.367
0.18,4.796
0.1,5.155
0.02,6.954
0.45,4.111
0.35,4.02
0.005,2.286
0.05,3.694
0.3,4.188
0.55,3.858
0.15,3.448
0.3,4.229
0.2,3.018
0.08,4.191
0.29,2.048
0.12,3.104
0.04,4.473
0.25,4.327
0.06,4.732
0.01,3.868
0.02,2.305
0.1,4.362
0.06,4.976
0.03,4.741
0.45,3.595
0.04,5.257
0.15,3.518
0.14,3.673
0.02,3.601
0.3,4.27
0.4,3.99
0.3,4.463
0.15,3.468
0.07,2.449
0.5,3.383
0.16,3.131
0.02,4.357
0.33,4.079
0.09,4.55
0.12,2.55
0.2,4.213
0.03,2.422
0.03,4.921
0.3,5.684
0.1,4.166
0.01,3.849
