F1,F2
0.809,3.351
0.052,5.134
0.356,3.533
0.388,3.967
0.991,3.657
0.123,4.781
0.223,4.333
0.15,4.777
0.067,4.946
0.01,2.284
0.045,5.311
0.02,4.922
0.05,4.99
0.34,4.13
0.11,4.832
0.03,5.225
0.12,4.535
0.02,5.012
0.055,3.355
0.02,2.332
0.015,2.292
0.72,2.184
0.1,4.536
0.33,4.226
0.01,6.366
0.15,4.543
0.005,1.627
0.4,3.856
0.32,3.657
0.02,4.516
0.01,4.971
0.04,5.037
0.15,3.899
0.05,4.961
0.4,3.589
0.04,4.426
0.4,2.421
0.01,0.986
0.35,4.235
0.3,3.452
0.7,3.551
0.3,4.391
0.01,1.41
0.2,2.295
0.01,4.686
0.005,2.286
0.31,3.962
0.2,4.325
0.15,4.41
0.007,1.114
0.1,4.152
0.08,4.854
0.13,4.557
0.02,3.601
0.09,3.375
