surrogate_model_prediction,benchmark_evaluation
"{'F1': 0.6, 'F2': 7.0}","{'F1': 1.0, 'F2': 7.499}"
"{'F1': 0.81, 'F2': 8.42}","{'F1': 0.933, 'F2': 8.38}"
"{'F1': 0.8, 'F2': 7.2}","{'F1': 0.632, 'F2': 7.31}"
"{'F1': 0.7, 'F2': 7.0}","{'F1': 0.981, 'F2': 7.122}"
"{'F1': 0.7, 'F2': 6.5}","{'F1': 0.85, 'F2': 6.232}"
"{'F1': 0.6, 'F2': 6.5}","{'F1': 0.504, 'F2': 5.639}"
"{'F1': 0.65, 'F2': 6.5}","{'F1': 1.0, 'F2': 6.176}"
"{'F1': 0.78, 'F2': 6.0}","{'F1': 0.871, 'F2': 6.538}"
"{'F1': 0.85, 'F2': 6.45}","{'F1': 0.871, 'F2': 6.433}"
"{'F1': 0.55, 'F2': 5.0}","{'F1': 0.77, 'F2': 4.148}"
"{'F1': 0.5, 'F2': 4.0}","{'F1': 1.0, 'F2': 3.586}"
"{'F1': 0.81, 'F2': 8.0}","{'F1': 0.851, 'F2': 8.484}"
"{'F1': 0.85, 'F2': 7.25}","{'F1': 1.0, 'F2': 7.388}"
"{'F1': 0.77, 'F2': 4.0}","{'F1': 0.998, 'F2': 3.668}"
"{'F1': 0.83, 'F2': 7.3}","{'F1': 0.988, 'F2': 6.963}"
"{'F1': 0.94, 'F2': 7.45}","{'F1': 0.95, 'F2': 7.574}"
"{'F1': 0.73, 'F2': 4.1}","{'F1': 0.77, 'F2': 4.036}"
"{'F1': 0.6, 'F2': 5.0}","{'F1': 0.77, 'F2': 7.583}"
"{'F1': 0.75, 'F2': 4.2}","{'F1': 0.912, 'F2': 5.073}"
"{'F1': 0.87, 'F2': 6.25}","{'F1': 0.988, 'F2': 7.121}"
"{'F1': 0.77, 'F2': 4.04}","{'F1': 0.998, 'F2': 4.461}"
"{'F1': 0.87, 'F2': 5.18}","{'F1': 0.912, 'F2': 5.608}"
"{'F1': 0.85, 'F2': 6.5}","{'F1': 0.335, 'F2': 7.313}"
"{'F1': 0.77, 'F2': 7.31}","{'F1': 0.632, 'F2': 8.182}"
"{'F1': 0.5, 'F2': 5.64}","{'F1': 1.0, 'F2': 5.925}"
"{'F1': 1.0, 'F2': 3.67}","{'F1': 1.0, 'F2': 3.667}"
"{'F1': 0.34, 'F2': 7.31}","{'F1': 0.98, 'F2': 8.045}"
"{'F1': 0.91, 'F2': 5.78}","{'F1': 0.998, 'F2': 5.562}"
"{'F1': 0.77, 'F2': 7.58}","{'F1': 0.632, 'F2': 8.521}"
"{'F1': 0.99, 'F2': 7.0}","{'F1': 1.0, 'F2': 8.252}"
"{'F1': 0.95, 'F2': 8.25}","{'F1': 0.933, 'F2': 8.38}"
"{'F1': 0.77, 'F2': 8.25}","{'F1': 0.851, 'F2': 9.001}"
"{'F1': 0.91, 'F2': 5.14}","{'F1': 0.912, 'F2': 4.916}"
"{'F1': 0.87, 'F2': 7.5}","{'F1': 1.0, 'F2': 8.596}"
"{'F1': 1.0, 'F2': 8.5}","{'F1': 0.954, 'F2': 8.462}"
"{'F1': 0.95, 'F2': 5.5}","{'F1': 0.376, 'F2': 6.275}"
"{'F1': 1.0, 'F2': 3.67}","{'F1': 1.0, 'F2': 3.877}"
"{'F1': 0.95, 'F2': 8.4}","{'F1': 1.0, 'F2': 7.829}"
"{'F1': 0.95, 'F2': 8.0}","{'F1': 0.954, 'F2': 8.483}"
"{'F1': 0.99, 'F2': 8.25}","{'F1': 0.504, 'F2': 8.874}"
"{'F1': 0.93, 'F2': 8.48}","{'F1': 0.954, 'F2': 8.686}"
"{'F1': 1.0, 'F2': 4.24}","{'F1': 0.979, 'F2': 4.544}"
"{'F1': 0.87, 'F2': 6.54}","{'F1': 0.708, 'F2': 6.617}"
"{'F1': 0.77, 'F2': 7.12}","{'F1': 1.0, 'F2': 8.275}"
"{'F1': 1.0, 'F2': 5.56}","{'F1': 0.998, 'F2': 5.911}"
"{'F1': 0.91, 'F2': 6.12}","{'F1': 0.981, 'F2': 7.233}"
"{'F1': 0.95, 'F2': 8.25}","{'F1': 0.504, 'F2': 7.89}"
"{'F1': 0.91, 'F2': 4.92}","{'F1': 0.912, 'F2': 4.195}"
"{'F1': 0.34, 'F2': 5.64}","{'F1': 0.851, 'F2': 6.574}"
"{'F1': 0.55, 'F2': 6.15}","{'F1': 0.335, 'F2': 6.488}"
