candidate_evaluations,hypervolume_contributions
"[{'Error': 12.59, 'Latency': 12.27}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 8.17, 'Latency': 25.45}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 10.45, 'Latency': 22.15}, {'Error': 9.78, 'Latency': 15.5}, {'Error': 14.32, 'Latency': 28.4}, {'Error': 11.67, 'Latency': 20.6}, {'Error': 13.45, 'Latency': 18.9}]","[0.0, 0.00018150374037073647, 0.00018150374037073647, 0.0, 0.0, 0.0, 0.0, 0.00018150374037073647, 0.0, 0.0, 0.004198727087040055, 0.016635650858657147, 0.0, 0.0026478667285889657, 0.0]"
"[{'Error': 12.59, 'Latency': 12.27}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 8.17, 'Latency': 25.45}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 10.45, 'Latency': 22.15}, {'Error': 9.78, 'Latency': 15.5}, {'Error': 14.32, 'Latency': 28.4}, {'Error': 11.67, 'Latency': 20.6}, {'Error': 13.45, 'Latency': 18.9}]","[0.0, 0.00018150374037073647, 0.00018150374037073647, 0.0, 0.0, 0.0, 0.0, 0.00018150374037073647, 0.0, 0.0, 0.004198727087040055, 0.016635650858657147, 0.0, 0.0026478667285889657, 0.0]"
"[{'Error': 12.59, 'Latency': 12.27}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 8.17, 'Latency': 25.45}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 10.45, 'Latency': 22.15}, {'Error': 9.78, 'Latency': 15.5}, {'Error': 14.32, 'Latency': 28.4}, {'Error': 11.67, 'Latency': 20.6}, {'Error': 13.45, 'Latency': 18.9}]","[0.0, 0.00018150374037073647, 0.00018150374037073647, 0.0, 0.0, 0.0, 0.0, 0.00018150374037073647, 0.0, 0.0, 0.004198727087040055, 0.016635650858657147, 0.0, 0.0026478667285889657, 0.0]"
"[{'Error': 12.59, 'Latency': 12.27}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 8.17, 'Latency': 25.45}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 10.45, 'Latency': 22.15}, {'Error': 9.78, 'Latency': 15.5}, {'Error': 14.32, 'Latency': 28.4}, {'Error': 11.67, 'Latency': 20.6}, {'Error': 13.45, 'Latency': 18.9}]","[0.0, 0.00018150374037073647, 0.00018150374037073647, 0.0, 0.0, 0.0, 0.0, 0.00018150374037073647, 0.0, 0.0, 0.004198727087040055, 0.016635650858657147, 0.0, 0.0026478667285889657, 0.0]"
"[{'Error': 12.59, 'Latency': 12.27}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 19.86, 'Latency': 17.28}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 8.17, 'Latency': 25.45}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 8.4, 'Latency': 22.01}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 19.86, 'Latency': 17.28}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 19.86, 'Latency': 17.28}]","[0.0, 2.8381183763137585e-06, 0.00018150374037051442, 0.0, 0.0, 0.00018150374037051442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8381183763137585e-06, 0.00018150374037051442, 2.8381183763137585e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8381183763137585e-06, 0.0, 0.0, 0.0]"
"[{'Error': 12.59, 'Latency': 12.27}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 19.86, 'Latency': 17.28}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 8.17, 'Latency': 25.45}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 8.4, 'Latency': 22.01}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 19.86, 'Latency': 17.28}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 19.86, 'Latency': 17.28}]","[0.0, 2.8381183763137585e-06, 0.00018150374037051442, 0.0, 0.0, 0.00018150374037051442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8381183763137585e-06, 0.00018150374037051442, 2.8381183763137585e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8381183763137585e-06, 0.0, 0.0, 0.0]"
"[{'Error': 12.59, 'Latency': 12.27}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 19.86, 'Latency': 17.28}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 8.17, 'Latency': 25.45}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 8.4, 'Latency': 22.01}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 19.86, 'Latency': 17.28}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 19.86, 'Latency': 17.28}]","[0.0, 2.8381183763137585e-06, 0.00018150374037051442, 0.0, 0.0, 0.00018150374037051442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8381183763137585e-06, 0.00018150374037051442, 2.8381183763137585e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8381183763137585e-06, 0.0, 0.0, 0.0]"
"[{'Error': 12.59, 'Latency': 12.27}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 19.86, 'Latency': 17.28}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 8.17, 'Latency': 25.45}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 8.4, 'Latency': 22.01}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 19.86, 'Latency': 17.28}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 10.2, 'Latency': 25.42}, {'Error': 19.86, 'Latency': 17.28}]","[0.0, 2.8381183763137585e-06, 0.00018150374037051442, 0.0, 0.0, 0.00018150374037051442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8381183763137585e-06, 0.00018150374037051442, 2.8381183763137585e-06, 0.0, 0.0, 0.0, 0.0, 0.0, 2.8381183763137585e-06, 0.0, 0.0, 0.0]"
"[{'Error': 15.88, 'Latency': 9.8}, {'Error': 24.55, 'Latency': 17.84}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 19.81, 'Latency': 14.1}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 19.81, 'Latency': 14.1}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 24.55, 'Latency': 17.84}, {'Error': 19.52, 'Latency': 16.96}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 19.86, 'Latency': 17.28}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 25.03, 'Latency': 15.73}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 24.55, 'Latency': 17.84}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 25.03, 'Latency': 15.73}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 19.52, 'Latency': 16.96}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 24.55, 'Latency': 17.84}, {'Error': 8.4, 'Latency': 22.01}]","[0.00018150374037051442, 0.0, 0.0, 0.0, 0.0, 2.8381183763137585e-06, 0.0, 0.0, 0.00018150374037051442, 0.0, 0.0, 0.00018150374037051442, 0.0, 0.0, 0.0, 0.00018150374037051442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00018150374037051442, 0.0, 0.0, 0.0]"
"[{'Error': 15.88, 'Latency': 9.8}, {'Error': 24.55, 'Latency': 17.84}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 19.81, 'Latency': 14.1}, {'Error': 90.0, 'Latency': 18.79}, {'Error': 15.36, 'Latency': 10.84}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 19.81, 'Latency': 14.1}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 24.55, 'Latency': 17.84}, {'Error': 19.52, 'Latency': 16.96}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 19.86, 'Latency': 17.28}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 25.03, 'Latency': 15.73}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 24.55, 'Latency': 17.84}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 25.03, 'Latency': 15.73}, {'Error': 8.29, 'Latency': 30.31}, {'Error': 19.52, 'Latency': 16.96}, {'Error': 15.88, 'Latency': 9.8}, {'Error': 12.59, 'Latency': 12.27}, {'Error': 24.55, 'Latency': 17.84}, {'Error': 8.4, 'Latency': 22.01}]","[0.00018150374037051442, 0.0, 0.0, 0.0, 0.0, 2.8381183763137585e-06, 0.0, 0.0, 0.00018150374037051442, 0.0, 0.0, 0.00018150374037051442, 0.0, 0.0, 0.0, 0.00018150374037051442, 0.0, 0.0, 0.0, 0.0, 0.0, 0.00018150374037051442, 0.0, 0.0, 0.0]"
