candidate_evaluations,hypervolume_contributions
"[{'F1': 0.25, 'F2': 4.0}, {'F1': 0.66, 'F2': 3.8}, {'F1': 0.6, 'F2': 4.5}, {'F1': 0.45, 'F2': 4.2}, {'F1': 0.5, 'F2': 4.1}]","[0.07179511964534546, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.01, 'F2': 5.0}, {'F1': 0.54, 'F2': 4.0}, {'F1': 0.14, 'F2': 4.5}, {'F1': 0.23, 'F2': 4.2}, {'F1': 0.07, 'F2': 4.8}]","[0.017219616944071925, 0.0, 0.03470027029606215, 0.041852312957913584, 0.010120340463636746]"
"[{'F1': 0.23, 'F2': 4.53}, {'F1': 0.14, 'F2': 4.48}, {'F1': 0.25, 'F2': 4.05}, {'F1': 0.3, 'F2': 4.1}, {'F1': 0.08, 'F2': 5.05}]","[0.0, 0.014921778593887325, 0.017917124214843483, 0.007793274110116544, 0.0021573655798390323]"
"[{'F1': 0.07, 'F2': 4.9}, {'F1': 0.03, 'F2': 5.05}, {'F1': 0.07, 'F2': 4.8}, {'F1': 0.2, 'F2': 4.4}, {'F1': 0.06, 'F2': 4.95}]","[0.0072378577141498646, 0.009137759764265896, 0.010330959301393605, 0.005060430917545045, 0.006765138414967398]"
"[{'F1': 0.2, 'F2': 4.5}, {'F1': 0.01, 'F2': 5.2}, {'F1': 0.1, 'F2': 4.7}, {'F1': 0.35, 'F2': 4.0}, {'F1': 0.1, 'F2': 4.8}]","[0.0035123267450967166, 0.008562835392689427, 0.007423794058934563, 0.0011014956579347146, 0.0018512624721449544]"
"[{'F1': 0.12, 'F2': 4.5}, {'F1': 0.15, 'F2': 2.5}, {'F1': 0.3, 'F2': 4.0}, {'F1': 0.2, 'F2': 3.5}, {'F1': 0.2, 'F2': 3.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.04, 'F2': 4.47}, {'F1': 0.38, 'F2': 3.84}, {'F1': 0.12, 'F2': 4.78}, {'F1': 0.08, 'F2': 4.9}, {'F1': 0.02, 'F2': 5.25}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.05, 'F2': 4.73}, {'F1': 0.68, 'F2': 3.82}, {'F1': 0.12, 'F2': 4.22}, {'F1': 0.9, 'F2': 2.95}, {'F1': 0.34, 'F2': 4.12}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.36, 'F2': 4.45}, {'F1': 0.12, 'F2': 4.72}, {'F1': 0.26, 'F2': 4.35}, {'F1': 0.25, 'F2': 4.5}, {'F1': 0.15, 'F2': 4.85}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 0.11, 'F2': 4.82}, {'F1': 0.08, 'F2': 4.9}, {'F1': 0.02, 'F2': 4.88}, {'F1': 0.12, 'F2': 4.78}, {'F1': 0.04, 'F2': 5.05}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
