surrogate_model_prediction,benchmark_evaluation
"{'F1': 0.2, 'F2': 3.476}","{'F1': 0.2, 'F2': 4.115}"
"{'F1': 0.05, 'F2': 4.367}","{'F1': 0.05, 'F2': 5.059}"
"{'F1': 0.6, 'F2': 4.257}","{'F1': 0.6, 'F2': 3.314}"
"{'F1': 0.35, 'F2': 3.76}","{'F1': 0.35, 'F2': 4.476}"
"{'F1': 0.4, 'F2': 4.074}","{'F1': 0.4, 'F2': 4.044}"
"{'F1': 0.4, 'F2': 4.044}","{'F1': 0.4, 'F2': 4.151}"
"{'F1': 0.01, 'F2': 1.02}","{'F1': 0.01, 'F2': 2.281}"
"{'F1': 0.5, 'F2': 4.063}","{'F1': 0.5, 'F2': 3.842}"
"{'F1': 0.1, 'F2': 4.223}","{'F1': 0.1, 'F2': 4.845}"
"{'F1': 0.11, 'F2': 4.632}","{'F1': 0.11, 'F2': 4.739}"
"{'F1': 0.25, 'F2': 4.167}","{'F1': 0.25, 'F2': 3.745}"
"{'F1': 0.25, 'F2': 3.762}","{'F1': 0.25, 'F2': 2.789}"
"{'F1': 0.3, 'F2': 4.044}","{'F1': 0.3, 'F2': 3.479}"
"{'F1': 0.8, 'F2': 3.231}","{'F1': 0.8, 'F2': 2.807}"
"{'F1': 0.7, 'F2': 3.387}","{'F1': 0.7, 'F2': 3.487}"
"{'F1': 0.6, 'F2': 3.842}","{'F1': 0.6, 'F2': 3.658}"
"{'F1': 0.4, 'F2': 4.151}","{'F1': 0.4, 'F2': 3.589}"
"{'F1': 0.5, 'F2': 3.842}","{'F1': 0.5, 'F2': 3.763}"
"{'F1': 0.4, 'F2': 3.977}","{'F1': 0.4, 'F2': 4.151}"
"{'F1': 0.3, 'F2': 3.479}","{'F1': 0.3, 'F2': 4.161}"
"{'F1': 0.15, 'F2': 4.613}","{'F1': 0.15, 'F2': 4.591}"
"{'F1': 0.1, 'F2': 4.673}","{'F1': 0.1, 'F2': 4.686}"
"{'F1': 0.1, 'F2': 4.686}","{'F1': 0.1, 'F2': 4.536}"
"{'F1': 0.5, 'F2': 3.842}","{'F1': 0.5, 'F2': 3.169}"
"{'F1': 0.33, 'F2': 4.476}","{'F1': 0.33, 'F2': 4.466}"
"{'F1': 0.22, 'F2': 4.256}","{'F1': 0.22, 'F2': 4.17}"
"{'F1': 0.2, 'F2': 4.115}","{'F1': 0.2, 'F2': 4.263}"
"{'F1': 0.35, 'F2': 3.856}","{'F1': 0.35, 'F2': 3.81}"
"{'F1': 0.18, 'F2': 4.257}","{'F1': 0.18, 'F2': 4.329}"
"{'F1': 0.12, 'F2': 4.61}","{'F1': 0.12, 'F2': 1.848}"
"{'F1': 0.6, 'F2': 3.366}","{'F1': 0.6, 'F2': 3.271}"
"{'F1': 0.1, 'F2': 4.686}","{'F1': 0.1, 'F2': 4.643}"
"{'F1': 0.1, 'F2': 4.845}","{'F1': 0.1, 'F2': 4.498}"
"{'F1': 0.1, 'F2': 4.643}","{'F1': 0.1, 'F2': 3.194}"
"{'F1': 0.2, 'F2': 3.561}","{'F1': 0.2, 'F2': 3.211}"
"{'F1': 0.2, 'F2': 2.673}","{'F1': 0.2, 'F2': 1.574}"
"{'F1': 0.08, 'F2': 4.667}","{'F1': 0.08, 'F2': 4.321}"
"{'F1': 0.1, 'F2': 3.194}","{'F1': 0.1, 'F2': 3.263}"
"{'F1': 0.01, 'F2': 3.194}","{'F1': 0.01, 'F2': 3.553}"
"{'F1': 0.3, 'F2': 3.673}","{'F1': 0.3, 'F2': 3.52}"
