F1,F2
1.0,8.419
0.993,8.572
0.997,7.808
0.811,9.071
1.0,8.566
1.0,7.499
0.933,8.38
0.632,7.31
0.981,7.122
0.85,6.232
0.504,5.639
1.0,6.176
0.871,6.538
0.871,6.433
0.77,4.148
1.0,3.586
0.851,8.484
1.0,7.388
0.998,3.668
0.988,6.963
0.95,7.574
0.77,4.036
0.77,7.583
0.912,5.073
0.988,7.121
0.998,4.461
0.912,5.608
0.335,7.313
0.632,8.182
1.0,5.925
1.0,3.667
0.98,8.045
0.998,5.562
0.632,8.521
1.0,8.252
0.933,8.38
0.851,9.001
0.912,4.916
1.0,8.596
0.954,8.462
0.376,6.275
1.0,3.877
1.0,7.829
0.954,8.483
0.504,8.874
0.954,8.686
0.979,4.544
0.708,6.617
1.0,8.275
0.998,5.911
0.981,7.233
0.504,7.89
0.912,4.195
0.851,6.574
0.335,6.488
