F1,F2
0.963,9.302
1.0,8.25
1.0,8.186
0.971,9.246
1.0,7.441
0.926,8.489
0.504,8.496
0.851,8.484
0.981,7.338
0.77,8.134
0.77,8.963
0.979,6.723
0.98,8.045
0.851,6.738
0.998,6.139
0.871,7.568
0.504,8.5
0.981,8.329
0.981,7.657
0.77,6.511
1.0,8.636
0.504,8.126
1.0,6.021
1.0,8.229
0.77,7.745
0.504,7.806
1.0,8.939
0.979,7.947
0.376,8.228
1.0,8.489
0.953,8.389
0.933,7.135
0.98,8.532
0.504,6.982
0.77,7.583
0.504,7.89
0.871,8.505
0.632,8.457
1.0,7.746
1.0,6.283
0.632,9.03
0.504,6.019
0.981,6.289
0.504,8.889
0.504,8.413
1.0,8.172
0.77,5.963
1.0,6.45
1.0,7.467
0.954,8.483
0.998,6.632
0.504,5.871
0.998,5.452
0.979,7.1
0.632,9.205
