prompt_tokens,completion_tokens,total_tokens
1827,1362,3189
3028,102,3130
2116,1362,3478
3317,98,3415
2405,1362,3767
3606,102,3708
2694,1362,4056
3895,98,3993
2983,1362,4345
4184,98,4282
3272,1362,4634
4473,102,4575
3561,1362,4923
4762,98,4860
3850,1362,5212
5051,102,5153
4139,1362,5501
5340,102,5442
4428,1362,5790
5629,98,5727
4717,1362,6079
5918,98,6016
5006,1362,6368
6207,98,6305
5295,1362,6657
6496,98,6594
5584,1362,6946
5584,276,5860
6785,98,6883
5873,1362,7235
7074,102,7176
6162,1362,7524
6162,549,6711
6162,272,6434
7363,98,7461
6451,1362,7813
7652,98,7750
6740,1362,8102
7941,98,8039
7029,1362,8391
8230,98,8328
7318,1362,8680
7318,272,7590
8519,102,8621
7607,1362,8969
8808,98,8906
7896,1362,9258
9097,98,9195
8185,1362,9547
9386,98,9484
8474,1362,9836
8474,820,9294
9675,98,9773
8763,1362,10125
9964,98,10062
9052,1362,10414
10253,98,10351
9341,1362,10703
9341,272,9613
10542,98,10640
9630,1362,10992
9630,549,10179
9630,272,9902
10831,98,10929
9919,1362,11281
11120,98,11218
10208,1362,11570
10208,276,10484
11409,102,11511
10497,1362,11859
10497,276,10773
10497,276,10773
11698,98,11796
10786,1362,12148
11987,98,12085
11075,1362,12437
12276,98,12374
11364,1362,12726
12565,98,12663
11653,1362,13015
12854,98,12952
11942,1362,13304
13143,98,13241
12231,1362,13593
12231,272,12503
13432,98,13530
12520,1362,13882
12520,272,12792
13721,98,13819
12809,1362,14171
12809,549,13358
12809,276,13085
14010,98,14108
13098,1362,14460
13098,272,13370
14299,102,14401
13387,1362,14749
13387,820,14207
13387,276,13663
13387,276,13663
13387,276,13663
13387,276,13663
13387,276,13663
13387,272,13659
14588,98,14686
13676,1362,15038
14877,102,14979
13965,1362,15327
15166,98,15264
14254,1362,15616
14254,820,15074
14254,276,14530
15455,98,15553
14543,1362,15905
14543,272,14815
15744,98,15842
14832,1362,16194
16033,98,16131
15121,1362,16483
15121,274,15395
15121,272,15393
15121,276,15397
16322,98,16420
15410,1362,16772
16611,98,16709
15699,1362,17061
15699,549,16248
15699,276,15975
16900,98,16998
15988,1362,17350
17189,102,17291
