prompt_tokens,completion_tokens,total_tokens
1827,1362,3189
3028,102,3130
2116,1362,3478
3317,98,3415
2405,1362,3767
3606,98,3704
2694,1362,4056
3895,102,3997
2983,1362,4345
4184,98,4282
3272,1362,4634
4473,102,4575
3561,1362,4923
4762,98,4860
3850,1362,5212
5051,98,5149
4139,1362,5501
5340,98,5438
4428,1362,5790
5629,98,5727
4717,1362,6079
5918,102,6020
5006,1362,6368
6207,98,6305
5295,1362,6657
6496,102,6598
5584,1362,6946
6785,102,6887
5873,1362,7235
7074,98,7172
6162,1362,7524
7363,102,7465
6451,1362,7813
7652,102,7754
6740,1362,8102
7941,102,8043
7029,1362,8391
8230,102,8332
7318,1362,8680
8519,98,8617
7607,1362,8969
8808,98,8906
7896,1362,9258
9097,98,9195
8185,1362,9547
9386,102,9488
8474,1362,9836
9675,98,9773
8763,1362,10125
9964,98,10062
9052,1362,10414
10253,102,10355
9341,1362,10703
10542,98,10640
9630,1362,10992
10831,98,10929
9919,1362,11281
11120,102,11222
10208,1362,11570
11409,102,11511
10497,1362,11859
11698,102,11800
10786,1362,12148
11987,98,12085
11075,1362,12437
12276,98,12374
11364,1362,12726
12565,102,12667
11653,1362,13015
12854,98,12952
11942,1362,13304
11942,549,12491
13143,102,13245
12231,1362,13593
12231,276,12507
13432,98,13530
12520,1362,13882
13721,98,13819
12809,1362,14171
14010,102,14112
13098,1362,14460
14299,102,14401
13387,1362,14749
13387,274,13661
13387,276,13663
13387,276,13663
13387,276,13663
14588,98,14686
13676,1362,15038
14877,98,14975
13965,1362,15327
15166,98,15264
14254,1362,15616
15455,98,15553
14543,1362,15905
15744,98,15842
14832,1362,16194
16033,98,16131
15121,1362,16483
16322,98,16420
15410,1353,16763
15410,549,15959
16611,98,16709
15699,1362,17061
15699,549,16248
16900,98,16998
15988,1362,17350
17189,98,17287
