surrogate_model_prediction,benchmark_evaluation
"{'F1': 12.4, 'Latency': 25.5}","{'f1': 6.803333333333342, 'latency': 22.26672649383545}"
"{'F1': 7.0, 'Latency': 19.0}","{'f1': 6.943333333333328, 'latency': 22.85543918609619}"
"{'F1': 6.9, 'Latency': 18}","{'f1': 10.836666666666659, 'latency': 19.551639556884766}"
"{'F1': 11.0, 'Latency': 20}","{'f1': 12.413333333333341, 'latency': 14.732122421264648}"
"{'F1': 10.8, 'Latency': 22.5}","{'f1': 11.060000000000002, 'latency': 21.80471420288086}"
"{'F1': 12.0, 'Latency': 15.0}","{'f1': 9.995000000000005, 'latency': 14.618043899536133}"
"{'F1': 12.0, 'Latency': 20.0}","{'f1': 9.463333333333324, 'latency': 22.16651439666748}"
"{'F1': 12.4, 'Latency': 20.0}","{'f1': 7.533333333333346, 'latency': 19.996051788330078}"
"{'F1': 6.8, 'Latency': 20.0}","{'f1': 10.420000000000002, 'latency': 20.242223739624023}"
"{'F1': 6.9, 'Latency': 17.71}","{'f1': 6.730000000000004, 'latency': 18.302435874938965}"
"{'F1': 9.2, 'Latency': 20.5}","{'f1': 8.700000000000003, 'latency': 21.95976734161377}"
"{'F1': 6.5, 'Latency': 18.0}","{'f1': 10.613333333333344, 'latency': 20.71082592010498}"
"{'F1': 10.2, 'Latency': 21.5}","{'f1': 6.490000000000009, 'latency': 20.91287136077881}"
"{'F1': 12.13, 'Latency': 15.4}","{'f1': 10.473333333333343, 'latency': 18.108129501342773}"
"{'F1': 10.6, 'Latency': 20.0}","{'f1': 10.626666666666665, 'latency': 22.232670783996582}"
"{'F1': 6.5, 'Latency': 20.0}","{'f1': 11.126666666666665, 'latency': 16.518168449401855}"
"{'F1': 6.7, 'Latency': 18.0}","{'f1': 10.50333333333333, 'latency': 13.053140640258789}"
"{'F1': 11.2, 'Latency': 16.3}","{'f1': 9.723333333333343, 'latency': 18.24728488922119}"
"{'F1': 11.5, 'Latency': 20.5}","{'f1': 10.686666666666667, 'latency': 26.993155479431152}"
"{'F1': 10.2, 'Latency': 19.8}","{'f1': 14.023333333333355, 'latency': 20.652308464050293}"
"{'F1': 11.8, 'Latency': 20.2}","{'f1': 43.81666666666666, 'latency': 21.581311225891113}"
"{'F1': 10.5, 'Latency': 19.5}","{'f1': 10.566666666666677, 'latency': 22.996578216552734}"
"{'F1': 8.0, 'Latency': 14.0}","{'f1': 11.15666666666668, 'latency': 16.558871269226074}"
"{'F1': 10.2, 'Latency': 22.5}","{'f1': 8.476666666666645, 'latency': 25.302419662475586}"
"{'F1': 13.0, 'Latency': 20.6}","{'f1': 13.046666666666667, 'latency': 16.41087055206299}"
