F1,F2
0.12,74.585
0.031,105.665
0.29,100.631
0.807,79.475
0.417,90.033
0.0,189.21
0.05,83.66
0.02,114.358
0.0,144.55
0.01,136.248
0.0,350.63
0.01,242.358
0.03,128.769
0.15,119.392
0.0,391.17
0.0,291.18
0.04,86.787
0.02,313.406
0.1,94.367
0.02,148.009
0.03,192.641
0.02,176.779
0.06,69.803
0.05,270.964
0.0,244.07
0.0,182.35
0.04,122.12
0.0,212.07
0.0,251.63
0.02,301.216
0.04,164.763
0.04,220.043
0.03,424.706
0.02,442.377
0.02,363.524
0.03,155.456
0.02,388.533
0.04,173.664
0.02,277.783
0.01,187.257
0.06,141.892
0.05,322.131
0.02,375.789
0.04,384.35
0.01,372.144
0.01,114.495
0.04,345.553
0.04,321.027
0.05,56.396
0.03,196.716
0.03,258.42
0.03,289.955
0.02,164.606
0.01,229.909
0.01,197.47
