F1,F2
0.011,99.265
0.628,57.971
0.7,59.841
0.413,100.116
0.999,59.062
0.0,435.55
0.15,107.263
0.0,320.835
0.1,229.786
0.75,418.044
0.01,193.623
0.4,354.323
0.2,280.677
0.3,316.252
0.3,368.657
0.12,289.352
0.09,272.099
0.02,221.62
0.0,244.8
0.05,275.059
0.04,249.28
0.05,253.224
0.03,335.151
0.005,358.679
0.02,366.941
0.05,398.603
0.04,308.055
0.01,258.831
0.01,244.407
0.02,293.642
0.03,233.886
0.05,340.162
0.04,352.119
0.02,359.134
0.03,355.862
0.03,313.088
0.05,263.396
0.15,247.178
0.03,337.547
0.03,304.622
0.15,220.029
0.03,337.663
0.01,359.075
0.02,327.836
0.01,322.961
0.01,329.398
0.01,296.402
0.1,297.921
0.04,290.369
0.06,347.564
0.02,311.434
0.05,263.568
0.03,328.129
0.01,291.659
0.01,304.519
