F1,F2
0.765,33.584
0.656,65.891
0.344,68.046
0.726,64.517
0.665,83.03
0.1,407.943
0.3,145.052
0.1,297.495
0.1,189.348
0.2,110.126
0.12,422.262
0.05,440.412
0.05,554.421
0.02,322.45
0.01,473.988
0.15,318.018
0.15,356.69
0.2,437.545
0.06,334.023
0.08,644.032
0.3,252.397
0.02,854.285
0.1,479.773
0.01,897.998
0.4,372.59
0.02,602.618
0.07,256.974
0.07,527.278
0.02,432.27
0.03,804.453
0.005,284.804
0.09,730.427
0.15,279.45
0.05,609.027
0.2,792.352
0.0,808.5
0.06,581.593
0.02,844.689
0.1,787.664
0.02,776.519
0.005,887.821
0.15,641.366
0.005,920.912
0.01,284.309
0.03,827.403
0.15,878.376
0.25,504.148
0.04,907.804
0.01,779.473
0.35,322.45
0.04,776.676
0.0,663.91
0.3,428.511
0.2,134.267
0.1,378.795
