prompt_tokens,completion_tokens,total_tokens
927,462,1389
1328,98,1426
1036,462,1498
1437,98,1535
1145,462,1607
1546,98,1644
1254,462,1716
1655,98,1753
1363,462,1825
1764,98,1862
1472,462,1934
1873,98,1971
1581,462,2043
1982,98,2080
1690,462,2152
2091,98,2189
1799,462,2261
2200,98,2298
1908,462,2370
2309,102,2411
2017,462,2479
2418,98,2516
2126,462,2588
2527,102,2629
2235,462,2697
2636,98,2734
2344,462,2806
2745,98,2843
2453,462,2915
2854,98,2952
2562,462,3024
2963,98,3061
2671,462,3133
3072,98,3170
2780,462,3242
3181,98,3279
2889,462,3351
3290,98,3388
2998,462,3460
3399,102,3501
3107,462,3569
3508,102,3610
3216,462,3678
3617,98,3715
3325,462,3787
3726,98,3824
3434,462,3896
3835,98,3933
3543,462,4005
3944,98,4042
3652,462,4114
4053,102,4155
3761,462,4223
4162,98,4260
3870,462,4332
4271,98,4369
3979,462,4441
4380,98,4478
4088,462,4550
4489,98,4587
4197,462,4659
4598,102,4700
4306,462,4768
4707,98,4805
4415,462,4877
4816,98,4914
4524,462,4986
4925,98,5023
4633,462,5095
5034,98,5132
4742,462,5204
5143,98,5241
4851,462,5313
5252,98,5350
4960,462,5422
5361,98,5459
5069,462,5531
5470,98,5568
5178,462,5640
5579,98,5677
5287,462,5749
5688,98,5786
5396,462,5858
5797,102,5899
5505,462,5967
5906,98,6004
5614,462,6076
6015,98,6113
5723,462,6185
6124,102,6226
5832,462,6294
6233,98,6331
5941,462,6403
6342,98,6440
6050,462,6512
6451,98,6549
6159,462,6621
6560,102,6662
6268,462,6730
6669,98,6767
