prompt_tokens,completion_tokens,total_tokens
2238,1362,3600
3022,102,3124
2238,1362,3600
3022,102,3124
2238,1362,3600
3022,102,3124
2238,1362,3600
3022,98,3120
2238,1362,3600
3022,102,3124
2238,1362,3600
2238,1362,3600
2238,1362,3600
2238,1362,3600
3022,98,3120
3022,98,3120
3022,102,3124
3022,98,3120
2238,1362,3600
3022,98,3120
3394,1362,4756
4178,98,4276
3394,1362,4756
4178,102,4280
3394,1362,4756
4178,98,4276
3394,1362,4756
4178,98,4276
3394,1362,4756
4178,98,4276
3394,1362,4756
3394,1362,4756
4178,98,4276
4178,102,4280
3394,1362,4756
3394,1362,4756
4178,102,4280
3394,1362,4756
4178,98,4276
4178,98,4276
4550,1362,5912
5334,98,5432
4550,1362,5912
5334,98,5432
4550,1362,5912
5334,102,5436
4550,1362,5912
5334,102,5436
4550,1362,5912
5334,102,5436
4550,1362,5912
4550,1362,5912
5334,98,5432
5334,98,5432
4550,1362,5912
4550,1362,5912
5334,98,5432
4550,1362,5912
5334,102,5436
5334,102,5436
5706,1362,7068
6490,98,6588
5706,1362,7068
6490,98,6588
5706,1362,7068
5706,276,5982
5706,276,5982
6490,98,6588
5706,1362,7068
6490,98,6588
5706,1362,7068
6490,98,6588
5706,1362,7068
6490,102,6592
5706,1362,7068
5706,1362,7068
5706,1362,7068
6490,102,6592
6490,98,6588
6490,98,6588
5706,1362,7068
5706,820,6526
6490,98,6588
6862,1362,8224
7646,98,7744
6862,1362,8224
7646,98,7744
6862,1362,8224
7646,98,7744
6862,1362,8224
7646,98,7744
6862,1362,8224
7646,98,7744
6862,1362,8224
6862,1362,8224
7646,98,7744
7646,102,7748
6862,1362,8224
6862,1362,8224
6862,1362,8224
7646,98,7744
7646,102,7748
7646,98,7744
8018,1362,9380
8802,98,8900
8018,1362,9380
8802,98,8900
8018,1362,9380
8802,98,8900
8018,1362,9380
8802,98,8900
8018,1362,9380
8018,820,8838
8802,98,8900
8018,1362,9380
8018,1362,9380
8018,1362,9380
8802,102,8904
8018,272,8290
8018,1362,9380
8802,102,8904
8018,1362,9380
8802,98,8900
8802,102,8904
8018,820,8838
8802,98,8900
9174,1362,10536
9958,98,10056
9174,1362,10536
9958,98,10056
9174,1362,10536
9958,98,10056
9174,1362,10536
9958,98,10056
9174,1362,10536
9958,98,10056
9174,1362,10536
9174,1362,10536
9958,98,10056
9174,1362,10536
9174,1362,10536
9958,98,10056
9958,98,10056
9958,98,10056
9174,1362,10536
9958,98,10056
10330,1362,11692
11114,98,11212
10330,1362,11692
11114,98,11212
10330,1362,11692
11114,98,11212
10330,1362,11692
11114,102,11216
10330,1362,11692
11114,98,11212
10330,1362,11692
10330,1362,11692
10330,1362,11692
11114,102,11216
10330,1362,11692
11114,98,11212
11114,102,11216
11114,102,11216
10330,1362,11692
11114,98,11212
11486,1362,12848
11486,276,11762
12270,98,12368
11486,1362,12848
12270,98,12368
11486,1362,12848
12270,98,12368
11486,1362,12848
12270,98,12368
11486,1362,12848
12270,98,12368
11486,1362,12848
11486,1362,12848
11486,1362,12848
11486,1362,12848
12270,98,12368
12270,98,12368
12270,98,12368
12270,102,12372
11486,1362,12848
12270,102,12372
12642,1362,14004
13426,98,13524
12642,1362,14004
13426,98,13524
12642,1362,14004
13426,98,13524
12642,1362,14004
13426,98,13524
12642,1362,14004
13426,98,13524
12642,1362,14004
13426,102,13528
12642,1362,14004
12642,1362,14004
13426,98,13524
12642,1362,14004
13426,98,13524
12642,276,12918
12642,1362,14004
13426,98,13524
13426,98,13524
13798,1362,15160
14582,102,14684
13798,1362,15160
14582,98,14680
13798,1362,15160
14582,98,14680
13798,1362,15160
14582,102,14684
13798,1362,15160
13798,1091,14889
13798,820,14618
13798,549,14347
14582,98,14680
13798,1362,15160
13798,1362,15160
13798,1362,15160
13798,276,14074
14582,98,14680
14582,98,14680
14582,98,14680
13798,1362,15160
13798,1353,15151
13798,276,14074
13798,276,14074
14582,98,14680
14582,98,14680
14954,1362,16316
15738,98,15836
14954,1362,16316
15738,98,15836
14954,1362,16316
15738,98,15836
14954,1362,16316
15738,98,15836
14954,1362,16316
15738,98,15836
14954,1362,16316
14954,1362,16316
15738,98,15836
14954,1362,16316
14954,1362,16316
15738,98,15836
14954,1362,16316
14954,549,15503
15738,98,15836
14954,276,15230
15738,98,15836
15738,98,15836
16110,1362,17472
16110,820,16930
16894,98,16992
16110,1362,17472
16110,276,16386
16894,98,16992
16110,1362,17472
16894,98,16992
16110,1362,17472
16894,98,16992
16110,1362,17472
16894,98,16992
16110,1362,17472
16110,1362,17472
16110,1362,17472
16110,1362,17472
16894,98,16992
16894,98,16992
16110,1362,17472
16110,276,16386
16110,549,16659
16894,98,16992
16110,276,16386
16110,820,16930
16110,272,16382
16894,98,16992
16894,102,16996
17266,1362,18628
18050,98,18148
17266,1362,18628
18050,98,18148
17266,1362,18628
18050,98,18148
17266,1362,18628
17266,820,18086
17266,549,17815
17266,549,17815
18050,98,18148
17266,1362,18628
17266,820,18086
17266,272,17538
17266,276,17542
17266,272,17538
18050,98,18148
17266,1362,18628
17266,1362,18628
17266,1362,18628
17266,272,17538
17266,1362,18628
18050,102,18152
17266,1362,18628
18050,98,18148
18050,98,18148
18050,102,18152
17266,1362,18628
17266,1091,18357
17266,820,18086
18050,98,18148
18422,1362,19784
18422,276,18698
19206,98,19304
18422,1362,19784
19206,98,19304
18422,1362,19784
19206,102,19308
18422,1362,19784
19206,98,19304
18422,1362,19784
19206,98,19304
18422,1362,19784
18422,1362,19784
18422,1362,19784
19206,98,19304
18422,1362,19784
18422,276,18698
19206,102,19308
18422,1362,19784
19206,102,19308
19206,98,19304
18422,276,18698
19206,98,19304
