x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.011,0.242,0.61,0.428,0.535,0.867,0.304,0.105,0.725,0.609
0.628,0.531,0.735,0.514,0.472,0.042,0.472,0.865,0.243,0.911
0.7,0.788,0.103,0.028,0.444,0.09,0.531,0.512,0.372,0.302
0.413,0.454,0.554,0.193,0.743,0.827,0.976,0.754,0.656,0.875
0.999,0.527,0.118,0.544,0.61,0.795,0.702,0.939,0.471,0.07
0.1,0.5,0.5,0.4,0.1,0.1,0.1,0.1,0.1,0.1
0.3,1.0,-3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.4,0.8,0.0,0.1,0.2,0.3,0.4,0.5,0.6,0.7
0.3,-1.8,0.6,0.0,-9.0,-3.0,-2.0,0.4,-1.0,0.05
0.0,-3.0,-1.0,0.5,-0.5,0.0,-1.5,0.1,-3.0,-8.0
0.0,-2.0,0.0,0.0,-5.0,-9.0,-8.0,0.0,-4.0,-1.0
0.05,-1.5,0.2,0.1,-5.0,-5.0,-3.0,0.2,-2.0,0.0
0.05,-2.0,-1.5,0.4,0.3,0.2,-0.5,0.4,-3.0,-6.0
0.1,-8.0,-5.0,-3.0,-9.0,-8.59,-10.0,-8.0,-9.0,-8.5
0.0,-10.0,-10.0,-10.0,-10.0,-8.59,-10.0,-10.0,-10.0,-9.56
0.2,0.0,0.5,-1.0,0.0,0.0,0.1,0.0,0.0,0.0
0.05,-1.7,-0.6,0.4,-5.1,-6.2,-9.8,0.3,-5.0,-3.0
0.15,-3.0,-7.0,-2.0,-1.0,-9.0,-4.0,0.1,-6.0,-5.0
0.2,-10.0,-7.0,-5.0,-9.0,-10.0,-9.0,-10.0,-9.0,-9.8
0.25,1.5,-4.0,-1.0,2.0,-2.0,-3.0,0.4,-2.5,-1.0
0.2,-5.0,-5.0,0.3,-4.0,-7.0,-2.0,0.5,-6.0,-3.0
0.1,-1.0,0.1,0.0,-1.0,-3.0,-2.0,0.1,-2.0,0.0
0.3,-4.0,-6.0,-2.0,-1.5,-5.0,-4.0,-7.0,-5.0,-6.5
0.1,-2.5,-1.0,0.1,-4.0,-8.0,-9.0,0.1,-2.0,-4.0
0.2,-6.0,-2.0,-3.0,0.5,-7.0,-8.0,0.3,-2.5,-2.0
0.35,-1.0,-0.5,0.2,0.1,-2.0,-1.0,0.0,-1.0,-1.5
0.05,-9.0,-8.0,-9.0,-10.0,-8.0,-9.0,-10.0,-10.0,-9.5
0.0,-10.0,-10.0,-9.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
0.0,-7.0,-7.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0,-10.0
0.02,-1.0,0.3,0.0,0.1,0.0,-1.0,0.0,0.0,0.0
0.1,-2.5,0.1,0.2,0.2,0.1,-1.0,-1.0,0.0,0.0
0.0,-9.0,-9.0,-7.0,-10.0,-9.0,-10.0,-10.0,-10.0,-9.0
0.0,-10.0,-10.0,-9.0,-10.0,-10.0,-10.0,-9.0,-10.0,-10.0
0.1,-3.5,-4.0,-2.5,-2.0,-3.5,-5.0,-7.0,-4.0,-5.5
0.15,0.2,0.2,-0.5,0.3,-2.0,-1.0,0.0,0.0,-0.5
0.1,-1.5,0.2,0.1,1.0,0.5,0.2,0.3,0.5,0.1
0.3,0.0,0.4,0.1,1.5,0.5,0.3,0.2,0.1,0.1
0.25,-0.5,-2.5,-1.0,-0.5,-4.0,-3.0,0.2,0.1,-1.0
0.25,-4.0,-6.0,0.0,0.5,-7.0,-6.0,0.2,-5.0,-4.0
0.3,-3.5,-2.0,-1.0,0.2,-1.0,-0.5,0.4,-1.0,-1.0
0.15,-2.0,-4.0,0.0,0.1,-2.0,-2.0,0.1,0.1,0.0
0.05,-3.0,-1.5,0.2,-1.0,-2.0,-1.0,0.1,-1.5,-2.5
0.1,0.1,0.0,0.0,-1.0,0.1,0.1,-1.0,-0.5,0.0
0.15,-8.0,-7.5,-9.0,-9.5,-7.0,-8.5,-9.5,-8.5,-8.0
0.0,-5.0,-8.0,-4.0,-9.0,-8.0,-7.0,-6.0,-5.0,-9.0
0.1,-0.6,-1.5,-1.0,-2.0,-0.5,-1.5,0.1,0.0,0.2
0.4,-0.5,0.0,-1.0,0.5,-1.5,-1.0,0.0,-1.0,-2.0
0.15,-1.0,-1.5,-2.0,-1.0,-3.0,-4.0,0.1,-1.0,-2.5
0.1,-1.5,-1.0,-1.0,-3.0,-5.0,-3.0,0.0,-1.0,-2.0
