F1,F2
0.809,5.331
0.052,5.677
0.356,4.821
0.388,5.389
0.991,5.959
0.123,5.199
0.241,4.305
0.12,3.637
0.234,5.361
0.015,3.524
0.009,3.595
0.05,4.578
0.029,3.731
0.006,3.513
0.015,3.531
0.043,3.466
0.028,3.517
0.012,3.542
0.05,3.237
0.002,3.494
0.005,3.481
0.008,3.48
0.004,3.482
0.02,3.573
0.001,3.493
0.002,3.488
0.015,3.452
0.028,3.389
0.007,3.47
0.02,3.247
0.03,3.622
0.003,3.493
0.002,3.483
0.001,3.008
0.004,3.421
0.022,3.493
0.013,3.512
0.001,3.416
0.007,3.495
0.017,3.45
0.008,3.526
0.018,3.47
0.021,3.512
0.004,3.483
0.003,3.495
0.005,3.504
0.003,3.493
0.01,3.265
0.01,3.439
0.002,3.433
0.002,3.466
0.003,3.441
0.01,3.264
