F1,F2
0.651,5.595
0.439,5.063
0.415,5.24
0.502,5.115
0.423,4.997
0.28,3.844
0.35,3.523
0.33,3.758
0.1,3.994
0.05,6.446
0.2,2.761
0.09,6.15
0.15,3.1
0.12,2.437
0.12,3.906
0.11,2.382
0.12,2.764
0.05,2.382
0.07,2.266
0.08,2.475
0.08,2.373
0.01,1.993
0.02,2.32
0.04,2.077
0.03,1.929
0.01,1.873
0.01,1.733
0.02,1.895
0.02,1.817
0.01,1.686
0.03,1.919
0.04,2.35
0.04,1.903
0.03,1.763
0.05,2.397
0.02,1.671
0.01,1.63
0.15,3.769
0.03,1.854
0.05,2.272
0.04,1.956
0.005,1.691
0.006,1.737
0.05,2.154
0.02,1.736
0.01,1.687
0.04,1.816
0.015,1.711
0.02,1.791
0.005,1.447
0.015,1.554
0.06,2.023
0.04,1.835
0.02,1.717
0.04,1.81
0.04,2.118
0.03,1.879
0.03,1.925
0.01,1.705
0.05,2.26
0.04,1.859
0.06,2.007
0.03,1.984
0.04,5.236
0.05,2.105
