F1,F2
0.193,5.526
0.021,6.194
0.868,5.771
0.9,5.301
0.144,4.472
0.12,4.985
0.03,4.01
0.04,3.529
0.01,4.367
0.02,3.234
0.01,3.085
0.07,3.637
0.08,3.978
0.03,4.342
0.06,2.799
0.12,5.041
0.005,5.252
0.02,2.53
0.02,3.88
0.1,4.908
0.1,5.296
0.01,2.44
0.015,2.595
0.02,3.79
0.06,5.577
0.025,2.575
0.05,5.406
0.04,2.709
0.2,5.493
0.25,2.778
0.3,5.032
0.03,5.357
0.07,5.49
0.02,1.18
0.05,4.149
0.15,5.409
0.2,5.372
0.03,3.97
0.1,2.081
0.5,5.079
0.2,4.047
0.01,3.759
0.04,4.777
0.05,5.391
0.01,4.113
0.012,2.458
0.1,4.598
0.07,2.978
0.09,5.533
0.05,2.473
0.2,5.285
0.15,5.605
0.2,2.786
0.01,3.7
0.07,4.329
0.15,5.418
0.18,4.332
0.01,3.79
0.1,5.321
0.2,5.244
0.1,5.197
0.02,2.44
0.05,2.799
0.2,5.633
0.1,5.048
