prompt_tokens,completion_tokens,total_tokens
701,611,1312
701,335,1036
701,335,1036
701,1234,1935
3002,1221,4223
4055,113,4168
3270,1221,4491
3270,244,3514
4323,119,4442
3529,1212,4741
3529,494,4023
3529,244,3773
4572,113,4685
3797,1225,5022
3797,492,4289
3797,244,4041
4859,113,4972
4055,1231,5286
5118,107,5225
4315,1210,5525
4315,731,5046
5360,113,5473
4574,1229,5803
5635,107,5742
4833,1248,6081
5913,106,6019
5110,1244,6354
5110,242,5352
6190,107,6297
5369,1225,6594
6431,105,6536
5627,1222,6849
5627,492,6119
5627,485,6112
5627,494,6121
5627,510,6137
5627,244,5871
5627,244,5871
5627,244,5871
5627,240,5867
5627,254,5881
6699,107,6806
5904,1227,7131
5904,734,6638
5904,244,6148
5904,241,6145
5904,244,6148
5904,245,6149
5904,244,6148
5904,253,6157
5904,244,6148
5904,244,6148
5904,1216,7120
6966,111,7077
6181,1239,7420
6181,240,6421
7252,105,7357
6448,1217,7665
6448,253,6701
6448,253,6701
6448,253,6701
6448,254,6702
6448,240,6688
7502,107,7609
6717,1222,7939
6717,494,7211
6717,240,6957
6717,249,6966
6717,244,6961
7770,107,7877
6977,1234,8211
6977,459,7436
6977,244,7221
6977,244,7221
6977,244,7221
6977,253,7230
8066,107,8173
7245,1141,8386
7245,987,8232
7245,244,7489
7245,253,7498
8334,106,8440
7522,1215,8737
7522,494,8016
8566,113,8679
7781,1221,9002
7781,510,8291
7781,244,8025
8843,106,8949
8049,1217,9266
8049,244,8293
8049,240,8289
8049,245,8294
8049,244,8293
8049,244,8293
9103,106,9209
8309,1226,9535
8309,731,9040
8309,244,8553
9371,108,9479
8568,1217,9785
8568,244,8812
8568,240,8808
8568,242,8810
9620,108,9728
8836,1225,10061
8836,748,9584
8836,244,9080
8836,253,9089
8836,240,9076
8836,244,9080
8836,244,9080
8836,241,9077
8836,244,9080
9897,108,10005
9095,1234,10329
9095,492,9587
10148,101,10249
9353,1206,10559
9353,746,10099
9353,510,9863
10423,106,10529
9611,1234,10845
9611,493,10104
9611,254,9865
10701,107,10808
9888,1228,11116
9888,511,10399
9888,253,10141
9888,244,10132
10959,105,11064
10147,1225,11372
10147,737,10884
10147,491,10638
10147,494,10641
10147,253,10400
10147,244,10391
10147,244,10391
10147,208,10355
10147,244,10391
10147,253,10400
10147,1231,11378
11210,108,11318
10406,1048,11454
10406,1230,11636
10406,748,11154
10406,240,10646
10406,244,10650
10406,253,10659
10406,245,10651
10406,253,10659
10406,244,10650
10406,244,10650
10406,1234,11640
11494,108,11602
10665,1054,11719
10665,1239,11904
10665,658,11323
10665,748,11413
10665,254,10919
11763,106,11869
10933,1225,12158
10933,748,11681
10933,510,11443
10933,253,11186
12013,107,12120
11192,1225,12417
11192,658,11850
11192,489,11681
11192,495,11687
11192,244,11436
11192,244,11436
11192,244,11436
11192,244,11436
11192,244,11436
12255,108,12363
11452,1227,12679
11452,1217,12669
11452,1226,12678
11452,1216,12668
11452,996,12448
11452,253,11705
11452,253,11705
11452,253,11705
11452,244,11696
11452,253,11705
12533,106,12639
11720,1229,12949
12786,105,12891
11986,1234,13220
11986,253,12239
11986,253,12239
11986,244,12230
11986,244,12230
11986,253,12239
11986,244,12230
11986,244,12230
11986,244,12230
11986,253,12239
11986,1231,13217
13075,106,13181
12254,1240,13494
12254,492,12746
12254,510,12764
