prompt_tokens,completion_tokens,total_tokens
2722,3074,5796
3541,5000,8541
3541,1377,4918
2929,3052,5981
3780,3011,6791
3147,4947,8094
3966,2901,6867
3372,5000,8372
3372,4695,8067
4211,1839,6050
3591,3014,6605
4418,4809,9227
3817,3553,7370
4635,1826,6461
4036,3457,7493
4852,4203,9055
4268,4353,8621
5091,2085,7176
4494,3799,8293
5305,5000,10305
5305,1766,7071
4701,4319,9020
5501,2564,8065
4899,3366,8265
4899,3227,8126
5731,5000,10731
5731,5000,10731
5731,5000,10731
5731,3925,9656
5132,4819,9951
5958,2256,8214
5351,4411,9762
6183,3211,9394
5570,4459,10029
6367,1298,7665
5769,5000,10769
5769,3998,9767
6600,4050,10650
6002,2986,8988
6824,1525,8349
6221,5000,11221
6221,4027,10248
7065,5000,12065
7065,4280,11345
6447,4551,10998
7261,3986,11247
6668,3454,10122
7511,4425,11936
6895,4707,11602
7699,2936,10635
7094,3938,11032
7913,1295,9208
7294,5000,12294
7294,4836,12130
8126,3026,11152
7513,3826,11339
8328,1367,9695
7733,4162,11895
8547,3063,11610
7960,3100,11060
8803,2210,11013
8186,2959,11145
9011,5000,14011
9011,5000,14011
9011,1167,10178
8405,5000,13405
8405,5000,13405
8405,3080,11485
9238,4127,13365
9238,1488,10726
8612,3523,12135
9416,3561,12977
8832,4028,12860
9621,5000,14621
9621,1976,11597
9056,4505,13561
9867,4228,14095
9867,3799,13666
9867,2698,12565
9277,2894,12171
10065,1142,11207
9486,4824,14310
10272,4345,14617
9689,3814,13503
10484,5000,15484
10484,5000,15484
10484,1771,12255
9896,3798,13694
10707,3727,14434
10104,3522,13626
10918,4640,15558
10329,2813,13142
10329,5000,15329
10329,4819,15148
11118,3711,14829
11118,3947,15065
10541,5000,15541
10541,2701,13242
11367,4229,15596
10760,3361,14121
11579,5000,16579
11579,2004,13583
10965,4648,15613
11774,3335,15109
11172,1460,12632
11995,4330,16325
11382,3948,15330
12191,5000,17191
12191,4035,16226
11596,5000,16596
11596,5000,16596
11596,3033,14629
12404,4442,16846
11822,5000,16822
11822,2077,13899
12622,1404,14026
12029,3109,15138
12811,4989,17800
12238,3242,15480
13021,5000,18021
13021,4906,17927
12444,3632,16076
13212,5000,18212
13212,5000,18212
13212,3991,17203
