prompt_tokens,completion_tokens,total_tokens
2719,3663,6382
3543,2316,5859
2952,4531,7483
3768,5000,8768
3768,5000,8768
3768,3886,7654
3169,4897,8066
4007,5000,9007
4007,2787,6794
3395,3922,7317
3395,5000,8395
3395,3643,7038
4228,2059,6287
3622,3787,7409
4450,5000,9450
4450,3502,7952
3847,5000,8847
3847,4597,8444
4674,2431,7105
4058,5000,9058
4058,4466,8524
4881,2544,7425
4291,4715,9006
5108,5000,10108
5108,2352,7460
4497,4645,9142
5319,3531,8850
4704,3785,8489
5538,1835,7373
4930,3848,8778
5748,4860,10608
5150,5000,10150
5150,4078,9228
5954,2447,8401
5355,4456,9811
6190,4690,10880
5574,4706,10280
6405,5000,11405
6405,4612,11017
5794,2940,8734
6601,2800,9401
5990,4004,9994
6796,4514,11310
6197,5000,11197
6197,5000,11197
6197,4077,10274
7014,3905,10919
6411,4807,11218
7218,1726,8944
6631,5000,11631
6631,4599,11230
7453,1346,8799
6845,4806,11651
6845,5000,11845
6845,2439,9284
7684,5000,12684
7684,4100,11784
7072,2184,9256
7872,2892,10764
7291,2935,10226
8116,2241,10357
7518,5000,12518
7518,5000,12518
7518,3791,11309
8333,976,9309
7751,4669,12420
8580,5000,13580
8580,4788,13368
7971,4165,12136
8770,1437,10207
8191,4002,12193
9019,5000,14019
9019,4235,13254
8417,5000,13417
8417,3954,12371
9235,5000,14235
9235,5000,14235
9235,2541,11776
8643,3567,12210
9457,2093,11550
8867,3370,12237
9673,3716,13389
9100,3817,12917
9904,5000,14904
9904,3203,13107
9904,3597,13501
9318,4434,13752
10120,1113,11233
9537,5000,14537
9537,3498,13035
10363,5000,15363
10363,5000,15363
10363,5000,15363
10363,5000,15363
10363,5000,15363
10363,5000,15363
10363,3365,13728
9755,4746,14501
10597,1281,11878
9989,5000,14989
9989,5000,14989
9989,4055,14044
10791,5000,15791
10791,3555,14346
10196,3399,13595
10997,2700,13697
10404,3485,13889
11198,1360,12558
10637,2855,13492
11437,2600,14037
10853,2444,13297
11677,5000,16677
11677,3213,14890
11072,3252,14324
11909,4081,15990
11306,1396,12702
12113,2026,14139
11529,4139,15668
12341,2191,14532
11753,3999,15752
12565,5000,17565
12565,3812,16377
11969,5000,16969
11969,1741,13710
12787,2824,15611
12173,4377,16550
12998,3984,16982
12393,2834,15227
13217,4724,17941
13217,5000,18217
13217,1451,14668
12613,2499,15112
12613,4839,17452
13445,1688,15133
12832,4097,16929
13662,2621,16283
