surrogate_model_prediction,benchmark_evaluation
"{'F1': 0.7, 'F2': 2.3}","{'F1': 0.9, 'F2': 3.176}"
"{'F1': 0.604, 'F2': 2.382}","{'F1': 0.5, 'F2': 3.842}"
"{'F1': 0.395, 'F2': 3.512}","{'F1': 0.35, 'F2': 4.232}"
,"{'F1': 0.9, 'F2': 3.127}"
,"{'F1': 0.5, 'F2': 3.842}"
,"{'F1': 0.1, 'F2': 4.874}"
,"{'F1': 0.6, 'F2': 3.658}"
"{'F1': 0.7, 'F2': 3.086}","{'F1': 0.7, 'F2': 3.388}"
"{'F1': 0.2, 'F2': 4.963}","{'F1': 0.2, 'F2': 4.255}"
"{'F1': 0.3, 'F2': 3.388}","{'F1': 0.3, 'F2': 4.054}"
,"{'F1': 0.4, 'F2': 4.044}"
,"{'F1': 0.8, 'F2': 3.327}"
,"{'F1': 0.01, 'F2': 5.262}"
"{'F1': 0.6, 'F2': 3.5}","{'F1': 0.6, 'F2': 3.271}"
"{'F1': 0.05, 'F2': 5.123}","{'F1': 0.05, 'F2': 4.852}"
"{'F1': 0.33, 'F2': 3.842}","{'F1': 0.33, 'F2': 3.092}"
,"{'F1': 0.02, 'F2': 5.301}"
,"{'F1': 0.22, 'F2': 4.349}"
,"{'F1': 0.85, 'F2': 2.401}"
"{'F1': 0.9, 'F2': 3.16}","{'F1': 0.9, 'F2': 1.747}"
"{'F1': 0.95, 'F2': 1.71}","{'F1': 0.95, 'F2': 2.896}"
"{'F1': 0.1, 'F2': 4.812}","{'F1': 0.1, 'F2': 4.536}"
,"{'F1': 0.8, 'F2': 3.327}"
,"{'F1': 0.005, 'F2': 5.485}"
,"{'F1': 0.03, 'F2': 5.21}"
,"{'F1': 0.1, 'F2': 4.874}"
,"{'F1': 0.78, 'F2': 3.817}"
"{'F1': 0.08, 'F2': 5.023}","{'F1': 0.08, 'F2': 4.912}"
"{'F1': 0.3, 'F2': 4.054}","{'F1': 0.3, 'F2': 4.27}"
"{'F1': 0.4, 'F2': 4.044}","{'F1': 0.4, 'F2': 4.044}"
,"{'F1': 0.001, 'F2': 5.58}"
,"{'F1': 0.002, 'F2': 5.548}"
,"{'F1': 0.02, 'F2': 5.301}"
"{'F1': 0.01, 'F2': 5.262}","{'F1': 0.01, 'F2': 5.411}"
"{'F1': 0.08, 'F2': 4.912}","{'F1': 0.08, 'F2': 4.912}"
"{'F1': 0.4, 'F2': 4.044}","{'F1': 0.4, 'F2': 3.469}"
,"{'F1': 0.003, 'F2': 5.519}"
,"{'F1': 0.82, 'F2': 2.814}"
,"{'F1': 0.001, 'F2': 5.58}"
,"{'F1': 0.75, 'F2': 4.156}"
"{'F1': 0.05, 'F2': 4.852}","{'F1': 0.05, 'F2': 5.059}"
"{'F1': 0.45, 'F2': 4.044}","{'F1': 0.45, 'F2': 3.49}"
"{'F1': 0.2, 'F2': 4.96}","{'F1': 0.2, 'F2': 4.535}"
,"{'F1': 0.0, 'F2': 5.648}"
,"{'F1': 0.001, 'F2': 5.602}"
,"{'F1': 0.001, 'F2': 5.602}"
"{'F1': 0.22, 'F2': 4.349}","{'F1': 0.22, 'F2': 4.349}"
"{'F1': 0.15, 'F2': 4.69}","{'F1': 0.15, 'F2': 4.841}"
"{'F1': 0.25, 'F2': 4.621}","{'F1': 0.25, 'F2': 4.147}"
,"{'F1': 0.0, 'F2': 5.631}"
,"{'F1': 0.8, 'F2': 3.327}"
,"{'F1': 0.001, 'F2': 5.602}"
"{'F1': 0.15, 'F2': 4.841}","{'F1': 0.15, 'F2': 4.841}"
"{'F1': 0.2, 'F2': 4.255}","{'F1': 0.2, 'F2': 4.367}"
"{'F1': 0.1, 'F2': 4.874}","{'F1': 0.1, 'F2': 4.758}"
,"{'F1': 0.0, 'F2': 5.631}"
,"{'F1': 0.001, 'F2': 5.602}"
,"{'F1': 0.0, 'F2': 5.631}"
"{'F1': 0.1, 'F2': 4.536}","{'F1': 0.1, 'F2': 4.594}"
"{'F1': 0.3, 'F2': 4.27}","{'F1': 0.3, 'F2': 4.27}"
"{'F1': 0.1, 'F2': 4.874}","{'F1': 0.1, 'F2': 4.874}"
,"{'F1': 0.001, 'F2': 5.602}"
,"{'F1': 0.8, 'F2': 3.327}"
,"{'F1': 0.0, 'F2': 5.638}"
"{'F1': 0.02, 'F2': 5.301}","{'F1': 0.1, 'F2': 4.874}"
"{'F1': 0.18, 'F2': 4.841}","{'F1': 0.18, 'F2': 4.701}"
"{'F1': 0.25, 'F2': 4.147}","{'F1': 0.25, 'F2': 4.147}"
,"{'F1': 0.0, 'F2': 5.631}"
,"{'F1': 0.12, 'F2': 4.867}"
,"{'F1': 0.88, 'F2': 2.689}"
"{'F1': 0.001, 'F2': 5.602}","{'F1': 0.2, 'F2': 4.535}"
"{'F1': 0.001, 'F2': 5.602}","{'F1': 0.005, 'F2': 5.485}"
"{'F1': 0.15, 'F2': 4.841}","{'F1': 0.15, 'F2': 4.841}"
,"{'F1': 0.65, 'F2': 2.921}"
,"{'F1': 0.0, 'F2': 5.621}"
,"{'F1': 0.001, 'F2': 5.588}"
"{'F1': 0.001, 'F2': 5.602}","{'F1': 0.005, 'F2': 5.483}"
"{'F1': 0.5, 'F2': 3.842}","{'F1': 0.5, 'F2': 3.723}"
"{'F1': 0.15, 'F2': 4.841}","{'F1': 0.15, 'F2': 4.841}"
,"{'F1': 0.0, 'F2': 5.631}"
,"{'F1': 0.6, 'F2': 3.658}"
,"{'F1': 0.04, 'F2': 5.13}"
"{'F1': 0.25, 'F2': 4.147}","{'F1': 0.25, 'F2': 4.147}"
"{'F1': 0.05, 'F2': 4.852}","{'F1': 0.05, 'F2': 5.059}"
"{'F1': 0.5, 'F2': 3.842}","{'F1': 0.5, 'F2': 1.727}"
,"{'F1': 0.0, 'F2': 5.631}"
,"{'F1': 0.008, 'F2': 5.438}"
,"{'F1': 0.0, 'F2': 5.631}"
"{'F1': 0.1, 'F2': 4.874}","{'F1': 0.1, 'F2': 4.874}"
"{'F1': 0.38, 'F2': 4.27}","{'F1': 0.38, 'F2': 4.31}"
"{'F1': 0.5, 'F2': 3.842}","{'F1': 0.5, 'F2': 3.842}"
,"{'F1': 0.015, 'F2': 5.353}"
,"{'F1': 0.0, 'F2': 5.631}"
,"{'F1': 0.005, 'F2': 5.485}"
"{'F1': 0.6, 'F2': 3.658}","{'F1': 0.6, 'F2': 3.658}"
"{'F1': 0.6, 'F2': 3.271}","{'F1': 0.4, 'F2': 3.589}"
"{'F1': 0.1, 'F2': 4.874}","{'F1': 0.1, 'F2': 4.816}"
,"{'F1': 0.007, 'F2': 5.453}"
,"{'F1': 0.0, 'F2': 5.631}"
,"{'F1': 0.001, 'F2': 5.602}"
"{'F1': 0.15, 'F2': 4.841}","{'F1': 0.15, 'F2': 4.827}"
"{'F1': 0.5, 'F2': 3.842}","{'F1': 0.5, 'F2': 1.878}"
"{'F1': 0.1, 'F2': 4.816}","{'F1': 0.1, 'F2': 4.643}"
