surrogate_model_prediction,benchmark_evaluation
"{'F1': 9.0, 'Latency': 25.0}","{'f1': 7.549999999999997, 'latency': 24.675111770629883}"
"{'F1': 9.0, 'Latency': 25.0}","{'f1': 12.623333333333335, 'latency': 24.688196182250977}"
"{'F1': 9.0, 'Latency': 25.0}","{'f1': 8.576666666666668, 'latency': 31.065030097961426}"
"{'F1': 9.0, 'Latency': 25.0}","{'f1': 7.069999999999993, 'latency': 29.660396575927734}"
"{'F1': 7.25, 'Latency': 24.5}","{'f1': 8.700000000000003, 'latency': 21.723289489746094}"
"{'F1': 7.25, 'Latency': 24.5}","{'f1': 8.84666666666665, 'latency': 25.884861946105957}"
"{'F1': 7.25, 'Latency': 24.5}","{'f1': 7.233333333333334, 'latency': 24.852147102355957}"
"{'F1': 7.25, 'Latency': 24.5}","{'f1': 8.34333333333332, 'latency': 30.52013397216797}"
"{'F1': 7.7, 'Latency': 22.5}","{'f1': 9.310000000000002, 'latency': 25.434365272521973}"
"{'F1': 7.7, 'Latency': 22.5}","{'f1': 12.799999999999997, 'latency': 18.965892791748047}"
"{'F1': 7.7, 'Latency': 22.5}","{'f1': 9.079999999999998, 'latency': 25.80925941467285}"
"{'F1': 7.7, 'Latency': 22.5}","{'f1': 10.469999999999999, 'latency': 25.03044605255127}"
"{'F1': 8.7, 'Latency': 21.72}","{'f1': 7.760000000000005, 'latency': 30.65295696258545}"
"{'F1': 8.7, 'Latency': 21.72}","{'f1': 7.2450000000000045, 'latency': 30.038728713989258}"
"{'F1': 8.7, 'Latency': 21.72}","{'f1': 11.185000000000002, 'latency': 28.450584411621094}"
"{'F1': 8.7, 'Latency': 21.72}","{'f1': 7.569999999999993, 'latency': 31.33353233337402}"
"{'F1': 7.3, 'Latency': 24.5}","{'f1': 12.689999999999998, 'latency': 21.116223335266113}"
"{'F1': 7.3, 'Latency': 24.5}","{'f1': 7.194999999999993, 'latency': 30.608596801757812}"
"{'F1': 7.3, 'Latency': 24.5}","{'f1': 13.186666666666667, 'latency': 25.24959087371826}"
"{'F1': 7.3, 'Latency': 24.5}","{'f1': 9.236666666666679, 'latency': 30.41001319885254}"
"{'F1': 7.5, 'Latency': 22.5}","{'f1': 7.914999999999992, 'latency': 31.84345245361328}"
"{'F1': 7.5, 'Latency': 22.5}","{'f1': 6.769999999999996, 'latency': 29.35255527496338}"
"{'F1': 7.5, 'Latency': 22.5}","{'f1': 6.295000000000002, 'latency': 32.08827018737793}"
"{'F1': 7.5, 'Latency': 22.5}","{'f1': 8.564999999999998, 'latency': 28.381400108337402}"
"{'F1': 12.5, 'Latency': 20.0}","{'f1': 20.933333333333323, 'latency': 21.751890182495117}"
"{'F1': 12.5, 'Latency': 20.0}","{'f1': 7.814999999999998, 'latency': 27.485527992248535}"
"{'F1': 12.5, 'Latency': 20.0}","{'f1': 7.469999999999999, 'latency': 26.651949882507324}"
"{'F1': 12.5, 'Latency': 20.0}","{'f1': 7.564999999999998, 'latency': 24.3228816986084}"
"{'F1': 7.0, 'Latency': 25.0}","{'f1': 7.5, 'latency': 30.06147861480713}"
"{'F1': 7.0, 'Latency': 25.0}","{'f1': 7.534999999999997, 'latency': 30.603113174438477}"
"{'F1': 7.0, 'Latency': 25.0}","{'f1': 7.893333333333331, 'latency': 20.93496322631836}"
"{'F1': 7.0, 'Latency': 25.0}","{'f1': 10.060000000000002, 'latency': 30.90648651123047}"
"{'F1': 6.5, 'Latency': 31.5}","{'f1': 6.859999999999999, 'latency': 26.360979080200195}"
"{'F1': 6.5, 'Latency': 31.5}","{'f1': 12.793333333333337, 'latency': 25.280327796936035}"
"{'F1': 6.5, 'Latency': 31.5}","{'f1': 8.439999999999998, 'latency': 24.280824661254883}"
"{'F1': 6.5, 'Latency': 31.5}","{'f1': 12.360000000000014, 'latency': 26.684980392456055}"
"{'F1': 7.0, 'Latency': 25.0}","{'f1': 7.405000000000001, 'latency': 26.247310638427734}"
