x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
0.651,0.706,0.62,0.128,0.1,0.824,0.519,0.147,0.827,0.5,0.681,0.454,0.871,0.841,0.385,0.661,0.297,0.842,0.28,0.762,0.145,0.494,0.092,0.463,0.855,0.515,0.365,0.953,0.416,0.305
0.439,0.618,0.499,0.314,0.336,0.758,0.226,0.337,0.529,0.86,0.017,0.344,0.087,0.454,0.846,0.339,0.477,0.151,0.611,0.598,0.181,0.491,0.504,0.604,0.697,0.064,0.275,0.924,0.073,0.999
0.415,0.66,0.382,0.347,0.666,0.172,0.81,0.816,0.608,0.439,0.533,0.357,0.2,0.48,0.967,0.485,0.349,0.289,0.804,0.884,0.956,0.35,0.819,0.12,0.293,0.07,0.761,0.062,0.026,0.062
0.502,0.691,0.377,0.23,0.531,0.485,0.914,0.193,0.964,0.488,0.212,0.233,0.479,0.531,0.138,0.639,0.67,0.385,0.395,0.321,0.88,0.391,0.708,0.626,0.56,0.632,0.244,0.08,0.35,0.069
0.423,0.501,0.31,0.413,0.58,0.363,0.783,0.24,0.026,0.587,0.103,0.045,0.009,0.021,0.918,0.988,0.167,0.281,0.844,0.976,0.612,0.924,0.018,0.335,0.872,0.225,0.458,0.294,0.22,0.882
0.28,0.39,0.42,0.35,0.55,0.18,0.75,0.4,0.12,0.22,0.17,0.29,0.07,0.15,0.75,0.3,0.1,0.2,0.65,0.85,0.1,0.5,0.2,0.15,0.5,0.08,0.4,0.09,0.25,0.05
0.35,0.45,0.29,0.25,0.4,0.2,0.6,0.1,0.15,0.3,0.2,0.15,0.1,0.1,0.6,0.4,0.2,0.3,0.5,0.7,0.2,0.4,0.3,0.2,0.4,0.1,0.3,0.05,0.2,0.1
0.33,0.48,0.25,0.3,0.54,0.15,0.7,0.2,0.14,0.33,0.09,0.22,0.11,0.18,0.7,0.29,0.28,0.35,0.6,0.8,0.25,0.45,0.09,0.16,0.55,0.12,0.27,0.1,0.22,0.06
0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.05,0.01,0.02,0.03,0.04,0.95,0.85,0.75,0.65,0.55,0.45,0.35,0.25,0.15,0.05,0.04,0.03,0.02,0.01,0.005,0.001
0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85,0.9,0.95,0.96,0.97,0.98,0.99,0.9,0.8,0.7,0.6,0.5,0.4,0.3
0.2,0.3,0.1,0.2,0.4,0.1,0.5,0.05,0.1,0.4,0.1,0.2,0.1,0.2,0.3,0.1,0.2,0.1,0.4,0.6,0.2,0.3,0.1,0.1,0.3,0.05,0.1,0.01,0.1,0.01
0.09,0.16,0.23,0.3,0.37,0.44,0.51,0.58,0.65,0.72,0.79,0.86,0.93,0.38,0.47,0.56,0.65,0.74,0.83,0.92,0.14,0.52,0.29,0.36,0.45,0.55,0.65,0.75,0.85,0.95
0.15,0.35,0.2,0.15,0.45,0.05,0.55,0.2,0.2,0.25,0.15,0.1,0.12,0.18,0.4,0.2,0.3,0.15,0.5,0.7,0.3,0.25,0.1,0.1,0.35,0.1,0.2,0.02,0.15,0.02
0.12,0.25,0.18,0.15,0.22,0.09,0.45,0.07,0.1,0.3,0.08,0.05,0.06,0.12,0.25,0.15,0.14,0.09,0.35,0.5,0.18,0.22,0.07,0.08,0.19,0.03,0.16,0.02,0.09,0.01
