prompt_tokens,completion_tokens,total_tokens
473,1362,1835
2786,1362,4148
2871,92,2963
2871,98,2969
2871,95,2966
2871,92,2963
2871,92,2963
3075,1362,4437
3160,98,3258
3160,98,3258
3160,92,3252
3160,92,3252
3160,98,3258
3364,1362,4726
3449,98,3547
3449,98,3547
3449,92,3541
3449,92,3541
3449,98,3547
3653,1362,5015
3738,98,3836
3738,92,3830
3738,98,3836
3738,98,3836
3738,92,3830
3942,1362,5304
4027,92,4119
4027,98,4125
4027,98,4125
4027,98,4125
4027,98,4125
4231,1362,5593
4316,98,4414
4316,92,4408
4316,98,4414
4316,92,4408
4316,98,4414
4520,1362,5882
4605,91,4696
4605,98,4703
4605,92,4697
4605,92,4697
4605,92,4697
4809,1362,6171
4894,92,4986
4894,92,4986
4894,97,4991
4894,92,4986
4894,98,4992
5098,1362,6460
5183,98,5281
5183,92,5275
5183,92,5275
5183,98,5281
5183,97,5280
5387,1362,6749
5387,272,5659
5472,92,5564
5472,102,5574
5472,92,5564
5472,92,5564
5472,92,5564
5676,1362,7038
5676,272,5948
5761,92,5853
5761,98,5859
5761,92,5853
5761,98,5859
5761,92,5853
5965,1362,7327
6050,102,6152
6050,98,6148
6050,92,6142
6050,92,6142
6050,97,6147
6254,1362,7616
6339,92,6431
6339,92,6431
6339,92,6431
6339,98,6437
6339,92,6431
6543,1362,7905
6543,1091,7634
6543,272,6815
6543,272,6815
6628,98,6726
6628,98,6726
6628,98,6726
6628,92,6720
6628,92,6720
6832,1362,8194
6832,271,7103
6832,272,7104
6917,98,7015
6917,98,7015
6917,92,7009
6917,92,7009
6917,92,7009
7121,1362,8483
7121,546,7667
7121,545,7666
7121,549,7670
7121,549,7670
7121,272,7393
7121,272,7393
7206,98,7304
7206,98,7304
7206,98,7304
7206,101,7307
7206,98,7304
7410,1362,8772
7410,272,7682
7410,272,7682
7495,92,7587
7495,92,7587
7495,98,7593
7495,97,7592
7495,92,7587
7699,1362,9061
7699,545,8244
7699,272,7971
7699,272,7971
7699,272,7971
7699,272,7971
7699,272,7971
7699,272,7971
7784,98,7882
7784,96,7880
7784,98,7882
7784,92,7876
7784,98,7882
7988,1362,9350
8073,92,8165
8073,98,8171
8073,98,8171
8073,98,8171
8073,92,8165
8277,1362,9639
8277,1091,9368
8277,546,8823
8362,98,8460
8362,98,8460
8362,98,8460
8362,92,8454
8362,102,8464
8566,1362,9928
8566,272,8838
