candidate_evaluations,hypervolume_contributions
"[{'F1': 8.5, 'Latency': 28.0}, {'F1': 9.0, 'Latency': 27.5}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 11.5, 'Latency': 21.0}, {'F1': 12.0, 'Latency': 25.0}]","[0.0, 0.0, 0.004955071671809197, 0.0, 0.0]"
"[{'F1': 10.0, 'Latency': 23.5}, {'F1': 8.5, 'Latency': 29.0}, {'F1': 7.0, 'Latency': 25.0}, {'F1': 9.0, 'Latency': 28.5}, {'F1': 6.5, 'Latency': 26.0}]","[0.005508629297151124, 0.0, 0.03182952365255831, 0.0, 0.02344439987826319]"
"[{'F1': 20.0, 'Latency': 22.5}, {'F1': 18.5, 'Latency': 25.0}, {'F1': 15.0, 'Latency': 27.0}, {'F1': 12.0, 'Latency': 30.0}, {'F1': 14.0, 'Latency': 23.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 10.0, 'Latency': 23.0}, {'F1': 9.5, 'Latency': 22.5}, {'F1': 12.0, 'Latency': 24.0}, {'F1': 11.0, 'Latency': 25.0}, {'F1': 10.5, 'Latency': 22.0}]","[0.0036748215654967, 0.01085679028868114, 0.0, 0.0, 0.0]"
"[{'F1': 8.5, 'Latency': 25.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 7.5, 'Latency': 20.5}, {'F1': 9.0, 'Latency': 23.0}, {'F1': 8.2, 'Latency': 24.0}]","[0.0, 0.0, 0.015443631132760594, 0.0, 0.0]"
"[{'F1': 10.66, 'Latency': 22.22}, {'F1': 8.1, 'Latency': 30.96}, {'F1': 10.33, 'Latency': 15.58}, {'F1': 7.18, 'Latency': 26.9}, {'F1': 13.59, 'Latency': 20.14}]","[0.0, 0.0, 3.0632446955003445e-05, 1.7798108786992728e-05, 0.0]"
"[{'F1': 11.5, 'Latency': 22.0}, {'F1': 14.0, 'Latency': 21.0}, {'F1': 12.5, 'Latency': 23.0}, {'F1': 15.0, 'Latency': 19.0}, {'F1': 10.0, 'Latency': 18.0}]","[0.0, 0.0, 0.0, 0.0, 0.0021641872928346295]"
"[{'F1': 7.5, 'Latency': 27.0}, {'F1': 12.5, 'Latency': 21.0}, {'F1': 16.0, 'Latency': 22.5}, {'F1': 9.0, 'Latency': 28.0}, {'F1': 11.0, 'Latency': 19.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 16.5, 'Latency': 20.51}, {'F1': 10.66, 'Latency': 22.22}, {'F1': 13.66, 'Latency': 14.86}, {'F1': 8.14, 'Latency': 25.99}, {'F1': 7.18, 'Latency': 26.9}]","[0.0, 0.0, 0.00022465921259895438, 0.0, 1.7003657615699552e-05]"
"[{'F1': 7.5, 'Latency': 26.0}, {'F1': 16.0, 'Latency': 20.0}, {'F1': 10.5, 'Latency': 19.5}, {'F1': 10.0, 'Latency': 18.0}, {'F1': 9.0, 'Latency': 21.0}]","[0.0020848976534086905, 0.0, 0.0, 0.002067916767806599, 0.0]"
