candidate_points,best_candidate,best_candidate_index
"[{'x0': 0.3, 'x1': -7.0, 'x2': 0.4, 'x3': -3.5, 'x4': 0.5, 'x5': -1.0, 'x6': 0.2, 'x7': -2.5, 'x8': 0.1, 'x9': -4.5}, {'x0': 0.2, 'x1': -5.0, 'x2': 0.3, 'x3': -2.0, 'x4': 0.1, 'x5': -1.5, 'x6': 0.4, 'x7': -3.0, 'x8': 0.2, 'x9': -4.0}, {'x0': 0.1, 'x1': -9.5, 'x2': 0.2, 'x3': -8.0, 'x4': 0.0, 'x5': -4.0, 'x6': 0.1, 'x7': -6.0, 'x8': 0.3, 'x9': -5.5}, {'x0': 0.4, 'x1': -8.0, 'x2': 0.5, 'x3': -6.0, 'x4': 0.3, 'x5': -2.5, 'x6': 0.6, 'x7': -7.0, 'x8': 0.4, 'x9': -9.0}, {'x0': 0.0, 'x1': -10.0, 'x2': 0.1, 'x3': -9.0, 'x4': 0.2, 'x5': -7.0, 'x6': 0.3, 'x7': -8.0, 'x8': 0.4, 'x9': -9.5}]","{'x0': 0.0, 'x1': -10.0, 'x2': 0.1, 'x3': -9.0, 'x4': 0.2, 'x5': -7.0, 'x6': 0.3, 'x7': -8.0, 'x8': 0.4, 'x9': -9.5}",4
"[{'x0': 0.2, 'x1': -5.0, 'x2': 0.3, 'x3': -2.0, 'x4': 0.5, 'x5': -3.0, 'x6': 0.4, 'x7': -4.0, 'x8': 0.6, 'x9': -6.0}, {'x0': 0.3, 'x1': -4.0, 'x2': 0.4, 'x3': -6.0, 'x4': 0.6, 'x5': -8.0, 'x6': 0.8, 'x7': -3.0, 'x8': 0.9, 'x9': -2.0}, {'x0': 0.4, 'x1': -8.0, 'x2': 0.2, 'x3': -7.0, 'x4': 0.1, 'x5': -9.0, 'x6': 0.5, 'x7': -10.0, 'x8': 0.7, 'x9': -5.0}, {'x0': 0.15, 'x1': -6.0, 'x2': 0.25, 'x3': -3.5, 'x4': 0.35, 'x5': -2.5, 'x6': 0.45, 'x7': -1.5, 'x8': 0.55, 'x9': -4.0}, {'x0': 0.05, 'x1': -9.0, 'x2': 0.15, 'x3': -5.0, 'x4': 0.25, 'x5': -7.0, 'x6': 0.35, 'x7': -6.0, 'x8': 0.45, 'x9': -8.0}]","{'x0': 0.15, 'x1': -6.0, 'x2': 0.25, 'x3': -3.5, 'x4': 0.35, 'x5': -2.5, 'x6': 0.45, 'x7': -1.5, 'x8': 0.55, 'x9': -4.0}",3
"[{'x0': 0.0, 'x1': -9.0, 'x2': 0.05, 'x3': -7.5, 'x4': 0.15, 'x5': -6.5, 'x6': 0.2, 'x7': -5.0, 'x8': 0.3, 'x9': -8.0}, {'x0': 0.05, 'x1': -9.0, 'x2': 0.2, 'x3': -8.5, 'x4': 0.1, 'x5': -6.0, 'x6': 0.3, 'x7': -7.0, 'x8': 0.4, 'x9': -9.0}, {'x0': 0.15, 'x1': -9.5, 'x2': 0.1, 'x3': -8.0, 'x4': 0.2, 'x5': -7.5, 'x6': 0.25, 'x7': -6.0, 'x8': 0.35, 'x9': -9.5}, {'x0': 0.1, 'x1': -7.5, 'x2': 0.3, 'x3': -6.0, 'x4': 0.4, 'x5': -4.5, 'x6': 0.5, 'x7': -3.5, 'x8': 0.6, 'x9': -7.5}, {'x0': 0.2, 'x1': -8.0, 'x2': 0.15, 'x3': -6.5, 'x4': 0.25, 'x5': -5.0, 'x6': 0.35, 'x7': -4.0, 'x8': 0.45, 'x9': -8.0}]","{'x0': 0.0, 'x1': -9.0, 'x2': 0.05, 'x3': -7.5, 'x4': 0.15, 'x5': -6.5, 'x6': 0.2, 'x7': -5.0, 'x8': 0.3, 'x9': -8.0}",0
"[{'x0': 0.1, 'x1': -8.0, 'x2': 0.2, 'x3': -6.0, 'x4': 0.3, 'x5': -5.0, 'x6': 0.4, 'x7': -4.0, 'x8': 0.5, 'x9': -7.0}, {'x0': 0.2, 'x1': -9.5, 'x2': 0.3, 'x3': -8.5, 'x4': 0.4, 'x5': -7.5, 'x6': 0.5, 'x7': -6.5, 'x8': 0.6, 'x9': -9.0}, {'x0': 0.05, 'x1': -9.0, 'x2': 0.1, 'x3': -8.0, 'x4': 0.15, 'x5': -6.0, 'x6': 0.2, 'x7': -3.0, 'x8': 0.25, 'x9': -5.0}, {'x0': 0.3, 'x1': -7.0, 'x2': 0.4, 'x3': -5.0, 'x4': 0.5, 'x5': -3.0, 'x6': 0.6, 'x7': -2.0, 'x8': 0.7, 'x9': -1.0}, {'x0': 0.4, 'x1': -10.0, 'x2': 0.5, 'x3': -9.0, 'x4': 0.6, 'x5': -8.0, 'x6': 0.7, 'x7': -7.0, 'x8': 0.8, 'x9': -6.0}]","{'x0': 0.1, 'x1': -8.0, 'x2': 0.2, 'x3': -6.0, 'x4': 0.3, 'x5': -5.0, 'x6': 0.4, 'x7': -4.0, 'x8': 0.5, 'x9': -7.0}",0
"[{'x0': 0.25, 'x1': -8.5, 'x2': 0.15, 'x3': -7.0, 'x4': 0.2, 'x5': -4.5, 'x6': 0.3, 'x7': -3.0, 'x8': 0.4, 'x9': -5.0}, {'x0': 0.75, 'x1': -10.0, 'x2': 0.2, 'x3': -9.5, 'x4': 0.3, 'x5': -8.0, 'x6': 0.4, 'x7': -7.5, 'x8': 0.5, 'x9': -9.0}, {'x0': 0.05, 'x1': -9.5, 'x2': 0.03, 'x3': -8.5, 'x4': 0.07, 'x5': -7.5, 'x6': 0.12, 'x7': -6.5, 'x8': 0.18, 'x9': -7.0}, {'x0': 0.98, 'x1': -7.0, 'x2': 0.12, 'x3': -6.0, 'x4': 0.19, 'x5': -5.0, 'x6': 0.11, 'x7': -4.0, 'x8': 0.22, 'x9': -3.0}, {'x0': 0.2, 'x1': -9.0, 'x2': 0.1, 'x3': -8.0, 'x4': 0.15, 'x5': -6.0, 'x6': 0.25, 'x7': -5.0, 'x8': 0.35, 'x9': -6.5}]","{'x0': 0.75, 'x1': -10.0, 'x2': 0.2, 'x3': -9.5, 'x4': 0.3, 'x5': -8.0, 'x6': 0.4, 'x7': -7.5, 'x8': 0.5, 'x9': -9.0}",1
"[{'x0': 0.1, 'x1': -10.0, 'x2': 0.05, 'x3': -9.0, 'x4': 0.15, 'x5': -8.0, 'x6': 0.25, 'x7': -7.0, 'x8': 0.35, 'x9': -6.0}, {'x0': 0.05, 'x1': -9.5, 'x2': 0.15, 'x3': -8.5, 'x4': 0.25, 'x5': -7.5, 'x6': 0.35, 'x7': -6.5, 'x8': 0.45, 'x9': -5.5}, {'x0': 0.01, 'x1': -7.5, 'x2': 0.3, 'x3': -6.5, 'x4': 0.4, 'x5': -5.5, 'x6': 0.5, 'x7': -4.5, 'x8': 0.6, 'x9': -3.5}, {'x0': 0.2, 'x1': -9.0, 'x2': 0.1, 'x3': -8.0, 'x4': 0.2, 'x5': -6.0, 'x6': 0.3, 'x7': -4.0, 'x8': 0.4, 'x9': -3.0}, {'x0': 0.25, 'x1': -8.5, 'x2': 0.2, 'x3': -7.5, 'x4': 0.3, 'x5': -6.5, 'x6': 0.4, 'x7': -5.5, 'x8': 0.5, 'x9': -4.5}]","{'x0': 0.01, 'x1': -7.5, 'x2': 0.3, 'x3': -6.5, 'x4': 0.4, 'x5': -5.5, 'x6': 0.5, 'x7': -4.5, 'x8': 0.6, 'x9': -3.5}",2
"[{'x0': 0.4, 'x1': -9.8, 'x2': 0.1, 'x3': -8.5, 'x4': 0.2, 'x5': -7.5, 'x6': 0.3, 'x7': -6.5, 'x8': 0.4, 'x9': -5.5}, {'x0': 0.05, 'x1': -9.5, 'x2': 0.15, 'x3': -8.0, 'x4': 0.25, 'x5': -7.0, 'x6': 0.35, 'x7': -6.0, 'x8': 0.45, 'x9': -5.0}, {'x0': 0.1, 'x1': -8.5, 'x2': 0.2, 'x3': -6.5, 'x4': 0.3, 'x5': -5.5, 'x6': 0.4, 'x7': -4.5, 'x8': 0.5, 'x9': -3.5}, {'x0': 0.2, 'x1': -9.0, 'x2': 0.3, 'x3': -7.5, 'x4': 0.4, 'x5': -6.0, 'x6': 0.5, 'x7': -4.5, 'x8': 0.6, 'x9': -3.5}, {'x0': 0.3, 'x1': -10.0, 'x2': 0.4, 'x3': -9.0, 'x4': 0.5, 'x5': -8.0, 'x6': 0.6, 'x7': -7.0, 'x8': 0.7, 'x9': -6.0}]","{'x0': 0.4, 'x1': -9.8, 'x2': 0.1, 'x3': -8.5, 'x4': 0.2, 'x5': -7.5, 'x6': 0.3, 'x7': -6.5, 'x8': 0.4, 'x9': -5.5}",0
"[{'x0': 0.2, 'x1': -9.0, 'x2': 0.3, 'x3': -7.5, 'x4': 0.4, 'x5': -6.0, 'x6': 0.5, 'x7': -5.0, 'x8': 0.6, 'x9': -7.5}, {'x0': 0.05, 'x1': -9.5, 'x2': 0.15, 'x3': -8.0, 'x4': 0.25, 'x5': -7.0, 'x6': 0.35, 'x7': -6.0, 'x8': 0.45, 'x9': -8.5}, {'x0': 0.25, 'x1': -9.7, 'x2': 0.35, 'x3': -7.2, 'x4': 0.45, 'x5': -5.8, 'x6': 0.55, 'x7': -4.8, 'x8': 0.65, 'x9': -7.0}, {'x0': 0.12, 'x1': -9.3, 'x2': 0.22, 'x3': -7.8, 'x4': 0.32, 'x5': -6.3, 'x6': 0.42, 'x7': -5.2, 'x8': 0.52, 'x9': -7.8}, {'x0': 0.3, 'x1': -8.5, 'x2': 0.4, 'x3': -6.5, 'x4': 0.5, 'x5': -5.5, 'x6': 0.6, 'x7': -4.5, 'x8': 0.7, 'x9': -6.5}]","{'x0': 0.2, 'x1': -9.0, 'x2': 0.3, 'x3': -7.5, 'x4': 0.4, 'x5': -6.0, 'x6': 0.5, 'x7': -5.0, 'x8': 0.6, 'x9': -7.5}",0
"[{'x0': 0.3, 'x1': -7.8, 'x2': 0.15, 'x3': -6.8, 'x4': 0.2, 'x5': -5.8, 'x6': 0.3, 'x7': -4.8, 'x8': 0.4, 'x9': -3.8}, {'x0': 0.2, 'x1': -8.5, 'x2': 0.1, 'x3': -7.0, 'x4': 0.25, 'x5': -6.5, 'x6': 0.35, 'x7': -5.5, 'x8': 0.45, 'x9': -4.5}, {'x0': 0.1, 'x1': -10.0, 'x2': 0.3, 'x3': -9.5, 'x4': 0.4, 'x5': -8.5, 'x6': 0.5, 'x7': -7.5, 'x8': 0.6, 'x9': -6.5}, {'x0': 0.4, 'x1': -6.5, 'x2': 0.05, 'x3': -5.5, 'x4': 0.1, 'x5': -4.5, 'x6': 0.15, 'x7': -3.5, 'x8': 0.2, 'x9': -2.5}, {'x0': 0.25, 'x1': -9.5, 'x2': 0.2, 'x3': -8.0, 'x4': 0.35, 'x5': -7.0, 'x6': 0.45, 'x7': -6.0, 'x8': 0.55, 'x9': -5.0}]","{'x0': 0.3, 'x1': -7.8, 'x2': 0.15, 'x3': -6.8, 'x4': 0.2, 'x5': -5.8, 'x6': 0.3, 'x7': -4.8, 'x8': 0.4, 'x9': -3.8}",0
"[{'x0': 0.3, 'x1': -10.0, 'x2': 0.05, 'x3': -9.0, 'x4': 0.1, 'x5': -8.5, 'x6': 0.15, 'x7': -7.0, 'x8': 0.2, 'x9': -6.0}, {'x0': 0.0, 'x1': -8.5, 'x2': 0.15, 'x3': -7.0, 'x4': 0.1, 'x5': -6.0, 'x6': 0.25, 'x7': -5.0, 'x8': 0.35, 'x9': -4.5}, {'x0': 0.1, 'x1': -9.0, 'x2': 0.4, 'x3': -8.5, 'x4': 0.3, 'x5': -7.5, 'x6': 0.2, 'x7': -6.5, 'x8': 0.25, 'x9': -5.5}, {'x0': 0.05, 'x1': -9.5, 'x2': 0.2, 'x3': -8.0, 'x4': 0.25, 'x5': -7.5, 'x6': 0.35, 'x7': -6.0, 'x8': 0.45, 'x9': -8.0}, {'x0': 0.2, 'x1': -10.0, 'x2': 0.1, 'x3': -9.0, 'x4': 0.2, 'x5': -8.0, 'x6': 0.3, 'x7': -7.0, 'x8': 0.4, 'x9': -9.5}]","{'x0': 0.3, 'x1': -10.0, 'x2': 0.05, 'x3': -9.0, 'x4': 0.1, 'x5': -8.5, 'x6': 0.15, 'x7': -7.0, 'x8': 0.2, 'x9': -6.0}",0
