prompt_cost,completion_cost,total_cost
0.00040784999999999997,0.0021978,0.00260565
0.0005314499999999999,0.0013896,0.0019210499999999999
0.0004428,0.0027186,0.0031614
0.0005652,0.0029999999999999996,0.0035651999999999997
0.0005652,0.0029999999999999996,0.0035651999999999997
0.0005652,0.0023316,0.0028968
0.0004753499999999999,0.0029381999999999998,0.0034135499999999996
0.00060105,0.0029999999999999996,0.0036010499999999997
0.00060105,0.0016722,0.00227325
0.0005092499999999999,0.0023531999999999997,0.00286245
0.0005092499999999999,0.0029999999999999996,0.0035092499999999993
0.0005092499999999999,0.0021858,0.00269505
0.0006342,0.0012353999999999998,0.0018696
0.0005433,0.0022722,0.0028155
0.0006675,0.0029999999999999996,0.0036674999999999998
0.0006675,0.0021012,0.0027687000000000002
0.00057705,0.0029999999999999996,0.0035770499999999996
0.00057705,0.0027581999999999997,0.0033352499999999997
0.0007011,0.0014586,0.0021597
0.0006086999999999999,0.0029999999999999996,0.0036086999999999994
0.0006086999999999999,0.0026796,0.0032882999999999996
0.00073215,0.0015263999999999998,0.00225855
0.00064365,0.002829,0.00347265
0.0007661999999999999,0.0029999999999999996,0.0037661999999999995
0.0007661999999999999,0.0014111999999999998,0.0021773999999999995
0.00067455,0.002787,0.00346155
0.0007978499999999999,0.0021186,0.00291645
0.0007055999999999999,0.002271,0.0029766
0.0008306999999999999,0.001101,0.0019316999999999997
0.0007394999999999999,0.0023087999999999997,0.0030482999999999994
0.0008621999999999999,0.0029159999999999998,0.0037782
0.0007725,0.0029999999999999996,0.0037725
0.0007725,0.0024468,0.0032192999999999996
0.0008930999999999999,0.0014682,0.0023612999999999998
0.0008032499999999999,0.0026736,0.00347685
0.0009284999999999999,0.0028139999999999997,0.0037424999999999993
0.0008361,0.0028236,0.0036597
0.0009607499999999999,0.0029999999999999996,0.00396075
0.0009607499999999999,0.0027672,0.00372795
0.0008690999999999998,0.0017639999999999997,0.0026330999999999993
0.00099015,0.0016799999999999999,0.0026701499999999996
0.0008985,0.0024024,0.0033009
0.0010194,0.0027083999999999997,0.0037278
0.0009295499999999999,0.0029999999999999996,0.0039295499999999995
0.0009295499999999999,0.0029999999999999996,0.0039295499999999995
0.0009295499999999999,0.0024461999999999995,0.0033757499999999994
0.0010520999999999998,0.002343,0.0033951
0.0009616499999999999,0.0028842,0.0038458499999999996
0.0010827,0.0010355999999999998,0.0021183
0.00099465,0.0029999999999999996,0.00399465
0.00099465,0.0027594,0.00375405
0.00111795,0.0008076,0.0019255499999999998
0.0010267499999999999,0.0028836,0.00391035
0.0010267499999999999,0.0029999999999999996,0.004026749999999999
0.0010267499999999999,0.0014634,0.00249015
0.0011526,0.0029999999999999996,0.004152599999999999
0.0011526,0.00246,0.0036125999999999997
0.0010608,0.0013103999999999998,0.0023711999999999995
0.0011807999999999999,0.0017352,0.0029159999999999998
0.00109365,0.001761,0.0028546500000000002
0.0012173999999999998,0.0013445999999999998,0.0025619999999999996
0.0011277,0.0029999999999999996,0.0041277
0.0011277,0.0029999999999999996,0.0041277
0.0011277,0.0022746,0.0034022999999999996
0.0012499499999999999,0.0005855999999999999,0.0018355499999999998
0.0011626499999999999,0.0028013999999999995,0.003964049999999999
0.001287,0.0029999999999999996,0.004286999999999999
0.001287,0.0028728,0.0041598
0.00119565,0.0024989999999999995,0.0036946499999999994
0.0013154999999999998,0.0008621999999999999,0.0021777
0.0012286499999999998,0.0024011999999999996,0.0036298499999999996
0.0013528499999999998,0.0029999999999999996,0.004352849999999999
0.0013528499999999998,0.002541,0.00389385
0.0012625499999999999,0.0029999999999999996,0.0042625499999999995
0.0012625499999999999,0.0023723999999999998,0.0036349499999999996
0.0013852499999999998,0.0029999999999999996,0.004385249999999999
0.0013852499999999998,0.0029999999999999996,0.004385249999999999
0.0013852499999999998,0.0015245999999999999,0.0029098499999999994
0.0012964499999999998,0.0021401999999999997,0.0034366499999999994
0.00141855,0.0012557999999999998,0.00267435
0.00133005,0.002022,0.0033520499999999996
0.00145095,0.0022296,0.00368055
0.001365,0.0022902,0.0036552
0.0014856,0.0029999999999999996,0.004485599999999999
0.0014856,0.0019217999999999998,0.0034073999999999997
0.0014856,0.0021582,0.0036438
0.0013977,0.0026604,0.0040581
0.0015179999999999998,0.0006678,0.0021858
0.0014305499999999998,0.0029999999999999996,0.004430549999999999
0.0014305499999999998,0.0020987999999999996,0.0035293499999999997
0.00155445,0.0029999999999999996,0.00455445
0.00155445,0.0029999999999999996,0.00455445
0.00155445,0.0029999999999999996,0.00455445
0.00155445,0.0029999999999999996,0.00455445
0.00155445,0.0029999999999999996,0.00455445
0.00155445,0.0029999999999999996,0.00455445
0.00155445,0.0020189999999999995,0.0035734499999999997
0.00146325,0.0028476,0.00431085
0.00158955,0.0007685999999999999,0.00235815
0.0014983499999999999,0.0029999999999999996,0.00449835
0.0014983499999999999,0.0029999999999999996,0.00449835
0.0014983499999999999,0.002433,0.00393135
0.00161865,0.0029999999999999996,0.004618649999999999
0.00161865,0.002133,0.0037516499999999996
0.0015293999999999998,0.0020394,0.0035687999999999996
0.0016495499999999998,0.00162,0.0032695499999999995
0.0015605999999999997,0.0020909999999999995,0.003651599999999999
0.0016796999999999997,0.000816,0.0024956999999999996
0.0015955499999999998,0.001713,0.0033085499999999995
0.00171555,0.0015599999999999998,0.0032755499999999995
0.0016279499999999998,0.0014663999999999999,0.0030943499999999996
0.00175155,0.0029999999999999996,0.004751549999999999
0.00175155,0.0019277999999999997,0.0036793499999999996
0.0016607999999999998,0.0019511999999999997,0.0036119999999999998
0.00178635,0.0024486,0.0042349499999999995
0.0016958999999999998,0.0008375999999999999,0.0025334999999999997
0.00181695,0.0012155999999999998,0.0030325499999999997
0.00172935,0.0024833999999999998,0.0042127499999999995
0.0018511499999999998,0.0013146,0.0031657499999999997
0.0017629499999999999,0.0023994,0.0041623499999999996
0.00188475,0.0029999999999999996,0.004884749999999999
0.00188475,0.0022872,0.00417195
0.0017953499999999998,0.0029999999999999996,0.0047953499999999994
0.0017953499999999998,0.0010446,0.00283995
0.0019180499999999997,0.0016944,0.0036124499999999997
