F1,F2
0.193,4.499
0.021,5.834
0.868,3.636
0.9,3.235
0.144,3.674
0.25,4.03
0.034,3.556
0.013,3.893
0.083,3.509
0.1,1.464
0.12,2.921
0.02,4.627
0.08,4.843
0.025,3.985
0.04,4.716
0.048,3.761
0.045,3.64
0.007,4.877
0.01,5.472
0.018,4.505
0.012,3.146
0.05,2.339
0.013,5.056
0.002,3.376
0.007,4.854
0.032,3.725
0.077,3.807
0.019,3.922
0.054,3.114
0.022,3.938
0.038,4.721
0.015,4.926
0.022,4.885
0.005,1.887
0.012,4.866
0.029,4.76
0.04,4.69
0.04,5.061
0.09,4.373
0.015,4.006
0.009,4.586
0.013,3.368
0.017,5.106
0.015,5.258
0.01,5.269
0.004,5.144
0.04,5.001
0.05,4.147
0.04,4.891
0.02,4.837
0.01,4.386
0.032,5.052
0.035,5.046
