F1,F2
0.809,3.351
0.052,5.134
0.356,3.533
0.388,3.967
0.991,3.657
0.123,4.781
0.134,1.601
0.134,1.692
0.12,2.432
0.041,1.264
0.01,2.284
0.057,1.183
0.045,1.28
0.02,2.332
0.02,2.305
0.02,1.125
0.02,2.305
0.001,1.11
0.015,2.292
0.03,1.734
0.025,2.321
0.002,1.237
0.001,1.243
0.06,1.707
0.015,2.229
0.005,2.286
0.001,1.243
0.02,3.512
0.078,1.222
0.03,1.213
0.029,2.336
0.03,2.193
0.05,2.293
0.02,1.151
0.11,5.86
0.01,2.284
0.1,3.449
0.007,1.758
0.001,1.26
0.01,2.24
0.2,2.303
0.001,1.51
0.005,1.627
0.2,1.467
0.04,2.381
0.02,2.317
0.12,4.633
0.1,1.11
0.18,1.713
0.003,1.366
0.004,1.497
0.2,1.336
0.2,4.859
0.008,0.948
0.003,0.999
0.1,1.478
0.007,2.231
0.01,0.986
0.005,2.255
0.09,2.199
0.06,2.459
0.01,2.467
0.04,3.657
0.024,2.264
0.92,1.834
