F1,F2
0.651,3.749
0.439,3.604
0.415,3.793
0.502,3.554
0.423,3.574
0.222,3.187
0.265,2.945
0.312,3.012
0.35,2.209
0.05,1.181
0.1,1.851
0.1,2.615
0.15,1.278
0.09,1.498
0.2,1.744
0.4,2.328
0.345,1.901
0.12,1.971
0.3,2.223
0.19,1.748
0.25,1.945
0.03,1.615
0.04,1.587
0.05,1.606
0.07,1.535
0.15,1.473
0.4,1.405
0.25,1.426
0.12,1.499
0.02,1.271
0.3,1.396
0.26,4.787
0.2,1.598
0.01,2.284
0.2,1.784
0.1,1.679
0.35,3.747
0.2,1.297
0.08,1.104
0.12,1.436
0.18,1.386
0.25,1.274
0.2,1.323
0.15,4.714
0.6,3.813
0.03,1.083
0.07,1.639
0.1,1.574
0.03,1.216
0.01,0.989
0.02,0.992
0.1,1.464
0.15,1.756
0.05,1.526
0.25,1.3
0.15,1.406
0.34,1.719
0.05,1.706
0.15,1.371
0.1,2.468
0.15,1.42
0.15,1.393
0.3,1.22
0.04,3.162
0.2,2.068
