F1,F2
0.1,4.729
0.2,4.143
0.3,3.724
0.4,3.535
0.5,3.422
0.3,3.969
0.2,1.519
0.1,1.616
0.03,0.999
0.01,1.059
0.05,0.946
0.02,0.939
0.02,0.939
0.01,0.983
0.03,1.051
0.01,0.985
0.04,4.785
0.0,1.0
0.02,0.945
0.01,1.021
0.02,1.015
0.005,0.972
0.01,0.988
0.02,0.936
0.005,0.993
0.01,0.988
0.02,1.018
0.001,0.977
0.001,1.046
0.0,1.497
0.004,1.496
0.004,0.971
0.02,1.651
0.02,0.931
0.01,0.98
0.002,1.105
0.002,0.973
0.009,1.109
0.006,1.103
0.005,1.102
0.004,1.102
0.015,0.997
0.01,1.629
0.02,0.936
0.005,1.233
0.001,1.689
0.005,1.075
0.02,0.925
0.01,2.194
0.003,1.103
0.01,1.051
0.007,1.105
0.015,0.955
0.003,1.193
0.008,0.982
0.006,0.973
0.001,1.062
0.001,1.11
0.01,2.281
0.003,0.971
0.001,1.06
0.02,0.933
0.0,0.991
0.015,0.96
0.001,0.978
0.002,1.672
0.001,0.978
0.0,0.988
0.001,0.982
0.001,0.973
0.005,0.942
0.0,0.988
0.001,1.041
0.001,0.978
0.002,0.964
0.01,0.997
0.001,0.986
0.0,0.988
0.0,1.004
0.008,0.977
0.0,0.985
0.001,1.002
0.003,0.954
0.0,1.0
0.005,1.008
0.006,1.011
0.001,0.986
0.002,0.974
0.001,0.977
0.001,0.978
0.002,1.048
0.003,0.963
0.001,0.969
0.0,1.014
0.001,0.978
0.002,0.972
0.0,1.001
0.001,0.982
0.001,0.977
0.0,1.0
