F1,F2
0.1,4.874
0.9,2.881
0.5,3.579
0.8,3.127
0.4,3.936
0.2,3.752
0.01,5.019
0.3,3.942
0.1,1.464
0.2,3.752
0.02,4.973
0.15,4.841
0.05,4.763
0.01,0.983
0.01,5.396
0.02,1.015
0.1,4.787
0.01,3.517
0.3,1.858
0.2,3.186
0.4,3.244
0.01,4.364
0.04,2.623
0.2,4.171
0.05,2.637
0.04,1.089
0.02,2.293
0.08,2.527
0.2,4.171
0.02,3.59
0.2,4.283
0.01,3.759
0.2,2.052
0.01,1.151
0.05,4.63
0.01,0.985
0.001,1.689
0.1,4.773
0.001,0.977
0.05,1.131
0.01,2.913
0.01,2.281
0.0,1.0
0.3,3.969
0.05,1.159
0.005,0.972
0.01,1.059
0.1,4.44
0.01,1.651
0.1,4.657
0.03,1.051
0.01,1.888
0.02,1.587
0.01,1.065
0.01,1.062
0.003,0.971
0.003,1.103
0.06,1.179
0.002,0.973
0.015,0.998
0.007,1.105
0.01,1.048
0.001,0.978
0.006,1.103
0.004,0.971
0.001,1.174
0.01,1.625
0.001,0.981
0.004,1.064
0.001,1.11
0.005,1.225
0.001,1.101
0.09,3.514
0.008,1.107
0.001,0.978
0.01,1.49
0.001,0.982
0.001,1.625
0.01,1.629
0.0,1.004
0.002,1.105
0.005,1.944
0.0,1.001
0.01,0.988
0.007,0.958
0.03,1.442
0.001,0.986
0.02,1.096
0.001,0.977
0.018,1.008
0.001,0.984
0.002,1.237
0.002,0.981
0.003,1.234
0.001,0.982
0.005,1.233
0.007,0.975
0.02,1.009
0.001,0.987
0.001,1.002
