F1,F2
0.1,4.874
0.2,4.535
0.3,4.27
0.4,4.044
0.5,3.842
0.1,1.492
0.05,4.15
0.01,5.411
0.2,3.961
0.05,1.528
0.01,0.983
0.2,2.052
0.6,4.44
0.01,2.281
0.01,2.281
0.05,2.637
0.05,1.357
0.2,2.065
0.1,1.259
0.03,1.051
0.0,2.8
0.0,5.19
0.04,1.089
0.01,5.08
0.0,1.0
0.1,1.273
0.0,1.776
0.03,2.233
0.3,3.669
0.0,3.048
0.02,1.058
0.1,1.464
0.02,2.204
0.2,3.28
0.2,1.918
0.02,2.293
0.0,1.869
0.7,3.436
0.05,4.97
0.05,1.131
0.01,0.985
0.02,1.015
0.0,3.328
0.0,5.221
0.0,2.552
0.2,3.864
0.0,3.793
0.0,1.807
0.0,1.683
0.0,1.776
0.0,1.031
0.0,1.838
0.2,3.225
0.01,1.03
0.0,1.745
0.01,1.059
0.05,1.134
0.0,1.093
0.01,0.991
0.1,1.492
0.1,2.215
0.02,1.018
0.04,0.961
0.0,3.793
0.05,1.499
0.01,0.988
0.0,2.614
0.0,1.217
0.02,0.939
0.0,1.009
0.0,2.583
0.5,1.018
0.0,1.065
0.0,3.607
0.0,1.9
0.01,0.985
0.02,1.018
0.02,1.009
0.1,4.44
0.0,1.003
0.01,0.988
0.0,1.745
0.0,1.158
0.02,0.936
0.0,1.9
0.1,0.844
0.0,1.838
0.01,0.988
0.0,1.652
0.1,1.492
0.02,0.971
0.0,3.948
0.0,1.031
0.1,2.271
0.0,1.745
0.0,1.714
0.0,1.019
0.01,0.985
0.1,1.245
0.1,1.273
