F1,F2
0.193,4.541
0.021,5.821
0.868,2.903
0.9,3.235
0.144,3.815
0.18,5.908
0.02,4.24
0.05,3.592
0.1,4.874
0.14,0.95
0.01,2.753
0.01,4.24
0.8,3.202
0.01,1.502
0.16,4.584
0.1,4.701
0.7,3.132
0.01,1.062
0.005,2.144
0.01,0.985
0.14,1.339
0.001,1.106
0.001,1.087
0.001,4.957
0.005,1.424
0.06,1.849
0.06,3.933
0.06,3.74
0.08,4.411
0.002,1.5
0.08,2.101
0.065,3.902
0.061,3.319
0.001,0.981
0.001,1.077
0.003,1.463
0.065,3.532
0.005,1.071
0.001,1.374
0.02,3.632
0.07,4.633
0.001,1.018
0.001,1.104
0.005,1.913
0.02,5.247
0.09,3.687
0.04,3.436
0.02,4.609
0.03,4.535
0.002,1.117
0.001,1.097
0.0,1.138
0.002,1.957
0.001,1.959
0.05,3.915
0.1,4.918
0.02,4.651
0.001,1.089
0.0,1.129
0.001,1.252
0.002,1.178
0.0,1.0
0.001,1.019
0.001,1.073
0.0,1.089
