F1,F2
0.809,3.125
0.052,5.082
0.356,3.883
0.388,4.11
0.991,3.933
0.1,2.313
0.5,2.633
0.25,2.569
0.05,4.35
0.01,1.716
0.01,2.428
0.01,1.574
0.02,5.057
0.005,1.199
0.005,1.184
0.02,2.617
0.11,3.483
0.001,1.455
0.002,1.596
0.06,1.09
0.055,2.241
0.05,0.99
0.15,1.898
0.06,1.384
0.15,2.274
0.001,0.977
0.001,1.286
0.005,1.257
0.02,1.395
0.005,1.351
0.06,1.667
0.05,1.17
0.1,3.291
0.0,1.237
0.05,1.127
0.04,2.968
0.06,1.741
0.001,1.04
0.001,2.418
0.001,2.445
0.05,2.544
0.0,1.186
0.06,2.343
0.05,1.218
0.055,2.584
0.0,1.017
0.005,2.035
0.05,2.462
0.1,5.484
0.01,1.708
0.1,2.128
0.1,4.412
0.06,3.201
0.001,1.886
0.07,1.356
0.001,1.326
0.04,3.769
0.05,1.934
0.06,1.397
0.051,1.911
0.06,1.545
0.0,1.07
0.06,1.946
0.07,2.302
0.05,2.321
