x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
0.651,0.706,0.62,0.128,0.1,0.824,0.519,0.147,0.827,0.5,0.681,0.454,0.871,0.841,0.385,0.661,0.297,0.842,0.28,0.762,0.145,0.494,0.092,0.463,0.855,0.515,0.365,0.953,0.416,0.305
0.439,0.618,0.499,0.314,0.336,0.758,0.226,0.337,0.529,0.86,0.017,0.344,0.087,0.454,0.846,0.339,0.477,0.151,0.611,0.598,0.181,0.491,0.504,0.604,0.697,0.064,0.275,0.924,0.073,0.999
0.415,0.66,0.382,0.347,0.666,0.172,0.81,0.816,0.608,0.439,0.533,0.357,0.2,0.48,0.967,0.485,0.349,0.289,0.804,0.884,0.956,0.35,0.819,0.12,0.293,0.07,0.761,0.062,0.026,0.062
0.502,0.691,0.377,0.23,0.531,0.485,0.914,0.193,0.964,0.488,0.212,0.233,0.479,0.531,0.138,0.639,0.67,0.385,0.395,0.321,0.88,0.391,0.708,0.626,0.56,0.632,0.244,0.08,0.35,0.069
0.423,0.501,0.31,0.413,0.58,0.363,0.783,0.24,0.026,0.587,0.103,0.045,0.009,0.021,0.918,0.988,0.167,0.281,0.844,0.976,0.612,0.924,0.018,0.335,0.872,0.225,0.458,0.294,0.22,0.882
0.1,0.1,0.5,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.05,0.15,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.3,0.2,0.6,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05
0.425,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.08,0.18,0.6,0.02,0.07,0.11,0.16,0.21,0.26,0.31,0.36,0.41,0.46,0.51,0.56,0.61,0.66,0.71,0.76,0.81,0.86,0.91,0.19,0.24,0.29,0.34,0.39,0.44,0.49,0.54
0.28,0.4,0.5,0.03,0.6,0.45,0.3,0.15,0.8,0.25,0.75,0.1,0.9,0.35,0.65,0.2,0.85,0.4,0.7,0.3,0.9,0.2,0.55,0.1,0.8,0.4,0.7,0.3,0.6,0.5
