x0,x1,x2,x3,x4,x5,x6,x7,x8,x9,x10,x11,x12,x13,x14,x15,x16,x17,x18,x19,x20,x21,x22,x23,x24,x25,x26,x27,x28,x29
0.193,0.389,0.15,0.826,0.281,0.696,0.275,0.484,0.995,0.122,0.795,0.81,0.065,0.618,0.278,0.848,0.175,0.238,0.286,0.57,0.292,0.778,0.15,0.766,0.342,0.777,0.928,0.786,0.48,0.405
0.021,0.705,0.318,0.993,0.479,0.064,0.455,0.228,0.627,0.894,0.501,0.687,0.969,0.46,0.714,0.539,0.926,0.288,0.627,0.417,0.744,0.655,0.993,0.928,0.755,0.526,0.673,0.231,0.207,0.135
0.868,0.216,0.786,0.363,0.021,0.937,0.883,0.425,0.727,0.489,0.193,0.605,0.277,0.958,0.661,0.755,0.499,0.882,0.534,0.96,0.34,0.013,0.962,0.412,0.822,0.374,0.203,0.668,0.779,0.041
0.9,0.201,0.549,0.939,0.639,0.063,0.992,0.956,0.225,0.938,0.534,0.038,0.767,0.595,0.254,0.507,0.534,0.814,0.166,0.113,0.351,0.741,0.426,0.036,0.961,0.976,0.692,0.149,0.041,0.14
0.144,0.879,0.252,0.17,0.599,0.547,0.271,0.1,0.448,0.872,0.606,0.424,0.335,0.445,0.196,0.224,0.554,0.753,0.996,0.328,0.266,0.178,0.015,0.004,0.164,0.031,0.253,0.487,0.25,0.556
0.18,0.65,0.22,0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.95,0.85,0.75,0.65,0.55,0.45,0.35,0.25,0.98,0.96,0.94,0.92,0.9,0.88,0.86,0.84,0.82,0.8
0.02,0.95,0.4,0.6,0.5,0.2,0.4,0.5,0.2,0.4,0.5,0.2,0.4,0.5,0.2,0.4,0.5,0.2,0.4,0.5,0.2,0.4,0.5,0.2,0.4,0.5,0.2,0.4,0.5,0.2
0.05,0.2,0.05,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.02,0.04,0.06,0.08,0.12,0.14,0.16,0.18,0.2,0.22
0.1,0.4,0.9,0.6,0.2,0.8,0.4,0.1,0.9,0.6,0.2,0.8,0.4,0.1,0.9,0.6,0.2,0.8,0.4,0.1,0.9,0.6,0.2,0.8,0.4,0.1,0.9,0.6,0.2,0.8
0.14,0.3,0.18,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
