prompt_tokens,completion_tokens,total_tokens
2312,1362,3674
3098,98,3196
2312,1362,3674
3098,98,3196
2312,1362,3674
3098,98,3196
2312,1362,3674
3098,98,3196
2312,1362,3674
3098,98,3196
2312,1362,3674
3098,98,3196
2312,1362,3674
2312,1362,3674
3098,98,3196
3098,98,3196
3468,1362,4830
4254,98,4352
3468,1362,4830
4254,102,4356
4624,1362,5986
5410,98,5508
4624,1362,5986
5410,102,5512
5780,1362,7142
6566,98,6664
5780,1362,7142
6566,98,6664
5780,1362,7142
6566,102,6668
5780,1362,7142
6566,98,6664
6936,1362,8298
7722,98,7820
6936,1362,8298
7722,98,7820
8092,1362,9454
8878,98,8976
8092,1362,9454
8878,98,8976
8092,1362,9454
8878,92,8970
8092,1362,9454
8878,98,8976
8092,1362,9454
8878,102,8980
8092,1362,9454
8878,98,8976
8092,1362,9454
8092,1362,9454
8878,98,8976
8092,272,8364
8878,98,8976
9248,1362,10610
10034,98,10132
9248,1362,10610
10034,98,10132
9248,1362,10610
9248,272,9520
9248,272,9520
9248,272,9520
9248,272,9520
9248,272,9520
10034,98,10132
9248,1362,10610
9248,272,9520
9248,272,9520
10034,98,10132
9248,1362,10610
9248,1362,10610
9248,272,9520
9248,272,9520
9248,1362,10610
10034,98,10132
10034,92,10126
9248,1362,10610
10034,98,10132
9248,820,10068
10034,98,10132
10404,1362,11766
11190,98,11288
10404,1362,11766
11190,98,11288
10404,1362,11766
11190,98,11288
10404,1362,11766
11190,98,11288
11560,1362,12922
11560,272,11832
12346,92,12438
11560,1362,12922
11560,272,11832
11560,272,11832
11560,272,11832
12346,98,12444
11560,1362,12922
11560,272,11832
11560,272,11832
11560,1362,12922
11560,272,11832
11560,272,11832
12346,92,12438
11560,272,11832
11560,272,11832
11560,272,11832
12346,92,12438
12716,1362,14078
12716,545,13261
13502,102,13604
12716,1362,14078
12716,549,13265
12716,272,12988
12716,272,12988
13502,98,13600
12716,1362,14078
12716,272,12988
12716,272,12988
12716,1362,14078
13502,98,13600
12716,272,12988
12716,272,12988
12716,272,12988
12716,272,12988
12716,272,12988
13502,98,13600
13872,1362,15234
14658,98,14756
13872,1362,15234
13872,545,14417
13872,272,14144
13872,272,14144
13872,272,14144
13872,272,14144
13872,272,14144
14658,98,14756
13872,1362,15234
13872,1362,15234
14658,98,14756
13872,272,14144
13872,272,14144
13872,272,14144
13872,272,14144
13872,272,14144
14658,98,14756
15028,1356,16384
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15814,98,15912
15028,1362,16390
15028,549,15577
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15028,272,15300
15814,102,15916
15028,1362,16390
15814,92,15906
15028,1362,16390
15028,272,15300
15814,92,15906
16184,1362,17546
16184,549,16733
16184,272,16456
16970,98,17068
16184,1362,17546
16184,272,16456
16184,272,16456
16184,272,16456
16184,272,16456
16184,272,16456
16184,272,16456
16184,272,16456
16184,272,16456
16184,272,16456
16970,98,17068
16184,1362,17546
16184,272,16456
16184,1362,17546
16184,272,16456
16184,272,16456
16184,272,16456
16184,1091,17275
16184,272,16456
16184,272,16456
16184,549,16733
16970,92,17062
16184,272,16456
16184,272,16456
16970,92,17062
17340,1362,18702
18126,98,18224
17340,1362,18702
17340,272,17612
17340,272,17612
17340,272,17612
17340,272,17612
17340,272,17612
17340,272,17612
17340,272,17612
17340,272,17612
17340,272,17612
17340,272,17612
17340,272,17612
18126,98,18224
17340,1362,18702
17340,1362,18702
17340,272,17612
17340,272,17612
17340,546,17886
17340,272,17612
17340,272,17612
17340,272,17612
17340,272,17612
17340,272,17612
17340,272,17612
17340,272,17612
17340,272,17612
18126,98,18224
17340,272,17612
18126,98,18224
18496,1362,19858
18496,1091,19587
18496,272,18768
18496,272,18768
18496,272,18768
18496,272,18768
18496,272,18768
18496,272,18768
19282,98,19380
18496,1362,19858
18496,816,19312
18496,545,19041
18496,272,18768
19282,98,19380
18496,1362,19858
19282,98,19380
18496,1362,19858
18496,549,19045
18496,272,18768
18496,272,18768
19282,92,19374
19652,1362,21014
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
20438,98,20536
19652,1362,21014
19652,272,19924
19652,272,19924
20438,98,20536
19652,1362,21014
19652,1362,21014
19652,1091,20743
19652,549,20201
19652,272,19924
19652,272,19924
19652,272,19924
20438,98,20536
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
20438,92,20530
20808,1362,22170
21594,92,21686
20808,1362,22170
20808,820,21628
20808,272,21080
20808,272,21080
20808,272,21080
20808,272,21080
20808,272,21080
20808,272,21080
21594,98,21692
20808,1362,22170
20808,1362,22170
20808,549,21357
20808,272,21080
20808,1091,21899
20808,272,21080
21594,98,21692
20808,272,21080
20808,272,21080
20808,272,21080
20808,272,21080
20808,272,21080
21594,98,21692
21964,1362,23326
22750,98,22848
21964,1362,23326
22750,98,22848
21964,1362,23326
21964,1362,23326
22750,98,22848
21964,549,22513
21964,272,22236
21964,272,22236
21964,272,22236
22750,98,22848
23120,1362,24482
23120,272,23392
23120,272,23392
23120,272,23392
23906,98,24004
23120,1356,24476
23120,820,23940
23120,272,23392
23120,272,23392
23120,272,23392
23906,98,24004
23120,1362,24482
23120,1362,24482
23120,272,23392
23906,98,24004
23120,816,23936
23120,549,23669
23120,272,23392
23120,272,23392
23120,272,23392
23120,272,23392
23120,272,23392
23120,272,23392
23906,98,24004
24276,1362,25638
24276,1362,25638
24276,272,24548
24276,272,24548
24276,272,24548
24276,272,24548
25062,98,25160
24276,1362,25638
25062,98,25160
24276,1362,25638
24276,272,24548
24276,1362,25638
25062,98,25160
24276,272,24548
24276,272,24548
25062,92,25154
