prompt_tokens,completion_tokens,total_tokens
2312,1362,3674
3098,98,3196
2312,1362,3674
3098,92,3190
2312,1362,3674
3098,98,3196
2312,1362,3674
2312,1362,3674
3098,98,3196
3098,102,3200
2312,1362,3674
3098,102,3200
3468,1362,4830
4254,98,4352
3468,1362,4830
4254,98,4352
3468,1362,4830
4254,98,4352
3468,1362,4830
4254,92,4346
3468,1362,4830
3468,1362,4830
4254,92,4346
3468,1362,4830
4254,98,4352
3468,1362,4830
4254,98,4352
4254,92,4346
4624,1362,5986
5410,92,5502
4624,1362,5986
5410,92,5502
4624,1362,5986
5410,98,5508
4624,1362,5986
5410,98,5508
4624,1362,5986
5410,92,5502
4624,1362,5986
4624,1362,5986
4624,1362,5986
4624,1362,5986
5410,98,5508
5410,98,5508
5410,98,5508
5410,92,5502
4624,1362,5986
5410,98,5508
5780,1362,7142
6566,98,6664
5780,1362,7142
6566,92,6658
6936,1362,8298
6936,272,7208
7722,98,7820
6936,1362,8298
7722,98,7820
8092,1362,9454
8092,272,8364
8092,272,8364
8092,272,8364
8878,98,8976
8092,1362,9454
8878,98,8976
9248,1362,10610
9248,820,10068
9248,272,9520
9248,272,9520
10034,102,10136
9248,1362,10610
10034,98,10132
10404,1362,11766
11190,98,11288
10404,1362,11766
11190,98,11288
11560,1362,12922
11560,272,11832
11560,272,11832
12346,92,12438
11560,1362,12922
11560,546,12106
12346,102,12448
11560,1362,12922
11560,1362,12922
11560,546,12106
12346,92,12438
11560,1362,12922
12346,98,12444
12716,1362,14078
13502,98,13600
12716,1362,14078
12716,820,13536
12716,272,12988
12716,272,12988
13502,98,13600
12716,1362,14078
12716,1362,14078
12716,549,13265
12716,272,12988
12716,272,12988
12716,1091,13807
13502,92,13594
13502,98,13600
13872,1362,15234
14658,98,14756
13872,1362,15234
13872,549,14421
13872,272,14144
14658,98,14756
13872,1362,15234
13872,1362,15234
13872,545,14417
13872,549,14421
13872,272,14144
13872,272,14144
13872,272,14144
13872,272,14144
13872,272,14144
13872,272,14144
13872,272,14144
14658,98,14756
14658,98,14756
15028,1362,16390
15028,272,15300
15814,98,15912
15028,1362,16390
15028,820,15848
15814,92,15906
15028,1362,16390
15028,1362,16390
15028,549,15577
15814,98,15912
15028,549,15577
15028,272,15300
15028,272,15300
15814,92,15906
16184,1362,17546
16184,820,17004
16184,549,16733
16184,272,16456
16970,98,17068
16184,1362,17546
16184,272,16456
16184,272,16456
16184,272,16456
16184,272,16456
16184,272,16456
16184,272,16456
16184,272,16456
16184,272,16456
16970,98,17068
16184,1362,17546
16184,272,16456
16184,272,16456
16184,272,16456
16184,272,16456
16970,98,17068
16184,1362,17546
16970,98,17068
16184,1362,17546
16184,1362,17546
16184,1091,17275
16970,98,17068
16184,1091,17275
16184,549,16733
16970,92,17062
17340,1362,18702
17340,546,17886
18126,98,18224
17340,1362,18702
17340,820,18160
17340,272,17612
17340,272,17612
18126,98,18224
17340,1362,18702
17340,820,18160
18126,98,18224
17340,1362,18702
18126,92,18218
17340,1362,18702
17340,1362,18702
17340,549,17889
17340,549,17889
18126,98,18224
18126,98,18224
18496,1362,19858
18496,545,19041
18496,272,18768
18496,272,18768
18496,272,18768
18496,272,18768
18496,272,18768
18496,272,18768
18496,272,18768
18496,272,18768
19282,102,19384
18496,1362,19858
18496,272,18768
18496,272,18768
18496,272,18768
18496,272,18768
19282,98,19380
18496,1362,19858
19282,98,19380
18496,1362,19858
18496,1362,19858
19282,98,19380
18496,1362,19858
18496,272,18768
18496,272,18768
18496,549,19045
18496,272,18768
18496,272,18768
18496,272,18768
18496,272,18768
18496,272,18768
18496,272,18768
19282,98,19380
19282,98,19380
19652,1362,21014
19652,549,20201
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
20438,98,20536
19652,1362,21014
19652,820,20472
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
19652,272,19924
20438,98,20536
19652,1362,21014
19652,820,20472
20438,98,20536
19652,1362,21014
19652,1362,21014
20438,98,20536
19652,1362,21014
19652,549,20201
20438,92,20530
19652,549,20201
20438,98,20536
20808,1362,22170
20808,820,21628
20808,549,21357
21594,98,21692
20808,1362,22170
21594,98,21692
20808,1362,22170
20808,1091,21899
20808,545,21353
20808,549,21357
20808,272,21080
21594,98,21692
20808,1362,22170
20808,1362,22170
20808,1362,22170
20808,272,21080
21594,98,21692
20808,272,21080
20808,272,21080
20808,272,21080
20808,1091,21899
21594,98,21692
20808,272,21080
21594,98,21692
21964,1362,23326
21964,546,22510
21964,272,22236
21964,272,22236
22750,92,22842
21964,1362,23326
21964,545,22509
22750,98,22848
21964,1362,23326
21964,549,22513
21964,272,22236
21964,272,22236
21964,272,22236
21964,272,22236
21964,272,22236
22750,98,22848
21964,1362,23326
21964,1362,23326
22750,98,22848
21964,1362,23326
21964,820,22784
21964,549,22513
21964,549,22513
21964,272,22236
22750,98,22848
21964,272,22236
21964,272,22236
22750,92,22842
23120,1362,24482
23906,98,24004
23120,1362,24482
23906,98,24004
23120,1362,24482
23120,820,23940
23120,549,23669
23906,98,24004
23120,1362,24482
23120,1362,24482
23120,1362,24482
23906,98,24004
23120,549,23669
23120,820,23940
23906,92,23998
23120,272,23392
23906,98,24004
24276,1362,25638
24276,820,25096
24276,542,24818
24276,272,24548
24276,272,24548
24276,272,24548
24276,272,24548
24276,272,24548
24276,272,24548
24276,272,24548
24276,272,24548
24276,272,24548
24276,272,24548
24276,272,24548
25062,92,25154
24276,1362,25638
24276,820,25096
25062,98,25160
24276,1362,25638
24276,549,24825
24276,549,24825
24276,272,24548
24276,272,24548
24276,272,24548
25062,92,25154
24276,1362,25638
24276,1362,25638
24276,272,24548
24276,1362,25638
24276,272,24548
24276,272,24548
24276,820,25096
24276,272,24548
24276,272,24548
24276,272,24548
24276,272,24548
24276,272,24548
24276,1362,25638
24276,272,24548
24276,272,24548
24276,272,24548
24276,272,24548
24276,272,24548
24276,820,25096
24276,272,24548
24276,272,24548
25062,98,25160
24276,272,24548
24276,272,24548
24276,272,24548
24276,272,24548
25062,98,25160
25062,98,25160
