candidate_evaluations,hypervolume_contributions
"[{'Latency': 16.5, 'Perplexity': 21.8}, {'Latency': 11.5, 'Perplexity': 25.5}, {'Latency': 12.8, 'Perplexity': 24.5}, {'Latency': 9.5, 'Perplexity': 26.8}, {'Latency': 9.0, 'Perplexity': 28.0}]","[0.0, 0.05618567007437747, 0.05624566574404821, 0.029730332464718456, 0.039275467254070495]"
"[{'Latency': 9.6, 'Perplexity': 27.5}, {'Latency': 15.3, 'Perplexity': 21.6}, {'Latency': 16.0, 'Perplexity': 22.0}, {'Latency': 11.0, 'Perplexity': 25.0}, {'Latency': 13.0, 'Perplexity': 26.0}]","[3.4531383317215614e-05, 5.158691643147861e-05, 0.0, 0.07160174511591988, 0.0164964056105259]"
"[{'Latency': 10.5, 'Perplexity': 25.5}, {'Latency': 17.5, 'Perplexity': 21.5}, {'Latency': 15.2, 'Perplexity': 21.5}, {'Latency': 9.7, 'Perplexity': 27.3}, {'Latency': 10.3, 'Perplexity': 26.5}]","[0.0428949209259486, 0.0010182000322942475, 0.0024756051896555054, 9.988661329729531e-05, 0.006667054459835731]"
"[{'Latency': 9.6, 'Perplexity': 27.0}, {'Latency': 17.0, 'Perplexity': 21.0}, {'Latency': 15.5, 'Perplexity': 21.5}, {'Latency': 11.0, 'Perplexity': 26.0}, {'Latency': 14.5, 'Perplexity': 21.6}]","[0.0017565075561731813, 0.007983872065290498, 0.0018415726324005899, 0.017310983386316314, 0.023222848375215932]"
"[{'Latency': 9.6, 'Perplexity': 27.5}, {'Latency': 9.6, 'Perplexity': 27.5}, {'Latency': 10.3, 'Perplexity': 26.7}, {'Latency': 10.3, 'Perplexity': 26.7}, {'Latency': 16.29, 'Perplexity': 21.1}]","[3.215618898155803e-05, 3.215618898155803e-05, 3.357666172520979e-05, 3.357666172520979e-05, 2.0769260957509417e-05]"
"[{'Latency': 10.8, 'Perplexity': 26.5}, {'Latency': 9.8, 'Perplexity': 27.2}, {'Latency': 17.5, 'Perplexity': 21.1}, {'Latency': 15.5, 'Perplexity': 21.5}, {'Latency': 9.6, 'Perplexity': 27.0}]","[0.0006934875348252323, 0.00016750108304552924, 2.0769243367579904e-05, 0.0004291280884702875, 0.0016714708436189607]"
"[{'Latency': 10.8, 'Perplexity': 26.4}, {'Latency': 9.7, 'Perplexity': 27.2}, {'Latency': 10.8, 'Perplexity': 26.5}, {'Latency': 11.0, 'Perplexity': 26.0}, {'Latency': 10.3, 'Perplexity': 26.6}]","[0.00462999292589461, 0.0003012759326812553, 0.0008004709498496965, 0.019014172901685278, 0.000249944915917899]"
"[{'Latency': 10.62, 'Perplexity': 26.5}, {'Latency': 10.89, 'Perplexity': 26.54}, {'Latency': 9.8, 'Perplexity': 27.3}, {'Latency': 16.29, 'Perplexity': 21.1}, {'Latency': 9.0, 'Perplexity': 28.5}]","[0.0008389390546179598, 0.0, 0.0, 2.0769260957509417e-05, 0.03631040721601719]"
"[{'Latency': 15.32, 'Perplexity': 21.7}, {'Latency': 9.5, 'Perplexity': 27.3}, {'Latency': 11.34, 'Perplexity': 26.5}, {'Latency': 10.5, 'Perplexity': 27.5}, {'Latency': 10.35, 'Perplexity': 26.6}]","[3.0089928388932208e-06, 0.0009668992566003176, 0.0006992868476409786, 0.0, 0.000181575522803179]"
"[{'Latency': 9.68, 'Perplexity': 27.0}, {'Latency': 10.72, 'Perplexity': 26.5}, {'Latency': 17.5, 'Perplexity': 21.5}, {'Latency': 9.6, 'Perplexity': 27.5}, {'Latency': 15.3, 'Perplexity': 21.6}]","[0.00042009649489038736, 0.0007065476900165457, 0.0, 1.5370712280970977e-05, 4.1640284597299626e-05]"
"[{'Latency': 12.5, 'Perplexity': 23.0}, {'Latency': 16.3, 'Perplexity': 21.1}, {'Latency': 14.0, 'Perplexity': 22.5}, {'Latency': 14.5, 'Perplexity': 21.5}, {'Latency': 9.7, 'Perplexity': 26.5}]","[0.07729526423960009, 2.0769260790087785e-05, 0.03701220170244279, 0.0259805007388636, 0.0036806214467748344]"
"[{'Latency': 8.3, 'Perplexity': 35.0}, {'Latency': 10.6, 'Perplexity': 26.3}, {'Latency': 16.2875, 'Perplexity': 21.1015}, {'Latency': 10.5, 'Perplexity': 26.9}, {'Latency': 9.7, 'Perplexity': 27.3}]","[0.004850012067607601, 0.002852348260523163, 0.0, 0.0, 2.4694226180344003e-05]"
"[{'Latency': 9.5, 'Perplexity': 26.5}, {'Latency': 11.0, 'Perplexity': 26.5}, {'Latency': 12.0, 'Perplexity': 26.3}, {'Latency': 9.5, 'Perplexity': 27.5}, {'Latency': 10.4, 'Perplexity': 26.5}]","[0.005076954371118547, 0.0, 0.0013458899022746884, 0.0004888108233284116, 0.000346426891780105]"
"[{'Latency': 9.7, 'Perplexity': 27.0}, {'Latency': 15.5, 'Perplexity': 21.3}, {'Latency': 11.3, 'Perplexity': 26.5}, {'Latency': 15.5, 'Perplexity': 21.5}, {'Latency': 15.0, 'Perplexity': 22.0}]","[0.0003431994683928963, 0.001601162900889186, 0.0, 0.0004158601898021086, 0.0023602784121499187]"
"[{'Latency': 10.5, 'Perplexity': 26.5}, {'Latency': 8.0, 'Perplexity': 30.0}, {'Latency': 10.3, 'Perplexity': 26.6}, {'Latency': 11.0, 'Perplexity': 26.5}, {'Latency': 15.5, 'Perplexity': 21.6}]","[0.00021547117008169359, 0.04239252688248851, 0.00020018753642203624, 0.0, 0.0]"
"[{'Latency': 10.89, 'Perplexity': 26.54}, {'Latency': 16.2875, 'Perplexity': 21.1015}, {'Latency': 10.469, 'Perplexity': 26.96}, {'Latency': 9.734, 'Perplexity': 27.06}, {'Latency': 10.6237, 'Perplexity': 26.5209}]","[0.0, 0.0, 0.0, 8.260270933924119e-07, 2.3679642691121217e-08]"
"[{'Latency': 9.6, 'Perplexity': 26.8}, {'Latency': 10.3, 'Perplexity': 26.6}, {'Latency': 9.5, 'Perplexity': 27.0}, {'Latency': 10.7, 'Perplexity': 26.7}, {'Latency': 16.3, 'Perplexity': 21.1}]","[0.0014200555428731665, 0.00019988997265130148, 0.0004419507546076229, 0.0, 2.002278219026543e-05]"
"[{'Latency': 10.53, 'Perplexity': 26.54}, {'Latency': 10.42, 'Perplexity': 26.89}, {'Latency': 16.07, 'Perplexity': 21.32}, {'Latency': 10.46, 'Perplexity': 26.74}, {'Latency': 14.92, 'Perplexity': 23.45}]","[9.451245247560358e-05, 0.0, 0.0004094339492752841, 0.0, 0.003326006165825901]"
"[{'Latency': 17.5, 'Perplexity': 21.0}, {'Latency': 11.0, 'Perplexity': 26.0}, {'Latency': 11.5, 'Perplexity': 26.5}, {'Latency': 9.8, 'Perplexity': 27.0}, {'Latency': 15.3, 'Perplexity': 21.5}]","[0.0013701626573969783, 0.008543946420199733, 0.0, 4.533929717331908e-05, 0.0005013461220004789]"
"[{'Latency': 10.3, 'Perplexity': 26.67}, {'Latency': 16.3, 'Perplexity': 21.1}, {'Latency': 15.5, 'Perplexity': 21.6}, {'Latency': 17.4, 'Perplexity': 21.0}, {'Latency': 17.8, 'Perplexity': 20.7}]","[1.1246488003102684e-05, 3.3356747409785115e-05, 0.0, 0.001597672256593352, 0.0053133699711152005]"
"[{'Latency': 10.5, 'Perplexity': 27.0}, {'Latency': 10.3, 'Perplexity': 26.67}, {'Latency': 11.5, 'Perplexity': 26.5}, {'Latency': 9.7, 'Perplexity': 27.5}, {'Latency': 9.5, 'Perplexity': 26.5}]","[0.0, 1.1496447809733468e-05, 0.0, 0.0, 0.0025954340467198023]"
