F1,F2
0.963,9.302
1.0,8.25
1.0,8.186
0.971,9.246
1.0,7.441
0.98,7.535
0.504,7.835
0.504,7.806
0.851,7.746
0.851,8.069
0.981,7.197
0.851,7.371
1.0,7.401
0.504,5.322
0.504,6.713
0.988,6.344
0.504,6.713
0.851,4.313
1.0,3.667
0.981,5.902
1.0,6.035
0.504,6.76
1.0,6.035
0.981,6.965
0.981,7.005
0.504,4.418
1.0,4.938
1.0,5.183
0.988,5.749
0.77,5.65
0.504,5.743
0.77,6.228
0.504,6.563
0.979,4.891
0.504,5.947
0.988,6.399
0.504,5.159
0.504,5.621
0.504,5.692
1.0,7.079
0.504,6.51
1.0,5.09
0.504,5.947
0.504,5.709
0.871,6.164
0.504,5.674
0.981,5.32
0.504,5.947
0.504,5.208
0.981,4.647
0.504,4.856
1.0,5.066
0.504,5.083
0.77,5.259
0.77,4.723
0.504,5.759
0.504,5.387
1.0,4.339
1.0,4.938
0.981,4.712
0.504,5.208
0.504,4.174
0.504,4.327
0.632,5.767
0.504,4.856
