F1,F2
0.871,8.43
0.975,8.275
0.953,8.973
1.0,8.309
0.811,8.493
0.504,6.075
0.77,7.675
0.77,7.552
0.981,6.181
0.998,6.249
0.979,6.559
0.376,7.528
0.504,6.563
1.0,5.271
0.282,8.192
1.0,6.021
0.851,7.913
1.0,7.984
0.504,7.596
0.981,6.608
0.871,6.589
0.504,8.58
0.979,7.705
0.979,8.303
0.912,7.489
1.0,7.192
0.77,7.455
0.568,7.458
0.504,7.719
0.632,5.799
0.504,7.467
0.504,6.852
1.0,7.879
0.504,6.019
1.0,7.228
0.988,6.922
0.77,7.455
0.504,6.075
0.988,7.302
0.998,7.402
0.979,7.305
0.77,6.532
0.504,6.089
0.504,6.563
0.504,7.5
1.0,5.896
0.504,6.281
0.504,6.005
0.504,6.155
0.77,6.288
0.981,5.973
0.504,6.583
0.912,6.675
0.504,6.399
0.504,6.317
0.504,7.024
0.504,7.433
0.376,5.951
0.282,6.209
0.568,6.17
0.568,6.233
0.77,5.991
0.504,6.563
0.504,5.887
0.871,7.654
