F1,F2
1.0,8.419
0.993,8.572
0.997,7.808
0.811,9.071
1.0,8.566
0.77,7.135
1.0,7.264
0.851,7.803
0.77,8.183
0.77,7.52
1.0,7.04
0.504,7.257
0.851,7.384
0.981,7.005
0.981,6.838
0.504,7.144
0.933,7.895
0.988,7.404
0.851,7.208
0.632,6.962
1.0,7.622
0.504,6.455
0.77,5.977
0.504,6.168
1.0,7.155
0.504,5.871
0.77,6.288
0.981,5.902
0.981,5.751
0.77,5.467
0.282,7.184
0.632,7.345
0.988,7.565
0.335,7.327
0.504,7.144
1.0,5.896
0.504,5.871
0.77,4.787
0.568,6.973
0.335,6.398
0.504,6.115
0.998,5.823
0.871,4.815
0.568,5.069
0.851,5.424
0.708,6.676
0.504,6.76
0.988,6.793
0.632,6.433
0.77,5.717
0.998,5.665
1.0,6.283
0.77,6.1
1.0,5.631
0.504,6.897
0.979,6.001
0.282,5.355
0.988,6.748
1.0,6.248
1.0,7.374
0.988,7.267
1.0,3.998
0.504,7.22
1.0,4.605
0.998,4.252
