prompt_tokens,completion_tokens,total_tokens
827,462,1289
1228,98,1326
936,462,1398
1337,98,1435
1045,462,1507
1446,98,1544
1154,462,1616
1555,98,1653
1263,462,1725
1664,98,1762
1372,462,1834
1773,98,1871
1481,462,1943
1882,98,1980
1590,462,2052
1991,98,2089
1699,462,2161
2100,98,2198
1808,462,2270
2209,98,2307
1917,462,2379
2318,98,2416
2026,462,2488
2427,98,2525
2135,462,2597
2536,98,2634
2244,462,2706
2645,98,2743
2353,462,2815
2754,98,2852
2462,462,2924
2863,98,2961
2571,462,3033
2972,102,3074
2680,462,3142
3081,98,3179
2789,462,3251
3190,98,3288
2898,462,3360
3299,102,3401
3007,462,3469
3408,98,3506
3116,462,3578
3517,98,3615
3225,462,3687
3626,98,3724
3334,462,3796
3735,98,3833
3443,462,3905
3844,102,3946
3552,462,4014
3953,98,4051
3661,462,4123
4062,98,4160
3770,462,4232
4171,102,4273
3879,462,4341
4280,98,4378
3988,462,4450
4389,98,4487
4097,462,4559
4498,98,4596
4206,462,4668
4607,102,4709
4315,462,4777
4716,98,4814
4424,462,4886
4825,102,4927
4533,462,4995
4934,98,5032
4642,462,5104
5043,98,5141
4751,462,5213
5152,98,5250
4860,462,5322
5261,98,5359
4969,462,5431
5370,98,5468
5078,462,5540
5479,98,5577
5187,462,5649
5588,98,5686
5296,462,5758
5296,96,5392
5697,98,5795
5405,462,5867
5806,98,5904
5514,462,5976
5915,102,6017
5623,462,6085
6024,98,6122
5732,462,6194
6133,98,6231
5841,462,6303
6242,102,6344
5950,462,6412
6351,98,6449
6059,462,6521
6059,96,6155
6460,98,6558
6168,462,6630
6569,98,6667
