x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.765,0.674,0.9,0.963,0.971,0.46,0.935,0.982,0.938,0.008
0.656,0.284,0.383,0.447,0.118,0.517,0.58,0.934,0.225,0.558
0.344,0.23,0.313,0.657,0.616,0.016,0.955,0.998,0.019,0.106
0.726,0.945,0.874,0.935,0.839,0.861,0.936,0.019,0.762,0.487
0.665,0.16,0.268,0.355,0.103,0.046,0.044,0.976,0.366,0.243
0.444,0.555,0.666,0.777,0.888,0.999,0.0,0.111,0.222,0.333
0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.0
0.4,0.2,0.1,0.3,0.5,0.6,0.7,0.8,0.9,0.4
0.2,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.5,0.3
0.05,0.1,0.1,0.3,0.4,0.5,0.6,0.7,0.8,0.2
0.05,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,0.9
0.03,0.06,0.09,0.12,0.15,0.18,0.21,0.24,0.27,0.3
0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.01
0.4,0.4,0.3,0.3,0.2,0.2,0.1,0.1,0.0,0.0
0.02,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18,0.2
0.12,0.15,0.18,0.22,0.26,0.3,0.34,0.38,0.42,0.46
0.1,0.3,0.5,0.7,0.9,0.2,0.4,0.6,0.8,0.01
0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.0,0.01
0.2,0.2,0.3,0.4,0.5,0.1,0.2,0.3,0.4,0.5
0.05,0.07,0.09,0.11,0.13,0.15,0.17,0.19,0.21,0.23
0.15,0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95
0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.0,0.1
0.01,0.03,0.05,0.07,0.09,0.11,0.13,0.15,0.17,0.19
0.5,0.4,0.3,0.2,0.1,0.9,0.8,0.7,0.6,0.0
0.05,0.09,0.15,0.21,0.27,0.33,0.39,0.45,0.51,0.57
0.1,0.2,0.3,0.4,0.5,0.6,0.1,0.2,0.3,0.4
0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,0.96
0.03,0.1,0.17,0.24,0.31,0.38,0.45,0.52,0.59,0.66
0.07,0.14,0.21,0.28,0.35,0.42,0.49,0.56,0.63,0.7
0.33,0.44,0.22,0.66,0.77,0.88,0.99,0.11,0.21,0.31
0.29,0.41,0.53,0.65,0.77,0.89,0.09,0.21,0.33,0.45
0.6,0.5,0.4,0.3,0.2,0.1,0.0,0.1,0.2,0.3
0.72,0.68,0.64,0.6,0.56,0.52,0.48,0.44,0.4,0.36
0.1,0.12,0.14,0.16,0.18,0.2,0.22,0.24,0.26,0.28
0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5
0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55
0.12,0.22,0.32,0.42,0.52,0.62,0.72,0.82,0.92,0.0
0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.15,0.25,0.35
0.15,0.18,0.22,0.26,0.3,0.34,0.38,0.42,0.46,0.5
0.33,0.29,0.25,0.21,0.17,0.13,0.09,0.05,0.01,0.0
0.25,0.33,0.41,0.49,0.57,0.65,0.73,0.81,0.89,0.95
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.1,0.1
0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.99
0.1,0.4,0.3,0.5,0.6,0.7,0.8,0.9,0.0,0.01
0.18,0.24,0.32,0.14,0.28,0.38,0.48,0.58,0.68,0.78
0.05,0.06,0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14
0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15,0.15
0.15,0.1,0.05,0.2,0.25,0.3,0.35,0.4,0.45,0.5
0.45,0.55,0.65,0.75,0.85,0.95,0.05,0.15,0.25,0.35
0.02,0.05,0.08,0.11,0.14,0.17,0.2,0.23,0.26,0.29
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0
0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.09,0.1,0.11
0.03,0.07,0.11,0.15,0.19,0.23,0.27,0.31,0.35,0.39
0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,0.88,0.92
