x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.011,0.242,0.61,0.428,0.535,0.867,0.304,0.105,0.725,0.609
0.628,0.531,0.735,0.514,0.472,0.042,0.472,0.865,0.243,0.911
0.7,0.788,0.103,0.028,0.444,0.09,0.531,0.512,0.372,0.302
0.413,0.454,0.554,0.193,0.743,0.827,0.976,0.754,0.656,0.875
0.999,0.527,0.118,0.544,0.61,0.795,0.702,0.939,0.471,0.07
0.15,0.2,0.4,0.3,0.5,0.2,0.1,0.4,0.3,0.25
0.6,0.2,0.3,0.4,0.8,0.7,0.5,0.1,0.9,0.4
0.25,0.15,0.35,0.25,0.55,0.1,0.2,0.4,0.1,0.15
0.2,0.25,0.3,0.1,0.2,0.15,0.4,0.5,0.1,0.1
0.22,0.11,0.07,0.08,0.24,0.03,0.12,0.36,0.09,0.02
0.1,0.05,0.02,0.03,0.15,0.01,0.1,0.25,0.04,0.01
0.18,0.2,0.12,0.07,0.25,0.03,0.1,0.28,0.05,0.01
0.12,0.18,0.22,0.15,0.28,0.08,0.12,0.3,0.05,0.02
0.12,0.07,0.19,0.15,0.22,0.09,0.18,0.25,0.12,0.03
0.05,0.02,0.01,0.01,0.03,0.01,0.02,0.04,0.01,0.01
0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
0.4,0.42,0.44,0.46,0.48,0.5,0.52,0.54,0.56,0.58
0.33,0.45,0.29,0.21,0.37,0.23,0.48,0.12,0.19,0.14
0.02,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
0.3,0.4,0.2,0.15,0.1,0.25,0.35,0.3,0.1,0.05
0.75,0.65,0.55,0.45,0.35,0.25,0.15,0.05,0.1,0.2
0.05,0.01,0.02,0.02,0.03,0.01,0.01,0.01,0.02,0.01
0.05,0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5
0.04,0.09,0.03,0.07,0.02,0.06,0.08,0.03,0.05,0.01
0.3,0.25,0.1,0.05,0.2,0.15,0.4,0.3,0.45,0.2
0.02,0.04,0.02,0.03,0.03,0.04,0.02,0.03,0.02,0.02
0.04,0.05,0.05,0.06,0.07,0.08,0.09,0.1,0.1,0.1
0.09,0.13,0.15,0.11,0.19,0.23,0.28,0.32,0.37,0.42
0.25,0.2,0.15,0.1,0.3,0.4,0.5,0.6,0.7,0.8
0.15,0.12,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1
0.01,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0.01,0.01
0.9,0.8,0.7,0.6,0.5,0.4,0.3,0.2,0.1,0.01
0.02,0.03,0.04,0.05,0.06,0.07,0.08,0.1,0.12,0.14
0.25,0.3,0.35,0.4,0.45,0.5,0.55,0.6,0.65,0.7
0.35,0.37,0.39,0.41,0.43,0.45,0.47,0.49,0.51,0.53
0.6,0.3,0.4,0.5,0.2,0.1,0.8,0.9,0.6,0.5
0.4,0.45,0.5,0.55,0.6,0.65,0.7,0.75,0.8,0.85
0.04,0.06,0.08,0.09,0.07,0.03,0.01,0.02,0.01,0.01
0.15,0.25,0.35,0.45,0.55,0.65,0.75,0.85,0.95,0.05
0.45,0.46,0.47,0.48,0.49,0.5,0.51,0.52,0.53,0.54
0.07,0.08,0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16
0.01,0.01,0.02,0.01,0.02,0.01,0.01,0.01,0.02,0.02
0.85,0.75,0.65,0.55,0.45,0.35,0.25,0.15,0.05,0.01
0.45,0.55,0.65,0.75,0.85,0.95,0.05,0.15,0.25,0.35
0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,0.95
0.45,0.48,0.5,0.52,0.54,0.56,0.58,0.6,0.62,0.65
0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18,0.19,0.2
0.5,0.1,0.3,0.7,0.2,0.4,0.6,0.8,0.01,0.99
0.02,0.03,0.04,0.06,0.08,0.1,0.12,0.14,0.16,0.18
0.2,0.22,0.25,0.26,0.21,0.24,0.23,0.29,0.27,0.28
0.1,0.15,0.2,0.25,0.3,0.35,0.4,0.45,0.5,0.55
0.04,0.03,0.02,0.01,0.01,0.02,0.03,0.04,0.01,0.01
0.4,0.35,0.3,0.25,0.2,0.15,0.1,0.05,0.01,0.02
0.09,0.1,0.11,0.12,0.13,0.14,0.15,0.16,0.17,0.18
