x0,x1,x2,x3,x4,x5,x6,x7,x8,x9
0.011,0.242,0.61,0.428,0.535,0.867,0.304,0.105,0.725,0.609
0.628,0.531,0.735,0.514,0.472,0.042,0.472,0.865,0.243,0.911
0.7,0.788,0.103,0.028,0.444,0.09,0.531,0.512,0.372,0.302
0.413,0.454,0.554,0.193,0.743,0.827,0.976,0.754,0.656,0.875
0.999,0.527,0.118,0.544,0.61,0.795,0.702,0.939,0.471,0.07
0.05,0.2,0.1,0.05,0.1,0.0,0.4,0.5,0.6,0.1
0.15,0.3,0.2,0.1,0.2,0.1,0.3,0.4,0.5,0.2
0.4,0.2,0.5,0.1,0.3,0.4,0.8,0.6,0.2,0.0
0.05,0.6,0.3,0.1,0.7,0.2,0.6,0.4,0.1,0.8
0.05,0.1,0.2,0.3,0.6,0.4,0.1,0.5,0.3,0.1
0.18,0.25,0.15,0.0,0.05,0.1,0.3,0.5,0.6,0.05
0.1,0.15,0.25,0.05,0.3,0.05,0.35,0.5,0.4,0.1
0.4,0.3,0.6,0.2,0.1,0.0,0.12,0.5,0.4,0.2
0.2,0.1,0.1,0.3,0.4,0.05,0.2,0.3,0.4,0.1
0.2,0.3,0.25,0.4,0.1,0.0,0.15,0.05,0.4,0.1
0.1,0.25,0.4,0.2,0.2,0.1,0.3,0.1,0.35,0.1
0.6,0.4,0.3,0.2,0.1,0.5,0.6,0.7,0.2,0.3
0.3,0.2,0.1,0.4,0.5,0.0,0.3,0.4,0.6,0.0
0.4,0.1,0.22,0.0,0.2,0.3,0.3,0.5,0.4,0.15
0.25,0.2,0.15,0.1,0.3,0.25,0.5,0.2,0.1,0.0
0.35,0.1,0.4,0.2,0.2,0.3,0.8,0.5,0.25,0.1
0.1,0.05,0.05,0.1,0.2,0.1,0.1,0.2,0.3,0.15
0.05,0.2,0.1,0.1,0.0,0.0,0.15,0.04,0.32,0.0
0.1,0.1,0.2,0.1,0.1,0.0,0.15,0.04,0.32,0.0
0.15,0.1,0.2,0.4,0.05,0.1,0.1,0.5,0.3,0.4
0.1,0.05,0.1,0.1,0.1,0.0,0.05,0.1,0.2,0.1
0.05,0.1,0.1,0.15,0.1,0.1,0.3,0.2,0.1,0.0
0.2,0.1,0.15,0.1,0.0,0.1,0.1,0.1,0.25,0.0
0.2,0.05,0.05,0.1,0.1,0.0,0.1,0.1,0.3,0.0
0.05,0.2,0.0,0.1,0.0,0.0,0.1,0.1,0.1,0.0
0.08,0.22,0.18,0.3,0.25,0.2,0.5,0.1,0.25,0.02
0.25,0.3,0.4,0.2,0.15,0.05,0.5,0.4,0.2,0.1
0.3,0.2,0.4,0.3,0.6,0.15,0.3,0.5,0.2,0.1
0.09,0.2,0.12,0.1,0.3,0.2,0.4,0.3,0.5,0.1
0.1,0.2,0.3,0.4,0.5,0.0,0.2,0.1,0.3,0.0
0.15,0.1,0.1,0.1,0.1,0.1,0.2,0.1,0.1,0.0
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0
0.05,0.05,0.1,0.1,0.0,0.0,0.04,0.0,0.0,0.03
0.06,0.15,0.2,0.1,0.3,0.4,0.25,0.2,0.15,0.05
0.09,0.15,0.2,0.08,0.1,0.1,0.25,0.1,0.2,0.0
0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.17
0.02,0.1,0.05,0.2,0.1,0.1,0.1,0.1,0.1,0.0
0.12,0.03,0.08,0.05,0.02,0.01,0.02,0.03,0.1,0.0
0.06,0.07,0.1,0.05,0.01,0.0,0.03,0.04,0.1,0.0
0.4,0.05,0.1,0.1,0.24,0.0,0.0,0.0,0.1,0.0
0.11,0.2,0.2,0.2,0.1,0.1,0.15,0.3,0.2,0.05
0.1,0.3,0.35,0.2,0.1,0.0,0.1,0.2,0.3,0.0
0.3,0.1,0.05,0.3,0.25,0.2,0.15,0.4,0.2,0.05
0.25,0.05,0.3,0.1,0.0,0.2,0.1,0.2,0.3,0.0
0.05,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.14,0.0
0.02,0.1,0.05,0.1,0.1,0.0,0.1,0.1,0.2,0.0
0.15,0.1,0.05,0.1,0.05,0.2,0.3,0.2,0.1,0.1
0.05,0.1,0.2,0.15,0.1,0.1,0.1,0.1,0.15,0.0
0.0,0.0,0.12,0.0,0.0,0.03,0.36,0.22,0.0,0.0
0.1,0.1,0.0,0.0,0.5,0.3,0.2,0.2,0.3,0.1
0.03,0.05,0.22,0.1,0.1,0.1,0.1,0.1,0.2,0.0
0.08,0.07,0.09,0.05,0.06,0.03,0.08,0.01,0.05,0.06
0.3,0.25,0.2,0.1,0.1,0.1,0.4,0.1,0.2,0.2
0.15,0.08,0.09,0.2,0.1,0.1,0.2,0.2,0.15,0.05
0.15,0.25,0.35,0.45,0.55,0.08,0.12,0.18,0.22,0.26
0.3,0.4,0.5,0.1,0.2,0.1,0.2,0.3,0.4,0.1
0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.0
0.1,0.15,0.2,0.3,0.4,0.1,0.2,0.3,0.35,0.1
0.01,0.1,0.02,0.01,0.01,0.15,0.0,0.0,0.0,0.0
0.02,0.01,0.02,0.01,0.01,0.15,0.0,0.0,0.0,0.0
