F1,F2
0.651,5.595
0.439,5.063
0.415,5.24
0.502,5.115
0.423,4.997
0.197,3.019
0.1,2.081
0.05,2.054
0.2,2.167
0.05,2.132
0.12,2.001
0.04,1.3
0.03,1.993
0.25,2.056
0.02,3.88
0.02,4.057
0.01,2.35
0.1,2.175
0.1,4.412
0.15,5.288
0.04,5.363
0.15,5.558
0.05,5.391
0.02,2.53
0.01,2.44
0.2,2.505
0.1,1.895
0.06,2.159
0.12,2.975
0.1,4.924
0.1,2.796
0.03,2.443
0.2,2.317
0.07,5.443
0.15,4.486
0.05,1.448
0.1,1.973
0.15,2.029
0.3,2.264
0.3,5.079
0.01,4.044
0.1,4.132
0.08,3.068
0.5,5.11
0.05,5.018
0.75,3.077
0.01,1.09
0.05,5.127
0.05,5.422
0.02,2.617
0.02,1.09
0.25,5.069
0.3,4.705
0.1,2.921
0.01,4.023
