F1,F2
0.809,5.331
0.052,5.677
0.356,4.821
0.388,5.389
0.991,5.959
0.123,5.557
0.018,5.542
0.25,3.995
0.1,5.343
0.05,3.73
0.03,3.771
0.02,3.123
0.01,2.608
0.005,2.384
0.006,2.314
0.067,2.34
0.06,2.069
0.04,5.109
0.008,2.26
0.03,2.135
0.005,2.148
0.022,2.179
0.02,2.341
0.005,2.44
0.015,3.444
0.11,5.833
0.02,3.88
0.02,2.108
0.009,2.198
0.012,2.493
0.01,3.79
0.04,2.231
0.3,6.106
0.02,2.921
0.03,5.32
0.15,5.232
0.05,7.337
0.006,7.036
0.02,2.558
0.008,2.473
0.005,2.364
0.015,3.835
0.15,2.34
0.04,4.06
0.2,5.306
0.5,4.671
0.3,5.266
0.02,2.53
0.052,4.119
0.045,2.754
0.001,1.279
0.4,5.502
0.2,4.902
0.15,5.325
0.07,2.978
