F1,F2
0.193,5.526
0.021,6.194
0.868,5.771
0.9,5.301
0.144,4.472
0.05,2.411
0.03,5.553
0.04,5.462
0.11,5.461
0.02,5.404
0.01,5.23
0.15,5.278
0.12,3.208
0.12,5.65
0.08,5.517
0.07,5.378
0.01,3.759
0.03,5.134
0.04,3.998
0.02,5.289
0.01,2.44
0.04,4.06
0.04,4.277
0.005,3.078
0.005,3.745
0.02,2.53
0.4,3.109
0.2,3.758
0.1,2.626
0.12,5.438
0.03,3.97
0.02,5.23
0.005,1.72
0.1,3.079
0.3,3.091
0.15,5.567
0.003,1.162
0.03,5.158
0.01,1.742
0.1,5.175
0.002,1.178
0.05,4.022
0.045,3.499
0.005,2.395
0.001,1.549
0.08,5.424
0.04,3.305
0.09,5.517
0.1,2.688
0.005,1.315
0.001,1.144
0.001,1.279
0.1,4.141
0.1,3.508
0.25,5.395
