candidate_evaluations,hypervolume_contributions
"[{'F1': 8.0, 'Latency': 20.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 7.0, 'Latency': 21.0}, {'F1': 8.5, 'Latency': 23.0}, {'F1': 9.5, 'Latency': 21.5}, {'F1': 9.5, 'Latency': 20.5}, {'F1': 10.5, 'Latency': 21.5}, {'F1': 9.0, 'Latency': 19.0}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 8.5, 'Latency': 20.0}]","[0.017554589280517785, 0.0, 0.10850430358217289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 8.0, 'Latency': 20.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 7.0, 'Latency': 21.0}, {'F1': 8.5, 'Latency': 23.0}, {'F1': 9.5, 'Latency': 21.5}, {'F1': 9.5, 'Latency': 20.5}, {'F1': 10.5, 'Latency': 21.5}, {'F1': 9.0, 'Latency': 19.0}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 8.5, 'Latency': 20.0}]","[0.017554589280517785, 0.0, 0.10850430358217289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 8.0, 'Latency': 20.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 7.0, 'Latency': 21.0}, {'F1': 8.5, 'Latency': 23.0}, {'F1': 9.5, 'Latency': 21.5}, {'F1': 9.5, 'Latency': 20.5}, {'F1': 10.5, 'Latency': 21.5}, {'F1': 9.0, 'Latency': 19.0}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 8.5, 'Latency': 20.0}]","[0.017554589280517785, 0.0, 0.10850430358217289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 8.0, 'Latency': 20.0}, {'F1': 10.0, 'Latency': 22.0}, {'F1': 7.0, 'Latency': 21.0}, {'F1': 8.5, 'Latency': 23.0}, {'F1': 9.5, 'Latency': 21.5}, {'F1': 9.5, 'Latency': 20.5}, {'F1': 10.5, 'Latency': 21.5}, {'F1': 9.0, 'Latency': 19.0}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 8.5, 'Latency': 20.0}]","[0.017554589280517785, 0.0, 0.10850430358217289, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 7.9, 'Latency': 24.5}, {'F1': 8.1, 'Latency': 20.5}, {'F1': 8.0, 'Latency': 18.0}, {'F1': 7.7, 'Latency': 25.5}, {'F1': 7.8, 'Latency': 23.0}, {'F1': 8.1, 'Latency': 24.5}, {'F1': 7.8, 'Latency': 26.5}, {'F1': 10.5, 'Latency': 20.5}, {'F1': 9.5, 'Latency': 23.0}, {'F1': 7.7, 'Latency': 25.5}, {'F1': 7.3, 'Latency': 26.5}, {'F1': 10.5, 'Latency': 22.5}, {'F1': 8.5, 'Latency': 25.5}, {'F1': 7.8, 'Latency': 27.0}, {'F1': 8.2, 'Latency': 25.8}, {'F1': 7.5, 'Latency': 23.5}, {'F1': 7.8, 'Latency': 24.0}, {'F1': 7.2, 'Latency': 22.5}, {'F1': 7.4, 'Latency': 23.0}, {'F1': 7.6, 'Latency': 23.2}]","[0.0, 0.0045255399483203895, 0.020907442241113072, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000915061975234277, 0.0, 0.0, 0.0, 0.0, 0.0007413512581064818, 0.0, 0.028969517098818898, 0.007563152577547028, 0.0]"
"[{'F1': 7.9, 'Latency': 24.5}, {'F1': 8.1, 'Latency': 20.5}, {'F1': 8.0, 'Latency': 18.0}, {'F1': 7.7, 'Latency': 25.5}, {'F1': 7.8, 'Latency': 23.0}, {'F1': 8.1, 'Latency': 24.5}, {'F1': 7.8, 'Latency': 26.5}, {'F1': 10.5, 'Latency': 20.5}, {'F1': 9.5, 'Latency': 23.0}, {'F1': 7.7, 'Latency': 25.5}, {'F1': 7.3, 'Latency': 26.5}, {'F1': 10.5, 'Latency': 22.5}, {'F1': 8.5, 'Latency': 25.5}, {'F1': 7.8, 'Latency': 27.0}, {'F1': 8.2, 'Latency': 25.8}, {'F1': 7.5, 'Latency': 23.5}, {'F1': 7.8, 'Latency': 24.0}, {'F1': 7.2, 'Latency': 22.5}, {'F1': 7.4, 'Latency': 23.0}, {'F1': 7.6, 'Latency': 23.2}]","[0.0, 0.0045255399483203895, 0.020907442241113072, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000915061975234277, 0.0, 0.0, 0.0, 0.0, 0.0007413512581064818, 0.0, 0.028969517098818898, 0.007563152577547028, 0.0]"
"[{'F1': 7.9, 'Latency': 24.5}, {'F1': 8.1, 'Latency': 20.5}, {'F1': 8.0, 'Latency': 18.0}, {'F1': 7.7, 'Latency': 25.5}, {'F1': 7.8, 'Latency': 23.0}, {'F1': 8.1, 'Latency': 24.5}, {'F1': 7.8, 'Latency': 26.5}, {'F1': 10.5, 'Latency': 20.5}, {'F1': 9.5, 'Latency': 23.0}, {'F1': 7.7, 'Latency': 25.5}, {'F1': 7.3, 'Latency': 26.5}, {'F1': 10.5, 'Latency': 22.5}, {'F1': 8.5, 'Latency': 25.5}, {'F1': 7.8, 'Latency': 27.0}, {'F1': 8.2, 'Latency': 25.8}, {'F1': 7.5, 'Latency': 23.5}, {'F1': 7.8, 'Latency': 24.0}, {'F1': 7.2, 'Latency': 22.5}, {'F1': 7.4, 'Latency': 23.0}, {'F1': 7.6, 'Latency': 23.2}]","[0.0, 0.0045255399483203895, 0.020907442241113072, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000915061975234277, 0.0, 0.0, 0.0, 0.0, 0.0007413512581064818, 0.0, 0.028969517098818898, 0.007563152577547028, 0.0]"
"[{'F1': 7.9, 'Latency': 24.5}, {'F1': 8.1, 'Latency': 20.5}, {'F1': 8.0, 'Latency': 18.0}, {'F1': 7.7, 'Latency': 25.5}, {'F1': 7.8, 'Latency': 23.0}, {'F1': 8.1, 'Latency': 24.5}, {'F1': 7.8, 'Latency': 26.5}, {'F1': 10.5, 'Latency': 20.5}, {'F1': 9.5, 'Latency': 23.0}, {'F1': 7.7, 'Latency': 25.5}, {'F1': 7.3, 'Latency': 26.5}, {'F1': 10.5, 'Latency': 22.5}, {'F1': 8.5, 'Latency': 25.5}, {'F1': 7.8, 'Latency': 27.0}, {'F1': 8.2, 'Latency': 25.8}, {'F1': 7.5, 'Latency': 23.5}, {'F1': 7.8, 'Latency': 24.0}, {'F1': 7.2, 'Latency': 22.5}, {'F1': 7.4, 'Latency': 23.0}, {'F1': 7.6, 'Latency': 23.2}]","[0.0, 0.0045255399483203895, 0.020907442241113072, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.000915061975234277, 0.0, 0.0, 0.0, 0.0, 0.0007413512581064818, 0.0, 0.028969517098818898, 0.007563152577547028, 0.0]"
"[{'F1': 7.8, 'Latency': 24.0}, {'F1': 8.5, 'Latency': 26.0}, {'F1': 8.0, 'Latency': 25.5}, {'F1': 7.3, 'Latency': 30.0}, {'F1': 8.2, 'Latency': 26.5}, {'F1': 7.9, 'Latency': 25.5}, {'F1': 12.0, 'Latency': 25.5}, {'F1': 8.1, 'Latency': 26.5}, {'F1': 7.7, 'Latency': 24.5}, {'F1': 8.3, 'Latency': 25.0}, {'F1': 7.9, 'Latency': 28.5}, {'F1': 7.7, 'Latency': 25.2}, {'F1': 8.1, 'Latency': 26.0}, {'F1': 7.8, 'Latency': 24.0}, {'F1': 7.5, 'Latency': 26.5}, {'F1': 8.23, 'Latency': 19.89}, {'F1': 7.34, 'Latency': 26.0}, {'F1': 7.63, 'Latency': 23.97}, {'F1': 7.51, 'Latency': 22.02}, {'F1': 8.04, 'Latency': 25.06}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.991346345954554e-05, 8.930343711810451e-05, 0.0, 0.00020807879639894722, 0.0]"
"[{'F1': 7.8, 'Latency': 24.0}, {'F1': 8.5, 'Latency': 26.0}, {'F1': 8.0, 'Latency': 25.5}, {'F1': 7.3, 'Latency': 30.0}, {'F1': 8.2, 'Latency': 26.5}, {'F1': 7.9, 'Latency': 25.5}, {'F1': 12.0, 'Latency': 25.5}, {'F1': 8.1, 'Latency': 26.5}, {'F1': 7.7, 'Latency': 24.5}, {'F1': 8.3, 'Latency': 25.0}, {'F1': 7.9, 'Latency': 28.5}, {'F1': 7.7, 'Latency': 25.2}, {'F1': 8.1, 'Latency': 26.0}, {'F1': 7.8, 'Latency': 24.0}, {'F1': 7.5, 'Latency': 26.5}, {'F1': 8.23, 'Latency': 19.89}, {'F1': 7.34, 'Latency': 26.0}, {'F1': 7.63, 'Latency': 23.97}, {'F1': 7.51, 'Latency': 22.02}, {'F1': 8.04, 'Latency': 25.06}]","[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 8.991346345954554e-05, 8.930343711810451e-05, 0.0, 0.00020807879639894722, 0.0]"
