surrogate_model_prediction,benchmark_evaluation
"{'F1': 10.5, 'Latency': 18.5}","{'f1': 8.306666666666658, 'latency': 24.49230194091797}"
"{'F1': 10.5, 'Latency': 18.5}","{'f1': 8.680000000000007, 'latency': 23.696818351745605}"
"{'F1': 10.5, 'Latency': 18.5}","{'f1': 7.650000000000006, 'latency': 24.457364082336426}"
"{'F1': 10.5, 'Latency': 18.5}","{'f1': 7.913333333333341, 'latency': 30.131468772888184}"
"{'F1': 10.5, 'Latency': 19.0}","{'f1': 13.773333333333326, 'latency': 25.68800926208496}"
"{'F1': 10.5, 'Latency': 19.0}","{'f1': 10.534999999999997, 'latency': 21.073613166809082}"
"{'F1': 10.5, 'Latency': 19.0}","{'f1': 7.944999999999993, 'latency': 24.132657051086426}"
"{'F1': 10.5, 'Latency': 19.0}","{'f1': 11.90666666666668, 'latency': 22.90964126586914}"
"{'F1': 9.0, 'Latency': 22.0}","{'f1': 7.769999999999996, 'latency': 29.81820583343506}"
"{'F1': 9.0, 'Latency': 22.0}","{'f1': 6.736666666666665, 'latency': 24.162912368774414}"
"{'F1': 9.0, 'Latency': 22.0}","{'f1': 7.680000000000007, 'latency': 24.299750328063965}"
"{'F1': 9.0, 'Latency': 22.0}","{'f1': 7.090000000000003, 'latency': 31.415057182312008}"
"{'F1': 7.5, 'Latency': 24.0}","{'f1': 9.280000000000001, 'latency': 25.242996215820312}"
"{'F1': 7.5, 'Latency': 24.0}","{'f1': 7.740000000000009, 'latency': 25.027008056640625}"
"{'F1': 7.5, 'Latency': 24.0}","{'f1': 7.615000000000009, 'latency': 29.704575538635254}"
"{'F1': 7.5, 'Latency': 24.0}","{'f1': 12.283333333333346, 'latency': 21.303095817565918}"
"{'F1': 8.0, 'Latency': 23.5}","{'f1': 7.069999999999993, 'latency': 24.27896022796631}"
"{'F1': 8.0, 'Latency': 23.5}","{'f1': 9.180000000000007, 'latency': 22.026000022888184}"
"{'F1': 8.0, 'Latency': 23.5}","{'f1': 11.185000000000002, 'latency': 23.335466384887695}"
"{'F1': 8.0, 'Latency': 23.5}","{'f1': 13.579999999999998, 'latency': 25.440917015075684}"
"{'F1': 7.5, 'Latency': 24.0}","{'f1': 10.430000000000007, 'latency': 26.279144287109375}"
"{'F1': 7.5, 'Latency': 24.0}","{'f1': 6.1766666666666765, 'latency': 30.124506950378418}"
