surrogate_model_prediction,benchmark_evaluation
"{'F1': 8.0, 'Latency': 23.5}","{'f1': 8.700000000000003, 'latency': 21.95976734161377}"
"{'F1': 8.5, 'Latency': 23.5}","{'f1': 7.740000000000009, 'latency': 25.598444938659668}"
"{'F1': 8.5, 'Latency': 24.5}","{'f1': 5.914999999999992, 'latency': 29.671916961669922}"
"{'F1': 7.1, 'Latency': 26.5}","{'f1': 8.223333333333343, 'latency': 25.066499710083008}"
"{'F1': 8.2, 'Latency': 25.0}","{'f1': 10.900000000000006, 'latency': 24.57249164581299}"
"{'F1': 8.0, 'Latency': 22.0}","{'f1': 12.540000000000006, 'latency': 25.32120704650879}"
"{'F1': 9.5, 'Latency': 26}","{'f1': 6.2549999999999955, 'latency': 30.072011947631836}"
"{'F1': 7.0, 'Latency': 26.0}","{'f1': 9.783333333333346, 'latency': 24.548873901367188}"
"{'F1': 8.5, 'Latency': 22.0}","{'f1': 8.826666666666668, 'latency': 24.02958393096924}"
"{'F1': 6.0, 'Latency': 29.0}","{'f1': 9.216666666666683, 'latency': 28.86899471282959}"
"{'F1': 7.0, 'Latency': 29.0}","{'f1': 10.199999999999989, 'latency': 31.471824645996094}"
"{'F1': 9.26, 'Latency': 18.47}","{'f1': 6.5166666666666515, 'latency': 26.64536476135254}"
"{'F1': 8.68, 'Latency': 23.79}","{'f1': 12.176666666666662, 'latency': 19.81642723083496}"
"{'F1': 8.0, 'Latency': 23.0}","{'f1': 8.763333333333321, 'latency': 21.80284023284912}"
"{'F1': 9.26, 'Latency': 18.47}","{'f1': 7.040000000000006, 'latency': 27.17454433441162}"
"{'F1': 8.0, 'Latency': 22.0}","{'f1': 8.933333333333337, 'latency': 26.53028964996338}"
"{'F1': 8.76, 'Latency': 21.8}","{'f1': 10.379999999999995, 'latency': 22.255654335021973}"
"{'F1': 8.93, 'Latency': 26.53}","{'f1': 10.379999999999995, 'latency': 30.58450222015381}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 9.574999999999989, 'latency': 26.11192226409912}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 6.950000000000003, 'latency': 31.167335510253906}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 7.796666666666681, 'latency': 24.71137046813965}"
"{'F1': 8.68, 'Latency': 23.79}","{'f1': 7.683333333333337, 'latency': 27.383451461791992}"
"{'F1': 8.0, 'Latency': 25.0}","{'f1': 6.77000000000001, 'latency': 25.101351737976074}"
"{'F1': 10.38, 'Latency': 30.58}","{'f1': 9.239999999999995, 'latency': 30.85841655731201}"
"{'F1': 9.22, 'Latency': 27.17}","{'f1': 8.806666666666672, 'latency': 25.260305404663086}"
"{'F1': 6.77, 'Latency': 25.1}","{'f1': 6.1299999999999955, 'latency': 29.54442024230957}"
"{'F1': 7.0, 'Latency': 28.0}","{'f1': 7.589999999999989, 'latency': 28.030333518981934}"
"{'F1': 10.2, 'Latency': 28.87}","{'f1': 12.894999999999996, 'latency': 25.41163444519043}"
"{'F1': 7.59, 'Latency': 28.03}","{'f1': 8.86, 'latency': 24.97767925262451}"
"{'F1': 8.86, 'Latency': 24.98}","{'f1': 7.450000000000003, 'latency': 25.616812705993652}"
"{'F1': 8.76, 'Latency': 21.8}","{'f1': 10.416666666666671, 'latency': 25.993080139160156}"
"{'F1': 7.04, 'Latency': 27.17}","{'f1': 6.743333333333339, 'latency': 27.50401496887207}"
"{'F1': 6.74, 'Latency': 27.5}","{'f1': 8.373333333333335, 'latency': 30.79887866973877}"
"{'F1': 7.45, 'Latency': 25.62}","{'f1': 8.50666666666666, 'latency': 28.83880615234375}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 7.266666666666666, 'latency': 29.846477508544922}"
"{'F1': 5.91, 'Latency': 29.67}","{'f1': 10.469999999999999, 'latency': 25.03044605255127}"
"{'F1': 7.59, 'Latency': 28.03}","{'f1': 6.75, 'latency': 27.649712562561035}"
"{'F1': 6.77, 'Latency': 25.1}","{'f1': 6.900000000000006, 'latency': 27.266545295715332}"
"{'F1': 8.7, 'Latency': 21.96}","{'f1': 8.700000000000003, 'latency': 21.720223426818848}"
"{'F1': 7.2, 'Latency': 29.5}","{'f1': 7.280000000000001, 'latency': 27.132372856140137}"
"{'F1': 6.74, 'Latency': 27.5}","{'f1': 7.3700000000000045, 'latency': 27.102174758911133}"
"{'F1': 10.47, 'Latency': 25.03}","{'f1': 11.370000000000005, 'latency': 26.048126220703125}"
"{'F1': 9.24, 'Latency': 30.86}","{'f1': 12.786666666666676, 'latency': 25.039000511169434}"
"{'F1': 7.45, 'Latency': 25.62}","{'f1': 7.490000000000009, 'latency': 24.966626167297363}"
