candidate_evaluations,hypervolume_contributions
"[{'F1': 9.5, 'Latency': 25.5}, {'F1': 5.5, 'Latency': 26.5}, {'F1': 10.5, 'Latency': 24.0}, {'F1': 7.5, 'Latency': 23.5}, {'F1': 7.0, 'Latency': 24.5}]","[0.0, 0.01742692808425983, 0.0, 0.0, 0.0]"
"[{'F1': 18.5, 'Latency': 21.5}, {'F1': 9.5, 'Latency': 22.5}, {'F1': 15.0, 'Latency': 23.0}, {'F1': 19.0, 'Latency': 21.0}, {'F1': 11.0, 'Latency': 20.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 12.5, 'Latency': 24.5}, {'F1': 10.5, 'Latency': 26.0}, {'F1': 13.0, 'Latency': 23.5}, {'F1': 9.0, 'Latency': 25.0}, {'F1': 20.0, 'Latency': 21.5}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 17.2, 'Latency': 21.5}, {'F1': 12.8, 'Latency': 23.8}, {'F1': 9.5, 'Latency': 26.3}, {'F1': 7.3, 'Latency': 28.9}, {'F1': 19.0, 'Latency': 21.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 14.2, 'Latency': 22.3}, {'F1': 10.8, 'Latency': 20.1}, {'F1': 17.5, 'Latency': 22.8}, {'F1': 18.9, 'Latency': 21.5}, {'F1': 15.6, 'Latency': 22.7}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 19.0, 'Latency': 22.0}, {'F1': 9.0, 'Latency': 30.0}, {'F1': 18.0, 'Latency': 23.0}, {'F1': 12.0, 'Latency': 25.0}, {'F1': 7.0, 'Latency': 31.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 13.5, 'Latency': 19.5}, {'F1': 14.0, 'Latency': 20.0}, {'F1': 10.5, 'Latency': 22.0}, {'F1': 11.0, 'Latency': 28.0}, {'F1': 10.0, 'Latency': 23.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 14.0, 'Latency': 22.0}, {'F1': 19.0, 'Latency': 19.0}, {'F1': 14.5, 'Latency': 20.0}, {'F1': 17.5, 'Latency': 25.0}, {'F1': 17.5, 'Latency': 25.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 13.0, 'Latency': 23.0}, {'F1': 13.5, 'Latency': 19.0}, {'F1': 13.0, 'Latency': 18.9}, {'F1': 19.5, 'Latency': 21.4}, {'F1': 10.0, 'Latency': 23.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 18.0, 'Latency': 22.0}, {'F1': 11.0, 'Latency': 23.0}, {'F1': 12.0, 'Latency': 19.0}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 16.0, 'Latency': 21.0}]","[0.0, 0.0, 0.0006874894347301819, 0.0, 0.0]"
"[{'F1': 10.0, 'Latency': 25.0}, {'F1': 12.0, 'Latency': 22.0}, {'F1': 9.5, 'Latency': 26.0}, {'F1': 7.5, 'Latency': 26.5}, {'F1': 10.5, 'Latency': 25.5}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 10.5, 'Latency': 24.5}, {'F1': 18.0, 'Latency': 21.0}, {'F1': 9.0, 'Latency': 26.0}, {'F1': 11.0, 'Latency': 24.0}, {'F1': 13.5, 'Latency': 23.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 12.6, 'Latency': 22.0}, {'F1': 19.5, 'Latency': 21.4}, {'F1': 15.0, 'Latency': 23.0}, {'F1': 12.5, 'Latency': 18.7}, {'F1': 11.5, 'Latency': 22.5}]","[0.0, 0.0, 0.0, 0.00044973581436869026, 0.0]"
"[{'F1': 10.5, 'Latency': 25.2}, {'F1': 16.8, 'Latency': 21.5}, {'F1': 8.2, 'Latency': 27.8}, {'F1': 7.4, 'Latency': 28.5}, {'F1': 7.1, 'Latency': 26.3}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 12.66, 'Latency': 18.65}, {'F1': 9.38, 'Latency': 25.32}, {'F1': 20.19, 'Latency': 21.39}, {'F1': 9.01, 'Latency': 28.48}, {'F1': 10.13, 'Latency': 23.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 10.5, 'Latency': 14.5}, {'F1': 18.0, 'Latency': 22.0}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 13.0, 'Latency': 20.0}, {'F1': 12.5, 'Latency': 20.5}]","[0.054476958110582396, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 12.66, 'Latency': 14.0}, {'F1': 10.5, 'Latency': 25.0}, {'F1': 15.0, 'Latency': 23.0}, {'F1': 20.0, 'Latency': 21.4}, {'F1': 10.0, 'Latency': 18.0}]","[0.028824606535728936, 0.0, 0.0, 0.0, 0.003339687845278938]"
"[{'F1': 8.2, 'Latency': 25.5}, {'F1': 10.5, 'Latency': 23.0}, {'F1': 9.5, 'Latency': 22.0}, {'F1': 6.8, 'Latency': 27.5}, {'F1': 17.0, 'Latency': 19.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 10.5, 'Latency': 22.0}, {'F1': 8.5, 'Latency': 25.0}, {'F1': 9.0, 'Latency': 28.0}, {'F1': 12.0, 'Latency': 25.0}, {'F1': 6.09, 'Latency': 29.66}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 13.2, 'Latency': 21.5}, {'F1': 12.8, 'Latency': 20.0}, {'F1': 12.1, 'Latency': 21.0}, {'F1': 9.3, 'Latency': 25.5}, {'F1': 12.5, 'Latency': 19.5}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 18.0, 'Latency': 21.0}, {'F1': 8.0, 'Latency': 26.0}, {'F1': 11.0, 'Latency': 22.0}, {'F1': 12.5, 'Latency': 15.0}, {'F1': 19.5, 'Latency': 20.0}]","[0.0, 0.0, 0.0, 1.5608961827950907e-05, 0.0]"
"[{'F1': 12.97, 'Latency': 18.82}, {'F1': 10.5, 'Latency': 21.0}, {'F1': 10.0, 'Latency': 23.0}, {'F1': 12.53, 'Latency': 18.65}, {'F1': 9.5, 'Latency': 24.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 11.3, 'Latency': 22.5}, {'F1': 8.2, 'Latency': 27.0}, {'F1': 7.5, 'Latency': 26.5}, {'F1': 6.5, 'Latency': 29.0}, {'F1': 6.1, 'Latency': 29.5}]","[0.0, 0.0, 0.0, 0.00019094968526567335, 0.00011498629423356554]"
"[{'F1': 11.5, 'Latency': 25.0}, {'F1': 12.0, 'Latency': 23.0}, {'F1': 10.0, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 20.0}, {'F1': 9.0, 'Latency': 23.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 11.5, 'Latency': 22.0}, {'F1': 10.5, 'Latency': 18.5}, {'F1': 12.0, 'Latency': 19.5}, {'F1': 14.0, 'Latency': 22.5}, {'F1': 11.0, 'Latency': 17.0}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 9.5, 'Latency': 25}, {'F1': 10.5, 'Latency': 23}, {'F1': 12.0, 'Latency': 18}, {'F1': 10.5, 'Latency': 25}, {'F1': 9.8, 'Latency': 24}]","[0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 12.0, 'Latency': 22.0}, {'F1': 10.0, 'Latency': 18.0}, {'F1': 11.0, 'Latency': 18.0}, {'F1': 8.0, 'Latency': 18.0}, {'F1': 17.0, 'Latency': 20.0}]","[0.0, 0.0006283886340461287, 0.0, 0.003264984301371454, 0.0]"
