candidate_evaluations,hypervolume_contributions
"[{'F1': 7.5, 'Latency': 20.0}, {'F1': 6.0, 'Latency': 22.5}, {'F1': 9.0, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 18.5}, {'F1': 7.0, 'Latency': 21.0}, {'F1': 9.5, 'Latency': 24.0}, {'F1': 10.5, 'Latency': 25.5}, {'F1': 10.0, 'Latency': 23.0}, {'F1': 7.5, 'Latency': 26.0}, {'F1': 11.0, 'Latency': 28.0}, {'F1': 9.5, 'Latency': 31.0}, {'F1': 10.0, 'Latency': 22.5}, {'F1': 7.5, 'Latency': 29.0}, {'F1': 11.0, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 26.0}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 9.5, 'Latency': 24.0}, {'F1': 11.5, 'Latency': 30.0}, {'F1': 8.0, 'Latency': 28.0}, {'F1': 9.0, 'Latency': 26.0}, {'F1': 10.5, 'Latency': 22.15}, {'F1': 10.0, 'Latency': 23.5}, {'F1': 6.5, 'Latency': 24.0}, {'F1': 9.0, 'Latency': 20.75}, {'F1': 11.5, 'Latency': 25.0}]","[0.15176650365415956, 0.14028496133168256, 0.021221316008839697, 0.15727516719284518, 0.1476633308129145, 0.013038289270212555, 0.0, 0.00766624392646631, 0.0, 0.0, 0.0, 0.009071734623906647, 0.0, 0.0, 0.0, 0.0020442811367047398, 0.013038289270212555, 0.0, 0.0, 0.0, 0.0, 0.006260753229025973, 0.06213644970197585, 0.0611514646434248, 0.0]"
"[{'F1': 7.5, 'Latency': 20.0}, {'F1': 6.0, 'Latency': 22.5}, {'F1': 9.0, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 18.5}, {'F1': 7.0, 'Latency': 21.0}, {'F1': 9.5, 'Latency': 24.0}, {'F1': 10.5, 'Latency': 25.5}, {'F1': 10.0, 'Latency': 23.0}, {'F1': 7.5, 'Latency': 26.0}, {'F1': 11.0, 'Latency': 28.0}, {'F1': 9.5, 'Latency': 31.0}, {'F1': 10.0, 'Latency': 22.5}, {'F1': 7.5, 'Latency': 29.0}, {'F1': 11.0, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 26.0}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 9.5, 'Latency': 24.0}, {'F1': 11.5, 'Latency': 30.0}, {'F1': 8.0, 'Latency': 28.0}, {'F1': 9.0, 'Latency': 26.0}, {'F1': 10.5, 'Latency': 22.15}, {'F1': 10.0, 'Latency': 23.5}, {'F1': 6.5, 'Latency': 24.0}, {'F1': 9.0, 'Latency': 20.75}, {'F1': 11.5, 'Latency': 25.0}]","[0.15176650365415956, 0.14028496133168256, 0.021221316008839697, 0.15727516719284518, 0.1476633308129145, 0.013038289270212555, 0.0, 0.00766624392646631, 0.0, 0.0, 0.0, 0.009071734623906647, 0.0, 0.0, 0.0, 0.0020442811367047398, 0.013038289270212555, 0.0, 0.0, 0.0, 0.0, 0.006260753229025973, 0.06213644970197585, 0.0611514646434248, 0.0]"
"[{'F1': 7.5, 'Latency': 20.0}, {'F1': 6.0, 'Latency': 22.5}, {'F1': 9.0, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 18.5}, {'F1': 7.0, 'Latency': 21.0}, {'F1': 9.5, 'Latency': 24.0}, {'F1': 10.5, 'Latency': 25.5}, {'F1': 10.0, 'Latency': 23.0}, {'F1': 7.5, 'Latency': 26.0}, {'F1': 11.0, 'Latency': 28.0}, {'F1': 9.5, 'Latency': 31.0}, {'F1': 10.0, 'Latency': 22.5}, {'F1': 7.5, 'Latency': 29.0}, {'F1': 11.0, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 26.0}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 9.5, 'Latency': 24.0}, {'F1': 11.5, 'Latency': 30.0}, {'F1': 8.0, 'Latency': 28.0}, {'F1': 9.0, 'Latency': 26.0}, {'F1': 10.5, 'Latency': 22.15}, {'F1': 10.0, 'Latency': 23.5}, {'F1': 6.5, 'Latency': 24.0}, {'F1': 9.0, 'Latency': 20.75}, {'F1': 11.5, 'Latency': 25.0}]","[0.15176650365415956, 0.14028496133168256, 0.021221316008839697, 0.15727516719284518, 0.1476633308129145, 0.013038289270212555, 0.0, 0.00766624392646631, 0.0, 0.0, 0.0, 0.009071734623906647, 0.0, 0.0, 0.0, 0.0020442811367047398, 0.013038289270212555, 0.0, 0.0, 0.0, 0.0, 0.006260753229025973, 0.06213644970197585, 0.0611514646434248, 0.0]"
"[{'F1': 7.5, 'Latency': 20.0}, {'F1': 6.0, 'Latency': 22.5}, {'F1': 9.0, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 18.5}, {'F1': 7.0, 'Latency': 21.0}, {'F1': 9.5, 'Latency': 24.0}, {'F1': 10.5, 'Latency': 25.5}, {'F1': 10.0, 'Latency': 23.0}, {'F1': 7.5, 'Latency': 26.0}, {'F1': 11.0, 'Latency': 28.0}, {'F1': 9.5, 'Latency': 31.0}, {'F1': 10.0, 'Latency': 22.5}, {'F1': 7.5, 'Latency': 29.0}, {'F1': 11.0, 'Latency': 24.0}, {'F1': 8.0, 'Latency': 26.0}, {'F1': 10.0, 'Latency': 25.0}, {'F1': 9.5, 'Latency': 24.0}, {'F1': 11.5, 'Latency': 30.0}, {'F1': 8.0, 'Latency': 28.0}, {'F1': 9.0, 'Latency': 26.0}, {'F1': 10.5, 'Latency': 22.15}, {'F1': 10.0, 'Latency': 23.5}, {'F1': 6.5, 'Latency': 24.0}, {'F1': 9.0, 'Latency': 20.75}, {'F1': 11.5, 'Latency': 25.0}]","[0.15176650365415956, 0.14028496133168256, 0.021221316008839697, 0.15727516719284518, 0.1476633308129145, 0.013038289270212555, 0.0, 0.00766624392646631, 0.0, 0.0, 0.0, 0.009071734623906647, 0.0, 0.0, 0.0, 0.0020442811367047398, 0.013038289270212555, 0.0, 0.0, 0.0, 0.0, 0.006260753229025973, 0.06213644970197585, 0.0611514646434248, 0.0]"
"[{'F1': 17.1, 'Latency': 15.5}, {'F1': 14.5, 'Latency': 10.2}, {'F1': 18.2, 'Latency': 12.0}, {'F1': 16.0, 'Latency': 14.0}, {'F1': 19.5, 'Latency': 20.0}, {'F1': 15.0, 'Latency': 20.5}, {'F1': 12.5, 'Latency': 22.0}, {'F1': 18.0, 'Latency': 15.5}, {'F1': 10.0, 'Latency': 27.0}, {'F1': 16.0, 'Latency': 13.0}, {'F1': 17.5, 'Latency': 13.5}, {'F1': 14.8, 'Latency': 20.5}, {'F1': 18.9, 'Latency': 15.2}, {'F1': 12.5, 'Latency': 22.0}, {'F1': 9.2, 'Latency': 24.0}, {'F1': 14.5, 'Latency': 12.5}, {'F1': 22.0, 'Latency': 17.0}, {'F1': 15.0, 'Latency': 13.0}, {'F1': 5.5, 'Latency': 8.0}, {'F1': 12.0, 'Latency': 20.0}, {'F1': 18.0, 'Latency': 19.5}, {'F1': 15.0, 'Latency': 17.5}, {'F1': 12.5, 'Latency': 15.0}, {'F1': 16.0, 'Latency': 18.0}, {'F1': 14.0, 'Latency': 20.0}]","[0.0, 0.01103911608746011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003985284568299274, 0.004570953895303154, 0.0, 0.001980979430383556, 0.3259264882698363, 0.0, 0.0, 0.0, 0.00229374947291916, 0.0, 0.0]"
"[{'F1': 17.1, 'Latency': 15.5}, {'F1': 14.5, 'Latency': 10.2}, {'F1': 18.2, 'Latency': 12.0}, {'F1': 16.0, 'Latency': 14.0}, {'F1': 19.5, 'Latency': 20.0}, {'F1': 15.0, 'Latency': 20.5}, {'F1': 12.5, 'Latency': 22.0}, {'F1': 18.0, 'Latency': 15.5}, {'F1': 10.0, 'Latency': 27.0}, {'F1': 16.0, 'Latency': 13.0}, {'F1': 17.5, 'Latency': 13.5}, {'F1': 14.8, 'Latency': 20.5}, {'F1': 18.9, 'Latency': 15.2}, {'F1': 12.5, 'Latency': 22.0}, {'F1': 9.2, 'Latency': 24.0}, {'F1': 14.5, 'Latency': 12.5}, {'F1': 22.0, 'Latency': 17.0}, {'F1': 15.0, 'Latency': 13.0}, {'F1': 5.5, 'Latency': 8.0}, {'F1': 12.0, 'Latency': 20.0}, {'F1': 18.0, 'Latency': 19.5}, {'F1': 15.0, 'Latency': 17.5}, {'F1': 12.5, 'Latency': 15.0}, {'F1': 16.0, 'Latency': 18.0}, {'F1': 14.0, 'Latency': 20.0}]","[0.0, 0.01103911608746011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003985284568299274, 0.004570953895303154, 0.0, 0.001980979430383556, 0.3259264882698363, 0.0, 0.0, 0.0, 0.00229374947291916, 0.0, 0.0]"
"[{'F1': 17.1, 'Latency': 15.5}, {'F1': 14.5, 'Latency': 10.2}, {'F1': 18.2, 'Latency': 12.0}, {'F1': 16.0, 'Latency': 14.0}, {'F1': 19.5, 'Latency': 20.0}, {'F1': 15.0, 'Latency': 20.5}, {'F1': 12.5, 'Latency': 22.0}, {'F1': 18.0, 'Latency': 15.5}, {'F1': 10.0, 'Latency': 27.0}, {'F1': 16.0, 'Latency': 13.0}, {'F1': 17.5, 'Latency': 13.5}, {'F1': 14.8, 'Latency': 20.5}, {'F1': 18.9, 'Latency': 15.2}, {'F1': 12.5, 'Latency': 22.0}, {'F1': 9.2, 'Latency': 24.0}, {'F1': 14.5, 'Latency': 12.5}, {'F1': 22.0, 'Latency': 17.0}, {'F1': 15.0, 'Latency': 13.0}, {'F1': 5.5, 'Latency': 8.0}, {'F1': 12.0, 'Latency': 20.0}, {'F1': 18.0, 'Latency': 19.5}, {'F1': 15.0, 'Latency': 17.5}, {'F1': 12.5, 'Latency': 15.0}, {'F1': 16.0, 'Latency': 18.0}, {'F1': 14.0, 'Latency': 20.0}]","[0.0, 0.01103911608746011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003985284568299274, 0.004570953895303154, 0.0, 0.001980979430383556, 0.3259264882698363, 0.0, 0.0, 0.0, 0.00229374947291916, 0.0, 0.0]"
"[{'F1': 17.1, 'Latency': 15.5}, {'F1': 14.5, 'Latency': 10.2}, {'F1': 18.2, 'Latency': 12.0}, {'F1': 16.0, 'Latency': 14.0}, {'F1': 19.5, 'Latency': 20.0}, {'F1': 15.0, 'Latency': 20.5}, {'F1': 12.5, 'Latency': 22.0}, {'F1': 18.0, 'Latency': 15.5}, {'F1': 10.0, 'Latency': 27.0}, {'F1': 16.0, 'Latency': 13.0}, {'F1': 17.5, 'Latency': 13.5}, {'F1': 14.8, 'Latency': 20.5}, {'F1': 18.9, 'Latency': 15.2}, {'F1': 12.5, 'Latency': 22.0}, {'F1': 9.2, 'Latency': 24.0}, {'F1': 14.5, 'Latency': 12.5}, {'F1': 22.0, 'Latency': 17.0}, {'F1': 15.0, 'Latency': 13.0}, {'F1': 5.5, 'Latency': 8.0}, {'F1': 12.0, 'Latency': 20.0}, {'F1': 18.0, 'Latency': 19.5}, {'F1': 15.0, 'Latency': 17.5}, {'F1': 12.5, 'Latency': 15.0}, {'F1': 16.0, 'Latency': 18.0}, {'F1': 14.0, 'Latency': 20.0}]","[0.0, 0.01103911608746011, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.003985284568299274, 0.004570953895303154, 0.0, 0.001980979430383556, 0.3259264882698363, 0.0, 0.0, 0.0, 0.00229374947291916, 0.0, 0.0]"
"[{'F1': 25.0, 'Latency': 16.0}, {'F1': 90.0, 'Latency': 12.0}, {'F1': 20.0, 'Latency': 15.0}, {'F1': 10.0, 'Latency': 17.0}, {'F1': 22.0, 'Latency': 14.0}, {'F1': 13.5, 'Latency': 15.5}, {'F1': 10.0, 'Latency': 17.0}, {'F1': 12.0, 'Latency': 20.0}, {'F1': 14.0, 'Latency': 13.0}, {'F1': 11.0, 'Latency': 19.0}, {'F1': 25.0, 'Latency': 15.0}, {'F1': 12.5, 'Latency': 20.0}, {'F1': 20.0, 'Latency': 14.5}, {'F1': 18.0, 'Latency': 15.5}, {'F1': 10.0, 'Latency': 17.0}, {'F1': 20.0, 'Latency': 15.0}, {'F1': 15.5, 'Latency': 13.5}, {'F1': 18.0, 'Latency': 18.0}, {'F1': 19.0, 'Latency': 14.5}, {'F1': 17.5, 'Latency': 15.5}, {'F1': 24.0, 'Latency': 15.5}, {'F1': 11.5, 'Latency': 29.0}, {'F1': 20.0, 'Latency': 14.0}, {'F1': 15.0, 'Latency': 17.0}, {'F1': 19.0, 'Latency': 13.0}]","[0.0, 0.0, 0.0, 0.0013012589855647683, 0.0, 0.0, 0.0013012589855647683, 0.0, 0.0010388325724872693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0013012589855647683, 0.0, 0.00010581782160734576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
"[{'F1': 25.0, 'Latency': 16.0}, {'F1': 90.0, 'Latency': 12.0}, {'F1': 20.0, 'Latency': 15.0}, {'F1': 10.0, 'Latency': 17.0}, {'F1': 22.0, 'Latency': 14.0}, {'F1': 13.5, 'Latency': 15.5}, {'F1': 10.0, 'Latency': 17.0}, {'F1': 12.0, 'Latency': 20.0}, {'F1': 14.0, 'Latency': 13.0}, {'F1': 11.0, 'Latency': 19.0}, {'F1': 25.0, 'Latency': 15.0}, {'F1': 12.5, 'Latency': 20.0}, {'F1': 20.0, 'Latency': 14.5}, {'F1': 18.0, 'Latency': 15.5}, {'F1': 10.0, 'Latency': 17.0}, {'F1': 20.0, 'Latency': 15.0}, {'F1': 15.5, 'Latency': 13.5}, {'F1': 18.0, 'Latency': 18.0}, {'F1': 19.0, 'Latency': 14.5}, {'F1': 17.5, 'Latency': 15.5}, {'F1': 24.0, 'Latency': 15.5}, {'F1': 11.5, 'Latency': 29.0}, {'F1': 20.0, 'Latency': 14.0}, {'F1': 15.0, 'Latency': 17.0}, {'F1': 19.0, 'Latency': 13.0}]","[0.0, 0.0, 0.0, 0.0013012589855647683, 0.0, 0.0, 0.0013012589855647683, 0.0, 0.0010388325724872693, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0013012589855647683, 0.0, 0.00010581782160734576, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
