F1,F2
0.651,3.098
0.439,3.191
0.415,3.605
0.502,3.585
0.423,3.294
0.1,4.614
0.3,3.942
0.2,4.451
0.7,3.334
0.01,5.411
0.2,4.592
0.05,4.645
0.25,4.147
0.15,4.841
0.75,4.03
0.15,4.682
0.25,4.003
0.18,4.529
0.38,4.105
0.35,4.192
0.09,4.888
0.2,4.507
0.22,4.349
0.28,3.743
0.1,4.874
0.4,4.044
0.123,4.867
0.05,5.059
0.2,4.535
0.2,4.356
0.2,4.115
0.18,4.701
0.25,3.867
0.02,5.301
0.01,5.411
0.6,3.505
0.15,4.841
0.15,4.841
0.3,4.215
0.3,4.098
0.08,4.898
0.03,5.21
0.4,3.808
0.02,5.301
0.04,5.13
0.07,4.949
0.1,4.556
0.28,4.155
0.001,5.58
0.005,5.485
0.02,5.301
0.01,5.411
0.2,4.535
0.09,4.888
0.002,5.548
0.008,5.438
0.38,4.243
0.22,4.349
0.33,4.466
0.35,4.503
0.02,5.301
0.0,5.631
0.001,5.602
0.15,4.71
0.01,5.35
0.15,4.736
0.0,5.621
0.001,5.602
0.62,3.258
0.18,4.701
0.03,5.21
0.2,4.446
0.68,3.12
0.6,3.658
0.001,5.602
0.25,4.033
0.15,4.827
0.25,4.147
0.2,4.535
0.68,3.12
0.7,3.487
0.15,4.841
0.1,4.874
0.18,4.701
0.005,5.485
0.001,5.602
0.72,3.877
0.05,5.059
0.05,4.929
0.001,5.602
0.005,5.485
0.5,3.842
0.65,2.921
0.001,5.58
0.28,4.155
0.1,4.735
0.0,5.631
0.003,5.524
0.0,5.631
0.4,4.044
0.15,4.841
0.1,4.831
0.58,4.034
0.001,5.602
0.001,5.602
0.15,4.841
0.28,4.155
0.12,4.867
