F1,F2
0.193,4.541
0.021,5.821
0.868,2.903
0.9,3.235
0.144,3.815
0.9,3.176
0.5,3.842
0.35,4.232
0.9,3.127
0.5,3.842
0.1,4.874
0.6,3.658
0.7,3.388
0.2,4.255
0.3,4.054
0.4,4.044
0.8,3.327
0.01,5.262
0.6,3.271
0.05,4.852
0.33,3.092
0.02,5.301
0.22,4.349
0.85,2.401
0.9,1.747
0.95,2.896
0.1,4.536
0.8,3.327
0.005,5.485
0.03,5.21
0.1,4.874
0.78,3.817
0.08,4.912
0.3,4.27
0.4,4.044
0.001,5.58
0.002,5.548
0.02,5.301
0.01,5.411
0.08,4.912
0.4,3.469
0.003,5.519
0.82,2.814
0.001,5.58
0.75,4.156
0.05,5.059
0.45,3.49
0.2,4.535
0.0,5.648
0.001,5.602
0.001,5.602
0.22,4.349
0.15,4.841
0.25,4.147
0.0,5.631
0.8,3.327
0.001,5.602
0.15,4.841
0.2,4.367
0.1,4.758
0.0,5.631
0.001,5.602
0.0,5.631
0.1,4.594
0.3,4.27
0.1,4.874
0.001,5.602
0.8,3.327
0.0,5.638
0.1,4.874
0.18,4.701
0.25,4.147
0.0,5.631
0.12,4.867
0.88,2.689
0.2,4.535
0.005,5.485
0.15,4.841
0.65,2.921
0.0,5.621
0.001,5.588
0.005,5.483
0.5,3.723
0.15,4.841
0.0,5.631
0.6,3.658
0.04,5.13
0.25,4.147
0.05,5.059
0.5,1.727
0.0,5.631
0.008,5.438
0.0,5.631
0.1,4.874
0.38,4.31
0.5,3.842
0.015,5.353
0.0,5.631
0.005,5.485
0.6,3.658
0.4,3.589
0.1,4.816
0.007,5.453
0.0,5.631
0.001,5.602
0.15,4.827
0.5,1.878
0.1,4.643
